Owner:,NASSETTA CHRISTOPHER J
Cname:,HOST HOTELS & RESORTS INC
Google Trends Search Term:,Christopher J. Nassetta
Google Trends Suggestion:,CEO of Hilton Worldwide
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,55
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,45
2004,Nov,0
2004,Dec,41
2005,Jan,73
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,33
2005,Jun,34
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,27
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,22
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,22
2006,Aug,20
2006,Sep,0
2006,Oct,0
2006,Nov,37
2006,Dec,19
2007,Jan,0
2007,Feb,0
2007,Mar,31
2007,Apr,16
2007,May,0
2007,Jun,15
2007,Jul,15
2007,Aug,14
2007,Sep,14
2007,Oct,100
2007,Nov,50
2007,Dec,65
2008,Jan,57
2008,Feb,47
2008,Mar,58
2008,Apr,11
2008,May,23
2008,Jun,49
2008,Jul,46
2008,Aug,23
2008,Sep,11
2008,Oct,39
2008,Nov,76
2008,Dec,32
2009,Jan,60
2009,Feb,52
2009,Mar,57
2009,Apr,57
2009,May,10
2009,Jun,30
2009,Jul,10
2009,Aug,19
2009,Sep,55
2009,Oct,9
2009,Nov,27
2009,Dec,27
2010,Jan,51
2010,Feb,26
2010,Mar,40
2010,Apr,49
2010,May,17
2010,Jun,52
2010,Jul,15
2010,Aug,0
2010,Sep,14
2010,Oct,21
2010,Nov,27
2010,Dec,20
2011,Jan,10
2011,Feb,23
2011,Mar,20
2011,Apr,32
2011,May,5
2011,Jun,21
2011,Jul,16
2011,Aug,19
2011,Sep,24
2011,Oct,27
2011,Nov,28
2011,Dec,22
2012,Jan,33
2012,Feb,42
2012,Mar,32
2012,Apr,21
2012,May,16
2012,Jun,38
2012,Jul,16
2012,Aug,8
2012,Sep,20
2012,Oct,26
2012,Nov,19
2012,Dec,11
2013,Jan,38
2013,Feb,26
2013,Mar,27
2013,Apr,10
2013,May,3
2013,Jun,28
2013,Jul,21
2013,Aug,31
2013,Sep,27
2013,Oct,19
2013,Nov,10
2013,Dec,56
2014,Jan,19
2014,Feb,21
2014,Mar,25
2014,Apr,42
2014,May,24
2014,Jun,23
2014,Jul,52
2014,Aug,26
2014,Sep,25
2014,Oct,27
2014,Nov,29
2014,Dec,18
2015,Jan,34
2015,Feb,36
2015,Mar,24
2015,Apr,21
2015,May,40
2015,Jun,34
2015,Jul,15
2015,Aug,19
2015,Sep,25
2015,Oct,24
2015,Nov,11
2015,Dec,31
2016,Jan,17
2016,Feb,39
2016,Mar,36
2016,Apr,23
2016,May,23
2016,Jun,30
2016,Jul,27
2016,Aug,21
2016,Sep,20
2016,Oct,31
2016,Nov,20
2016,Dec,16
2017,Jan,38
2017,Feb,19
2017,Mar,17
2017,Apr,16
2017,May,19
2017,Jun,46
2017,Jul,20
2017,Aug,19
2017,Sep,13
2017,Oct,28
2017,Nov,31
2017,Dec,13
2018,Jan,35
2018,Feb,27
2018,Mar,30
2018,Apr,26
2018,May,20
2018,Jun,19
2018,Jul,24
2018,Aug,52
2018,Sep,24
2018,Oct,25
2018,Nov,10
2018,Dec,33
2019,Jan,12
2019,Feb,29
2019,Mar,12
2019,Apr,36
2019,May,33
2019,Jun,45
2019,Jul,44
2019,Aug,30
2019,Sep,36
2019,Oct,32
2019,Nov,21
2019,Dec,35
2020,Jan,26
2020,Feb,30
2020,Mar,97
2020,Apr,46
2020,May,50
2020,Jun,47
2020,Jul,26
2020,Aug,26
2020,Sep,32
2020,Oct,14
2020,Nov,14
2020,Dec,24
2021,Jan,25
