Owner:,OTELLINI PAUL S
Cname:,INTEL CORP
Google Trends Search Term:,Paul Otellini
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,19
2004,Feb,0
2004,Mar,24
2004,Apr,9
2004,May,8
2004,Jun,0
2004,Jul,0
2004,Aug,16
2004,Sep,30
2004,Oct,15
2004,Nov,31
2004,Dec,14
2005,Jan,0
2005,Feb,19
2005,Mar,16
2005,Apr,19
2005,May,34
2005,Jun,23
2005,Jul,23
2005,Aug,37
2005,Sep,5
2005,Oct,18
2005,Nov,0
2005,Dec,0
2006,Jan,56
2006,Feb,33
2006,Mar,15
2006,Apr,23
2006,May,22
2006,Jun,15
2006,Jul,23
2006,Aug,27
2006,Sep,21
2006,Oct,35
2006,Nov,19
2006,Dec,9
2007,Jan,11
2007,Feb,15
2007,Mar,21
2007,Apr,5
2007,May,17
2007,Jun,10
2007,Jul,10
2007,Aug,5
2007,Sep,12
2007,Oct,13
2007,Nov,19
2007,Dec,4
2008,Jan,27
2008,Feb,2
2008,Mar,10
2008,Apr,9
2008,May,4
2008,Jun,18
2008,Jul,14
2008,Aug,6
2008,Sep,5
2008,Oct,23
2008,Nov,16
2008,Dec,9
2009,Jan,18
2009,Feb,18
2009,Mar,10
2009,Apr,5
2009,May,16
2009,Jun,12
2009,Jul,7
2009,Aug,6
2009,Sep,15
2009,Oct,12
2009,Nov,27
2009,Dec,15
2010,Jan,18
2010,Feb,26
2010,Mar,18
2010,Apr,12
2010,May,11
2010,Jun,6
2010,Jul,6
2010,Aug,24
2010,Sep,17
2010,Oct,17
2010,Nov,7
2010,Dec,8
2011,Jan,22
2011,Feb,21
2011,Mar,16
2011,Apr,17
2011,May,15
2011,Jun,9
2011,Jul,12
2011,Aug,10
2011,Sep,13
2011,Oct,15
2011,Nov,7
2011,Dec,9
2012,Jan,23
2012,Feb,6
2012,Mar,11
2012,Apr,9
2012,May,10
2012,Jun,10
2012,Jul,7
2012,Aug,4
2012,Sep,14
2012,Oct,10
2012,Nov,70
2012,Dec,9
2013,Jan,9
2013,Feb,4
2013,Mar,7
2013,Apr,17
2013,May,21
2013,Jun,6
2013,Jul,7
2013,Aug,3
2013,Sep,3
2013,Oct,6
2013,Nov,6
2013,Dec,5
2014,Jan,5
2014,Feb,2
2014,Mar,3
2014,Apr,5
2014,May,4
2014,Jun,1
2014,Jul,4
2014,Aug,2
2014,Sep,2
2014,Oct,3
2014,Nov,2
2014,Dec,1
2015,Jan,2
2015,Feb,1
2015,Mar,2
2015,Apr,2
2015,May,2
2015,Jun,2
2015,Jul,4
2015,Aug,2
2015,Sep,2
2015,Oct,2
2015,Nov,2
2015,Dec,2
2016,Jan,1
2016,Feb,2
2016,Mar,1
2016,Apr,4
2016,May,3
2016,Jun,1
2016,Jul,2
2016,Aug,1
2016,Sep,1
2016,Oct,3
2016,Nov,1
2016,Dec,0
2017,Jan,1
2017,Feb,1
2017,Mar,0
2017,Apr,2
2017,May,3
2017,Jun,1
2017,Jul,3
2017,Aug,1
2017,Sep,1
2017,Oct,100
2017,Nov,4
2017,Dec,2
2018,Jan,2
2018,Feb,2
2018,Mar,1
2018,Apr,0
2018,May,0
2018,Jun,5
2018,Jul,1
2018,Aug,2
2018,Sep,1
2018,Oct,1
2018,Nov,0
2018,Dec,1
2019,Jan,2
2019,Feb,1
2019,Mar,2
2019,Apr,0
2019,May,0
2019,Jun,1
2019,Jul,1
2019,Aug,1
2019,Sep,0
2019,Oct,1
2019,Nov,1
2019,Dec,0
2020,Jan,0
2020,Feb,0
2020,Mar,0
2020,Apr,1
2020,May,1
2020,Jun,2
2020,Jul,1
2020,Aug,0
2020,Sep,1
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,2
