Owner:,PALELLA SALVATORE
Cname:,HELBIZ INC
Google Trends Search Term:,Salvatore Palella
Google Trends Suggestion:,CEO of Helbiz
Category:,Reliable

Year,Month,SVI Data
2004,Jan,38
2004,Feb,37
2004,Mar,0
2004,Apr,72
2004,May,65
2004,Jun,0
2004,Jul,0
2004,Aug,31
2004,Sep,0
2004,Oct,91
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,26
2005,Mar,22
2005,Apr,100
2005,May,67
2005,Jun,0
2005,Jul,23
2005,Aug,0
2005,Sep,0
2005,Oct,18
2005,Nov,0
2005,Dec,18
2006,Jan,0
2006,Feb,16
2006,Mar,0
2006,Apr,0
2006,May,44
2006,Jun,0
2006,Jul,0
2006,Aug,55
2006,Sep,14
2006,Oct,13
2006,Nov,50
2006,Dec,13
2007,Jan,0
2007,Feb,12
2007,Mar,53
2007,Apr,11
2007,May,20
2007,Jun,0
2007,Jul,10
2007,Aug,9
2007,Sep,19
2007,Oct,0
2007,Nov,25
2007,Dec,35
2008,Jan,15
2008,Feb,24
2008,Mar,39
2008,Apr,46
2008,May,54
2008,Jun,33
2008,Jul,16
2008,Aug,46
2008,Sep,21
2008,Oct,7
2008,Nov,36
2008,Dec,21
2009,Jan,33
2009,Feb,14
2009,Mar,6
2009,Apr,26
2009,May,26
2009,Jun,46
2009,Jul,20
2009,Aug,38
2009,Sep,31
2009,Oct,24
2009,Nov,0
2009,Dec,12
2010,Jan,0
2010,Feb,35
2010,Mar,21
2010,Apr,28
2010,May,17
2010,Jun,23
2010,Jul,25
2010,Aug,10
2010,Sep,9
2010,Oct,9
2010,Nov,18
2010,Dec,9
2011,Jan,21
2011,Feb,15
2011,Mar,17
2011,Apr,28
2011,May,7
2011,Jun,11
2011,Jul,21
2011,Aug,10
2011,Sep,13
2011,Oct,12
2011,Nov,9
2011,Dec,9
2012,Jan,6
2012,Feb,11
2012,Mar,16
2012,Apr,20
2012,May,11
2012,Jun,11
2012,Jul,19
2012,Aug,10
2012,Sep,11
2012,Oct,15
2012,Nov,15
2012,Dec,10
2013,Jan,9
2013,Feb,17
2013,Mar,31
2013,Apr,11
2013,May,2
2013,Jun,12
2013,Jul,12
2013,Aug,7
2013,Sep,13
2013,Oct,17
2013,Nov,4
2013,Dec,9
2014,Jan,23
2014,Feb,18
2014,Mar,17
2014,Apr,13
2014,May,16
2014,Jun,15
2014,Jul,17
2014,Aug,5
2014,Sep,5
2014,Oct,22
2014,Nov,14
2014,Dec,17
2015,Jan,21
2015,Feb,14
2015,Mar,16
2015,Apr,5
2015,May,15
2015,Jun,15
2015,Jul,15
2015,Aug,2
2015,Sep,12
2015,Oct,16
2015,Nov,19
2015,Dec,12
2016,Jan,13
2016,Feb,10
2016,Mar,2
2016,Apr,8
2016,May,19
2016,Jun,4
2016,Jul,10
2016,Aug,10
2016,Sep,8
2016,Oct,11
2016,Nov,9
2016,Dec,14
2017,Jan,12
2017,Feb,7
2017,Mar,5
2017,Apr,16
2017,May,16
2017,Jun,11
2017,Jul,32
2017,Aug,28
2017,Sep,9
2017,Oct,26
2017,Nov,14
2017,Dec,14
2018,Jan,28
2018,Feb,29
2018,Mar,31
2018,Apr,12
2018,May,20
2018,Jun,26
2018,Jul,37
2018,Aug,15
2018,Sep,9
2018,Oct,25
2018,Nov,22
2018,Dec,22
2019,Jan,20
2019,Feb,14
2019,Mar,12
2019,Apr,20
2019,May,23
2019,Jun,40
2019,Jul,14
2019,Aug,15
2019,Sep,21
2019,Oct,41
2019,Nov,22
2019,Dec,20
2020,Jan,20
2020,Feb,25
2020,Mar,13
2020,Apr,9
2020,May,7
2020,Jun,13
2020,Jul,26
2020,Aug,13
2020,Sep,13
2020,Oct,11
2020,Nov,9
2020,Dec,6
2021,Jan,18
