Owner:,PERELMAN DEBRA GOLDING
Cname:,REVLON INC
Google Trends Search Term:,Debra Perelman
Google Trends Suggestion:,CEO of Revlon
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,58
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,50
2005,Sep,46
2005,Oct,0
2005,Nov,44
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,32
2006,Sep,0
2006,Oct,30
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,50
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,44
2007,Sep,0
2007,Oct,20
2007,Nov,20
2007,Dec,0
2008,Jan,36
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,18
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,34
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,15
2009,Sep,0
2009,Oct,0
2009,Nov,28
2009,Dec,14
2010,Jan,13
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,14
2010,Jul,12
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,21
2011,Jan,8
2011,Feb,0
2011,Mar,8
2011,Apr,16
2011,May,8
2011,Jun,16
2011,Jul,8
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,6
2012,Feb,7
2012,Mar,6
2012,Apr,0
2012,May,0
2012,Jun,0
2012,Jul,0
2012,Aug,6
2012,Sep,19
2012,Oct,6
2012,Nov,0
2012,Dec,17
2013,Jan,0
2013,Feb,11
2013,Mar,0
2013,Apr,0
2013,May,11
2013,Jun,11
2013,Jul,5
2013,Aug,11
2013,Sep,5
2013,Oct,15
2013,Nov,10
2013,Dec,15
2014,Jan,0
2014,Feb,5
2014,Mar,0
2014,Apr,10
2014,May,0
2014,Jun,12
2014,Jul,29
2014,Aug,17
2014,Sep,0
2014,Oct,10
2014,Nov,6
2014,Dec,0
2015,Jan,11
2015,Feb,6
2015,Mar,11
2015,Apr,11
2015,May,34
2015,Jun,0
2015,Jul,17
2015,Aug,11
2015,Sep,0
2015,Oct,0
2015,Nov,0
2015,Dec,16
2016,Jan,4
2016,Feb,5
2016,Mar,0
2016,Apr,0
2016,May,4
2016,Jun,9
2016,Jul,19
2016,Aug,0
2016,Sep,4
2016,Oct,0
2016,Nov,4
2016,Dec,0
2017,Jan,4
2017,Feb,0
2017,Mar,8
2017,Apr,4
2017,May,12
2017,Jun,0
2017,Jul,4
2017,Aug,4
2017,Sep,4
2017,Oct,4
2017,Nov,12
2017,Dec,12
2018,Jan,27
2018,Feb,25
2018,Mar,11
2018,Apr,20
2018,May,100
2018,Jun,57
2018,Jul,36
2018,Aug,20
2018,Sep,16
2018,Oct,23
2018,Nov,24
2018,Dec,51
2019,Jan,30
2019,Feb,44
2019,Mar,27
2019,Apr,20
2019,May,23
2019,Jun,20
2019,Jul,24
2019,Aug,23
2019,Sep,26
2019,Oct,10
2019,Nov,15
2019,Dec,7
2020,Jan,7
2020,Feb,4
2020,Mar,6
2020,Apr,15
2020,May,9
2020,Jun,20
2020,Jul,7
2020,Aug,10
2020,Sep,29
2020,Oct,22
2020,Nov,11
2020,Dec,7
2021,Jan,0
