Owner:,PESSINA STEFANO
Cname:,WALGREEN CO
Google Trends Search Term:,Stefano Pessina
Google Trends Suggestion:,Italian businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,84
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,28
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,24
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,22
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,35
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,17
2008,Jun,19
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,15
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,15
2009,Jun,15
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,11
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,8
2011,Apr,8
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,19
2012,May,12
2012,Jun,64
2012,Jul,12
2012,Aug,12
2012,Sep,6
2012,Oct,6
2012,Nov,12
2012,Dec,6
2013,Jan,0
2013,Feb,11
2013,Mar,15
2013,Apr,16
2013,May,10
2013,Jun,0
2013,Jul,16
2013,Aug,10
2013,Sep,5
2013,Oct,15
2013,Nov,10
2013,Dec,5
2014,Jan,0
2014,Feb,5
2014,Mar,14
2014,Apr,5
2014,May,21
2014,Jun,17
2014,Jul,23
2014,Aug,67
2014,Sep,27
2014,Oct,31
2014,Nov,5
2014,Dec,81
2015,Jan,57
2015,Feb,38
2015,Mar,73
2015,Apr,59
2015,May,33
2015,Jun,52
2015,Jul,76
2015,Aug,23
2015,Sep,17
2015,Oct,100
2015,Nov,11
2015,Dec,11
2016,Jan,53
2016,Feb,41
2016,Mar,9
2016,Apr,26
2016,May,9
2016,Jun,37
2016,Jul,28
2016,Aug,0
2016,Sep,13
2016,Oct,39
2016,Nov,17
2016,Dec,33
2017,Jan,39
2017,Feb,17
2017,Mar,26
2017,Apr,40
2017,May,16
2017,Jun,22
2017,Jul,13
2017,Aug,4
2017,Sep,12
2017,Oct,16
2017,Nov,28
2017,Dec,28
2018,Jan,30
2018,Feb,37
2018,Mar,19
2018,Apr,43
2018,May,23
2018,Jun,24
2018,Jul,40
2018,Aug,48
2018,Sep,20
2018,Oct,43
2018,Nov,20
2018,Dec,24
2019,Jan,26
2019,Feb,24
2019,Mar,23
2019,Apr,51
2019,May,19
2019,Jun,28
2019,Jul,20
2019,Aug,34
2019,Sep,19
2019,Oct,18
2019,Nov,98
2019,Dec,22
2020,Jan,44
2020,Feb,25
2020,Mar,31
2020,Apr,15
2020,May,31
2020,Jun,30
2020,Jul,86
2020,Aug,33
2020,Sep,16
2020,Oct,22
2020,Nov,4
2020,Dec,44
2021,Jan,25
