Owner:,PETERSON DOUGLAS L
Cname:,S&P GLOBAL INC
Google Trends Search Term:,Douglas L. Peterson
Google Trends Suggestion:,Chief Executive Officer of S&P Global
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,45
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,41
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,33
2005,Aug,62
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,24
2006,Mar,43
2006,Apr,0
2006,May,21
2006,Jun,45
2006,Jul,0
2006,Aug,20
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,16
2007,Feb,0
2007,Mar,0
2007,Apr,16
2007,May,14
2007,Jun,0
2007,Jul,14
2007,Aug,0
2007,Sep,41
2007,Oct,61
2007,Nov,0
2007,Dec,13
2008,Jan,45
2008,Feb,0
2008,Mar,23
2008,Apr,22
2008,May,11
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,21
2008,Oct,0
2008,Nov,11
2008,Dec,10
2009,Jan,10
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,10
2009,Aug,9
2009,Sep,18
2009,Oct,8
2009,Nov,17
2009,Dec,8
2010,Jan,32
2010,Feb,24
2010,Mar,37
2010,Apr,23
2010,May,8
2010,Jun,8
2010,Jul,14
2010,Aug,34
2010,Sep,7
2010,Oct,19
2010,Nov,0
2010,Dec,19
2011,Jan,15
2011,Feb,5
2011,Mar,5
2011,Apr,5
2011,May,19
2011,Jun,25
2011,Jul,10
2011,Aug,100
2011,Sep,32
2011,Oct,26
2011,Nov,26
2011,Dec,12
2012,Jan,31
2012,Feb,8
2012,Mar,45
2012,Apr,16
2012,May,15
2012,Jun,24
2012,Jul,15
2012,Aug,22
2012,Sep,15
2012,Oct,14
2012,Nov,14
2012,Dec,24
2013,Jan,23
2013,Feb,21
2013,Mar,22
2013,Apr,16
2013,May,10
2013,Jun,10
2013,Jul,42
2013,Aug,22
2013,Sep,6
2013,Oct,15
2013,Nov,16
2013,Dec,6
2014,Jan,24
2014,Feb,22
2014,Mar,23
2014,Apr,24
2014,May,6
2014,Jun,11
2014,Jul,24
2014,Aug,14
2014,Sep,13
2014,Oct,9
2014,Nov,14
2014,Dec,10
2015,Jan,16
2015,Feb,17
2015,Mar,13
2015,Apr,30
2015,May,10
2015,Jun,14
2015,Jul,17
2015,Aug,13
2015,Sep,3
2015,Oct,12
2015,Nov,13
2015,Dec,9
2016,Jan,39
2016,Feb,13
2016,Mar,28
2016,Apr,13
2016,May,21
2016,Jun,8
2016,Jul,8
2016,Aug,16
2016,Sep,26
2016,Oct,10
2016,Nov,8
2016,Dec,15
2017,Jan,12
2017,Feb,22
2017,Mar,22
2017,Apr,9
2017,May,19
2017,Jun,31
2017,Jul,20
2017,Aug,19
2017,Sep,21
2017,Oct,18
2017,Nov,12
2017,Dec,33
2018,Jan,11
2018,Feb,22
2018,Mar,9
2018,Apr,12
2018,May,7
2018,Jun,22
2018,Jul,17
2018,Aug,26
2018,Sep,28
2018,Oct,18
2018,Nov,7
2018,Dec,16
2019,Jan,22
2019,Feb,19
2019,Mar,11
2019,Apr,7
2019,May,20
2019,Jun,7
2019,Jul,12
2019,Aug,13
2019,Sep,11
2019,Oct,6
2019,Nov,9
2019,Dec,8
2020,Jan,12
2020,Feb,13
2020,Mar,13
2020,Apr,13
2020,May,14
2020,Jun,2
2020,Jul,16
2020,Aug,2
2020,Sep,21
2020,Oct,15
2020,Nov,19
2020,Dec,22
2021,Jan,13
