Owner:,RENDLE STEVEN E
Cname:,V F CORP
Google Trends Search Term:,Steven E. Rendle
Google Trends Suggestion:,CEO of VF
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,72
2006,Apr,76
2006,May,0
2006,Jun,76
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,62
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,51
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,39
2008,Mar,0
2008,Apr,37
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,33
2009,Feb,0
2009,Mar,0
2009,Apr,32
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,31
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,29
2010,Jan,0
2010,Feb,57
2010,Mar,0
2010,Apr,27
2010,May,0
2010,Jun,0
2010,Jul,25
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,22
2010,Dec,0
2011,Jan,17
2011,Feb,0
2011,Mar,0
2011,Apr,0
2011,May,0
2011,Jun,0
2011,Jul,17
2011,Aug,0
2011,Sep,0
2011,Oct,15
2011,Nov,15
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,26
2012,Jun,14
2012,Jul,0
2012,Aug,0
2012,Sep,26
2012,Oct,12
2012,Nov,50
2012,Dec,12
2013,Jan,11
2013,Feb,12
2013,Mar,22
2013,Apr,11
2013,May,22
2013,Jun,0
2013,Jul,23
2013,Aug,11
2013,Sep,0
2013,Oct,42
2013,Nov,22
2013,Dec,11
2014,Jan,0
2014,Feb,11
2014,Mar,0
2014,Apr,11
2014,May,22
2014,Jun,12
2014,Jul,24
2014,Aug,0
2014,Sep,0
2014,Oct,22
2014,Nov,0
2014,Dec,58
2015,Jan,0
2015,Feb,35
2015,Mar,0
2015,Apr,12
2015,May,0
2015,Jun,37
2015,Jul,0
2015,Aug,0
2015,Sep,35
2015,Oct,22
2015,Nov,11
2015,Dec,100
2016,Jan,9
2016,Feb,10
2016,Mar,27
2016,Apr,0
2016,May,9
2016,Jun,29
2016,Jul,0
2016,Aug,19
2016,Sep,0
2016,Oct,36
2016,Nov,0
2016,Dec,0
2017,Jan,16
2017,Feb,26
2017,Mar,32
2017,Apr,0
2017,May,0
2017,Jun,9
2017,Jul,9
2017,Aug,17
2017,Sep,25
2017,Oct,8
2017,Nov,0
2017,Dec,33
2018,Jan,8
2018,Feb,26
2018,Mar,16
2018,Apr,8
2018,May,16
2018,Jun,17
2018,Jul,8
2018,Aug,41
2018,Sep,17
2018,Oct,49
2018,Nov,16
2018,Dec,25
2019,Jan,16
2019,Feb,8
2019,Mar,16
2019,Apr,25
2019,May,8
2019,Jun,34
2019,Jul,0
2019,Aug,16
2019,Sep,23
2019,Oct,15
2019,Nov,8
2019,Dec,30
2020,Jan,21
2020,Feb,22
2020,Mar,26
2020,Apr,19
2020,May,26
2020,Jun,27
2020,Jul,14
2020,Aug,20
2020,Sep,34
2020,Oct,15
2020,Nov,61
2020,Dec,54
2021,Jan,22
