Owner:,ROMAN EMMANUEL
Cname:,GLG PARTNERS INC
Google Trends Search Term:,Emmanuel Roman
Google Trends Suggestion:,Chief Executive Officer of PIMCO
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,39
2005,Apr,0
2005,May,40
2005,Jun,0
2005,Jul,40
2005,Aug,38
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,29
2006,Feb,29
2006,Mar,0
2006,Apr,0
2006,May,26
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,18
2007,Jul,17
2007,Aug,17
2007,Sep,17
2007,Oct,30
2007,Nov,0
2007,Dec,16
2008,Jan,0
2008,Feb,28
2008,Mar,28
2008,Apr,14
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,14
2008,Sep,0
2008,Oct,47
2008,Nov,0
2008,Dec,13
2009,Jan,0
2009,Feb,13
2009,Mar,0
2009,Apr,11
2009,May,12
2009,Jun,0
2009,Jul,0
2009,Aug,11
2009,Sep,0
2009,Oct,21
2009,Nov,11
2009,Dec,11
2010,Jan,0
2010,Feb,0
2010,Mar,19
2010,Apr,0
2010,May,10
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,33
2010,Oct,25
2010,Nov,0
2010,Dec,8
2011,Jan,6
2011,Feb,0
2011,Mar,6
2011,Apr,6
2011,May,0
2011,Jun,0
2011,Jul,6
2011,Aug,0
2011,Sep,0
2011,Oct,11
2011,Nov,0
2011,Dec,5
2012,Jan,10
2012,Feb,5
2012,Mar,5
2012,Apr,5
2012,May,0
2012,Jun,15
2012,Jul,15
2012,Aug,5
2012,Sep,10
2012,Oct,22
2012,Nov,5
2012,Dec,13
2013,Jan,12
2013,Feb,13
2013,Mar,24
2013,Apr,0
2013,May,8
2013,Jun,9
2013,Jul,0
2013,Aug,8
2013,Sep,8
2013,Oct,12
2013,Nov,0
2013,Dec,16
2014,Jan,8
2014,Feb,12
2014,Mar,7
2014,Apr,4
2014,May,8
2014,Jun,0
2014,Jul,4
2014,Aug,0
2014,Sep,4
2014,Oct,8
2014,Nov,4
2014,Dec,8
2015,Jan,12
2015,Feb,0
2015,Mar,25
2015,Apr,4
2015,May,9
2015,Jun,9
2015,Jul,4
2015,Aug,0
2015,Sep,4
2015,Oct,0
2015,Nov,4
2015,Dec,29
2016,Jan,24
2016,Feb,11
2016,Mar,20
2016,Apr,3
2016,May,3
2016,Jun,4
2016,Jul,100
2016,Aug,22
2016,Sep,3
2016,Oct,3
2016,Nov,26
2016,Dec,10
2017,Jan,0
2017,Feb,13
2017,Mar,6
2017,Apr,3
2017,May,13
2017,Jun,7
2017,Jul,20
2017,Aug,3
2017,Sep,12
2017,Oct,6
2017,Nov,15
2017,Dec,15
2018,Jan,9
2018,Feb,6
2018,Mar,9
2018,Apr,27
2018,May,6
2018,Jun,19
2018,Jul,12
2018,Aug,9
2018,Sep,25
2018,Oct,24
2018,Nov,21
2018,Dec,9
2019,Jan,9
2019,Feb,3
2019,Mar,18
2019,Apr,6
2019,May,30
2019,Jun,3
2019,Jul,15
2019,Aug,15
2019,Sep,17
2019,Oct,11
2019,Nov,14
2019,Dec,8
2020,Jan,5
2020,Feb,3
2020,Mar,7
2020,Apr,2
2020,May,16
2020,Jun,13
2020,Jul,8
2020,Aug,8
2020,Sep,10
2020,Oct,14
2020,Nov,6
2020,Dec,0
2021,Jan,5
