Owner:,SIMMONS HARRIS H
Cname:,ZIONS BANCORPORATION
Google Trends Search Term:,Harris H Simmons
Google Trends Suggestion:,CEO of Zions Bancorporation
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,87
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,81
2005,Aug,0
2005,Sep,70
2005,Oct,0
2005,Nov,0
2005,Dec,64
2006,Jan,0
2006,Feb,59
2006,Mar,52
2006,Apr,0
2006,May,0
2006,Jun,55
2006,Jul,53
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,37
2007,Jul,70
2007,Aug,33
2007,Sep,100
2007,Oct,30
2007,Nov,0
2007,Dec,31
2008,Jan,55
2008,Feb,0
2008,Mar,28
2008,Apr,27
2008,May,27
2008,Jun,29
2008,Jul,0
2008,Aug,55
2008,Sep,0
2008,Oct,23
2008,Nov,0
2008,Dec,51
2009,Jan,0
2009,Feb,0
2009,Mar,45
2009,Apr,23
2009,May,0
2009,Jun,24
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,19
2009,Nov,0
2009,Dec,19
2010,Jan,37
2010,Feb,0
2010,Mar,35
2010,Apr,18
2010,May,0
2010,Jun,38
2010,Jul,16
2010,Aug,16
2010,Sep,15
2010,Oct,0
2010,Nov,0
2010,Dec,15
2011,Jan,0
2011,Feb,37
2011,Mar,11
2011,Apr,12
2011,May,0
2011,Jun,0
2011,Jul,11
2011,Aug,0
2011,Sep,32
2011,Oct,0
2011,Nov,10
2011,Dec,0
2012,Jan,37
2012,Feb,28
2012,Mar,0
2012,Apr,28
2012,May,9
2012,Jun,18
2012,Jul,9
2012,Aug,9
2012,Sep,35
2012,Oct,0
2012,Nov,0
2012,Dec,8
2013,Jan,0
2013,Feb,8
2013,Mar,15
2013,Apr,7
2013,May,0
2013,Jun,0
2013,Jul,15
2013,Aug,0
2013,Sep,0
2013,Oct,14
2013,Nov,0
2013,Dec,0
2014,Jan,7
2014,Feb,7
2014,Mar,7
2014,Apr,0
2014,May,8
2014,Jun,25
2014,Jul,8
2014,Aug,8
2014,Sep,0
2014,Oct,22
2014,Nov,24
2014,Dec,23
2015,Jan,7
2015,Feb,8
2015,Mar,8
2015,Apr,15
2015,May,16
2015,Jun,16
2015,Jul,8
2015,Aug,16
2015,Sep,16
2015,Oct,7
2015,Nov,8
2015,Dec,8
2016,Jan,12
2016,Feb,6
2016,Mar,6
2016,Apr,6
2016,May,6
2016,Jun,13
2016,Jul,7
2016,Aug,13
2016,Sep,6
2016,Oct,6
2016,Nov,6
2016,Dec,18
2017,Jan,0
2017,Feb,6
2017,Mar,11
2017,Apr,11
2017,May,23
2017,Jun,49
2017,Jul,0
2017,Aug,0
2017,Sep,6
2017,Oct,6
2017,Nov,34
2017,Dec,0
2018,Jan,11
2018,Feb,0
2018,Mar,11
2018,Apr,6
2018,May,5
2018,Jun,0
2018,Jul,6
2018,Aug,0
2018,Sep,11
2018,Oct,16
2018,Nov,22
2018,Dec,0
2019,Jan,11
2019,Feb,17
2019,Mar,16
2019,Apr,6
2019,May,11
2019,Jun,0
2019,Jul,0
2019,Aug,5
2019,Sep,10
2019,Oct,15
2019,Nov,10
2019,Dec,15
2020,Jan,10
2020,Feb,5
2020,Mar,0
2020,Apr,0
2020,May,4
2020,Jun,9
2020,Jul,5
2020,Aug,0
2020,Sep,5
2020,Oct,16
2020,Nov,15
2020,Dec,26
2021,Jan,5
