Owner:,WOODS DARREN W
Cname:,EXXON MOBIL CORP
Google Trends Search Term:,Darren Woods
Google Trends Suggestion:,Chief Executive Officer of ExxonMobil
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,42
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,28
2004,Dec,25
2005,Jan,0
2005,Feb,23
2005,Mar,0
2005,Apr,90
2005,May,0
2005,Jun,21
2005,Jul,0
2005,Aug,19
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,14
2006,Jul,13
2006,Aug,0
2006,Sep,0
2006,Oct,11
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,10
2007,Mar,9
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,8
2007,Nov,15
2007,Dec,0
2008,Jan,14
2008,Feb,7
2008,Mar,14
2008,Apr,0
2008,May,7
2008,Jun,7
2008,Jul,7
2008,Aug,7
2008,Sep,0
2008,Oct,6
2008,Nov,0
2008,Dec,0
2009,Jan,6
2009,Feb,0
2009,Mar,6
2009,Apr,6
2009,May,0
2009,Jun,6
2009,Jul,0
2009,Aug,23
2009,Sep,6
2009,Oct,0
2009,Nov,5
2009,Dec,5
2010,Jan,10
2010,Feb,5
2010,Mar,0
2010,Apr,0
2010,May,10
2010,Jun,0
2010,Jul,4
2010,Aug,0
2010,Sep,0
2010,Oct,16
2010,Nov,12
2010,Dec,0
2011,Jan,3
2011,Feb,7
2011,Mar,0
2011,Apr,3
2011,May,6
2011,Jun,3
2011,Jul,3
2011,Aug,6
2011,Sep,3
2011,Oct,5
2011,Nov,6
2011,Dec,5
2012,Jan,5
2012,Feb,0
2012,Mar,5
2012,Apr,5
2012,May,2
2012,Jun,5
2012,Jul,7
2012,Aug,2
2012,Sep,7
2012,Oct,7
2012,Nov,0
2012,Dec,2
2013,Jan,4
2013,Feb,2
2013,Mar,2
2013,Apr,2
2013,May,10
2013,Jun,8
2013,Jul,8
2013,Aug,6
2013,Sep,0
2013,Oct,4
2013,Nov,2
2013,Dec,4
2014,Jan,6
2014,Feb,4
2014,Mar,9
2014,Apr,8
2014,May,2
2014,Jun,11
2014,Jul,9
2014,Aug,4
2014,Sep,15
2014,Oct,2
2014,Nov,4
2014,Dec,6
2015,Jan,10
2015,Feb,4
2015,Mar,8
2015,Apr,4
2015,May,0
2015,Jun,5
2015,Jul,2
2015,Aug,2
2015,Sep,0
2015,Oct,0
2015,Nov,9
2015,Dec,62
2016,Jan,10
2016,Feb,7
2016,Mar,10
2016,Apr,7
2016,May,5
2016,Jun,11
2016,Jul,4
2016,Aug,7
2016,Sep,21
2016,Oct,8
2016,Nov,8
2016,Dec,100
2017,Jan,66
2017,Feb,64
2017,Mar,56
2017,Apr,22
2017,May,14
2017,Jun,17
2017,Jul,20
2017,Aug,11
2017,Sep,17
2017,Oct,20
2017,Nov,12
2017,Dec,14
2018,Jan,22
2018,Feb,18
2018,Mar,15
2018,Apr,17
2018,May,10
2018,Jun,22
2018,Jul,30
2018,Aug,12
2018,Sep,27
2018,Oct,20
2018,Nov,21
2018,Dec,20
2019,Jan,9
2019,Feb,16
2019,Mar,13
2019,Apr,14
2019,May,17
2019,Jun,22
2019,Jul,18
2019,Aug,12
2019,Sep,22
2019,Oct,18
2019,Nov,27
2019,Dec,14
2020,Jan,16
2020,Feb,28
2020,Mar,30
2020,Apr,56
2020,May,20
2020,Jun,8
2020,Jul,6
2020,Aug,37
2020,Sep,21
2020,Oct,30
2020,Nov,14
2020,Dec,14
2021,Jan,11
