Owner:,ADAMS DAVID CHARLES
Cname:,CURTISS WRIGHT CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,80
2004,Feb,0
2004,Mar,100
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,66
2004,Dec,0
2005,Jan,52
2005,Feb,0
2005,Mar,46
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,48
2005,Aug,45
2005,Sep,0
2005,Oct,0
2005,Nov,40
2005,Dec,0
2006,Jan,34
2006,Feb,35
2006,Mar,31
2006,Apr,0
2006,May,0
2006,Jun,33
2006,Jul,32
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,47
2007,Feb,25
2007,Mar,22
2007,Apr,23
2007,May,42
2007,Jun,0
2007,Jul,21
2007,Aug,20
2007,Sep,0
2007,Oct,36
2007,Nov,36
2007,Dec,0
2008,Jan,49
2008,Feb,51
2008,Mar,16
2008,Apr,16
2008,May,16
2008,Jun,17
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,31
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,27
2009,Apr,41
2009,May,28
2009,Jun,14
2009,Jul,0
2009,Aug,14
2009,Sep,0
2009,Oct,13
2009,Nov,39
2009,Dec,25
2010,Jan,12
2010,Feb,0
2010,Mar,0
2010,Apr,12
2010,May,0
2010,Jun,49
2010,Jul,0
2010,Aug,10
2010,Sep,20
2010,Oct,29
2010,Nov,9
2010,Dec,9
2011,Jan,37
2011,Feb,32
2011,Mar,0
2011,Apr,7
2011,May,15
2011,Jun,15
2011,Jul,15
2011,Aug,14
2011,Sep,7
2011,Oct,6
2011,Nov,13
2011,Dec,13
2012,Jan,18
2012,Feb,12
2012,Mar,11
2012,Apr,6
2012,May,6
2012,Jun,6
2012,Jul,17
2012,Aug,6
2012,Sep,23
2012,Oct,16
2012,Nov,22
2012,Dec,5
2013,Jan,0
2013,Feb,10
2013,Mar,5
2013,Apr,5
2013,May,10
2013,Jun,5
2013,Jul,20
2013,Aug,19
2013,Sep,10
2013,Oct,5
2013,Nov,5
2013,Dec,0
2014,Jan,18
2014,Feb,5
2014,Mar,9
2014,Apr,9
2014,May,34
2014,Jun,22
2014,Jul,16
2014,Aug,21
2014,Sep,5
2014,Oct,19
2014,Nov,15
2014,Dec,15
2015,Jan,14
2015,Feb,5
2015,Mar,5
2015,Apr,5
2015,May,10
2015,Jun,5
2015,Jul,11
2015,Aug,6
2015,Sep,11
2015,Oct,10
2015,Nov,5
2015,Dec,10
2016,Jan,4
2016,Feb,9
2016,Mar,21
2016,Apr,0
2016,May,13
2016,Jun,0
2016,Jul,4
2016,Aug,5
2016,Sep,13
2016,Oct,8
2016,Nov,4
2016,Dec,4
2017,Jan,4
2017,Feb,8
2017,Mar,7
2017,Apr,0
2017,May,0
2017,Jun,4
2017,Jul,8
2017,Aug,8
2017,Sep,4
2017,Oct,8
2017,Nov,23
2017,Dec,8
2018,Jan,0
2018,Feb,8
2018,Mar,7
2018,Apr,11
2018,May,4
2018,Jun,4
2018,Jul,16
2018,Aug,4
2018,Sep,8
2018,Oct,8
2018,Nov,15
2018,Dec,11
2019,Jan,15
2019,Feb,12
2019,Mar,18
2019,Apr,8
2019,May,11
2019,Jun,8
2019,Jul,0
2019,Aug,15
2019,Sep,4
2019,Oct,0
2019,Nov,4
2019,Dec,7
2020,Jan,10
2020,Feb,3
2020,Mar,3
2020,Apr,3
2020,May,9
2020,Jun,10
2020,Jul,0
2020,Aug,13
2020,Sep,3
2020,Oct,11
2020,Nov,4
2020,Dec,21
2021,Jan,3
