Owner:,ALEXANDER MICHAEL J
Cname:,NI HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,55
2004,May,0
2004,Jun,0
2004,Jul,53
2004,Aug,47
2004,Sep,0
2004,Oct,0
2004,Nov,48
2004,Dec,85
2005,Jan,0
2005,Feb,0
2005,Mar,100
2005,Apr,38
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,27
2006,Jan,0
2006,Feb,25
2006,Mar,0
2006,Apr,71
2006,May,45
2006,Jun,24
2006,Jul,0
2006,Aug,0
2006,Sep,21
2006,Oct,39
2006,Nov,0
2006,Dec,38
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,16
2007,May,15
2007,Jun,16
2007,Jul,30
2007,Aug,14
2007,Sep,0
2007,Oct,13
2007,Nov,26
2007,Dec,13
2008,Jan,12
2008,Feb,24
2008,Mar,12
2008,Apr,12
2008,May,35
2008,Jun,0
2008,Jul,24
2008,Aug,0
2008,Sep,0
2008,Oct,40
2008,Nov,11
2008,Dec,22
2009,Jan,0
2009,Feb,32
2009,Mar,19
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,10
2009,Aug,0
2009,Sep,19
2009,Oct,19
2009,Nov,0
2009,Dec,0
2010,Jan,18
2010,Feb,28
2010,Mar,9
2010,Apr,0
2010,May,37
2010,Jun,9
2010,Jul,8
2010,Aug,16
2010,Sep,15
2010,Oct,7
2010,Nov,0
2010,Dec,7
2011,Jan,11
2011,Feb,12
2011,Mar,5
2011,Apr,11
2011,May,6
2011,Jun,6
2011,Jul,6
2011,Aug,21
2011,Sep,16
2011,Oct,25
2011,Nov,0
2011,Dec,14
2012,Jan,23
2012,Feb,5
2012,Mar,26
2012,Apr,5
2012,May,9
2012,Jun,14
2012,Jul,13
2012,Aug,21
2012,Sep,13
2012,Oct,12
2012,Nov,12
2012,Dec,16
2013,Jan,11
2013,Feb,16
2013,Mar,4
2013,Apr,4
2013,May,11
2013,Jun,4
2013,Jul,15
2013,Aug,7
2013,Sep,11
2013,Oct,10
2013,Nov,4
2013,Dec,4
2014,Jan,7
2014,Feb,7
2014,Mar,17
2014,Apr,14
2014,May,4
2014,Jun,4
2014,Jul,28
2014,Aug,8
2014,Sep,8
2014,Oct,11
2014,Nov,16
2014,Dec,11
2015,Jan,29
2015,Feb,20
2015,Mar,11
2015,Apr,19
2015,May,12
2015,Jun,8
2015,Jul,11
2015,Aug,15
2015,Sep,14
2015,Oct,24
2015,Nov,0
2015,Dec,10
2016,Jan,14
2016,Feb,21
2016,Mar,8
2016,Apr,11
2016,May,11
2016,Jun,12
2016,Jul,9
2016,Aug,15
2016,Sep,6
2016,Oct,20
2016,Nov,3
2016,Dec,13
2017,Jan,5
2017,Feb,24
2017,Mar,12
2017,Apr,13
2017,May,8
2017,Jun,17
2017,Jul,6
2017,Aug,13
2017,Sep,10
2017,Oct,5
2017,Nov,13
2017,Dec,15
2018,Jan,12
2018,Feb,16
2018,Mar,10
2018,Apr,10
2018,May,5
2018,Jun,16
2018,Jul,13
2018,Aug,20
2018,Sep,13
2018,Oct,15
2018,Nov,13
2018,Dec,5
2019,Jan,10
2019,Feb,16
2019,Mar,15
2019,Apr,8
2019,May,12
2019,Jun,13
2019,Jul,13
2019,Aug,10
2019,Sep,10
2019,Oct,5
2019,Nov,9
2019,Dec,12
2020,Jan,13
2020,Feb,16
2020,Mar,10
2020,Apr,8
2020,May,8
2020,Jun,19
2020,Jul,6
2020,Aug,8
2020,Sep,13
2020,Oct,12
2020,Nov,2
2020,Dec,12
2021,Jan,2
