Owner:,ANDERSON DAVID M
Cname:,LONE PINE RESOURCES INC DE
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,78
2004,Mar,100
2004,Apr,0
2004,May,70
2004,Jun,0
2004,Jul,0
2004,Aug,66
2004,Sep,63
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,46
2005,Apr,53
2005,May,0
2005,Jun,98
2005,Jul,0
2005,Aug,45
2005,Sep,0
2005,Oct,0
2005,Nov,81
2005,Dec,76
2006,Jan,34
2006,Feb,35
2006,Mar,0
2006,Apr,0
2006,May,31
2006,Jun,0
2006,Jul,0
2006,Aug,29
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,27
2007,Jan,47
2007,Feb,25
2007,Mar,22
2007,Apr,23
2007,May,42
2007,Jun,66
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,18
2007,Dec,37
2008,Jan,33
2008,Feb,17
2008,Mar,49
2008,Apr,16
2008,May,33
2008,Jun,17
2008,Jul,17
2008,Aug,0
2008,Sep,45
2008,Oct,56
2008,Nov,0
2008,Dec,0
2009,Jan,28
2009,Feb,15
2009,Mar,41
2009,Apr,27
2009,May,14
2009,Jun,14
2009,Jul,56
2009,Aug,27
2009,Sep,26
2009,Oct,25
2009,Nov,51
2009,Dec,13
2010,Jan,12
2010,Feb,25
2010,Mar,22
2010,Apr,12
2010,May,0
2010,Jun,25
2010,Jul,32
2010,Aug,0
2010,Sep,20
2010,Oct,58
2010,Nov,0
2010,Dec,19
2011,Jan,7
2011,Feb,8
2011,Mar,22
2011,Apr,30
2011,May,7
2011,Jun,0
2011,Jul,37
2011,Aug,21
2011,Sep,7
2011,Oct,13
2011,Nov,13
2011,Dec,38
2012,Jan,30
2012,Feb,54
2012,Mar,11
2012,Apr,24
2012,May,17
2012,Jun,6
2012,Jul,29
2012,Aug,0
2012,Sep,45
2012,Oct,16
2012,Nov,43
2012,Dec,21
2013,Jan,19
2013,Feb,10
2013,Mar,14
2013,Apr,19
2013,May,19
2013,Jun,5
2013,Jul,10
2013,Aug,14
2013,Sep,24
2013,Oct,14
2013,Nov,19
2013,Dec,9
2014,Jan,13
2014,Feb,10
2014,Mar,9
2014,Apr,18
2014,May,10
2014,Jun,0
2014,Jul,21
2014,Aug,0
2014,Sep,15
2014,Oct,10
2014,Nov,5
2014,Dec,0
2015,Jan,19
2015,Feb,20
2015,Mar,15
2015,Apr,10
2015,May,5
2015,Jun,11
2015,Jul,16
2015,Aug,10
2015,Sep,15
2015,Oct,9
2015,Nov,10
2015,Dec,24
2016,Jan,8
2016,Feb,8
2016,Mar,11
2016,Apr,47
2016,May,12
2016,Jun,0
2016,Jul,25
2016,Aug,25
2016,Sep,20
2016,Oct,31
2016,Nov,12
2016,Dec,0
2017,Jan,11
2017,Feb,11
2017,Mar,20
2017,Apr,7
2017,May,18
2017,Jun,8
2017,Jul,16
2017,Aug,15
2017,Sep,11
2017,Oct,11
2017,Nov,4
2017,Dec,4
2018,Jan,10
2018,Feb,15
2018,Mar,3
2018,Apr,18
2018,May,14
2018,Jun,11
2018,Jul,14
2018,Aug,18
2018,Sep,7
2018,Oct,21
2018,Nov,25
2018,Dec,4
2019,Jan,17
2019,Feb,4
2019,Mar,20
2019,Apr,21
2019,May,7
2019,Jun,14
2019,Jul,32
2019,Aug,17
2019,Sep,13
2019,Oct,0
2019,Nov,10
2019,Dec,13
2020,Jan,3
2020,Feb,13
2020,Mar,3
2020,Apr,8
2020,May,3
2020,Jun,6
2020,Jul,9
2020,Aug,12
2020,Sep,15
2020,Oct,39
2020,Nov,13
2020,Dec,3
2021,Jan,13
