Owner:,ANDERSON JAMES ROBERT
Cname:,LATTICE SEMICONDUCTOR CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,39
2004,Mar,25
2004,Apr,0
2004,May,17
2004,Jun,18
2004,Jul,55
2004,Aug,16
2004,Sep,31
2004,Oct,48
2004,Nov,17
2004,Dec,15
2005,Jan,13
2005,Feb,14
2005,Mar,0
2005,Apr,27
2005,May,48
2005,Jun,12
2005,Jul,24
2005,Aug,23
2005,Sep,10
2005,Oct,0
2005,Nov,10
2005,Dec,38
2006,Jan,26
2006,Feb,0
2006,Mar,23
2006,Apr,25
2006,May,23
2006,Jun,0
2006,Jul,40
2006,Aug,15
2006,Sep,7
2006,Oct,7
2006,Nov,7
2006,Dec,7
2007,Jan,29
2007,Feb,25
2007,Mar,11
2007,Apr,17
2007,May,5
2007,Jun,11
2007,Jul,0
2007,Aug,10
2007,Sep,25
2007,Oct,18
2007,Nov,36
2007,Dec,19
2008,Jan,16
2008,Feb,8
2008,Mar,16
2008,Apr,8
2008,May,20
2008,Jun,9
2008,Jul,29
2008,Aug,8
2008,Sep,19
2008,Oct,14
2008,Nov,15
2008,Dec,8
2009,Jan,7
2009,Feb,22
2009,Mar,7
2009,Apr,0
2009,May,17
2009,Jun,4
2009,Jul,14
2009,Aug,10
2009,Sep,13
2009,Oct,3
2009,Nov,10
2009,Dec,22
2010,Jan,21
2010,Feb,12
2010,Mar,25
2010,Apr,14
2010,May,18
2010,Jun,27
2010,Jul,16
2010,Aug,5
2010,Sep,7
2010,Oct,12
2010,Nov,5
2010,Dec,19
2011,Jan,13
2011,Feb,14
2011,Mar,7
2011,Apr,13
2011,May,14
2011,Jun,7
2011,Jul,11
2011,Aug,14
2011,Sep,7
2011,Oct,14
2011,Nov,5
2011,Dec,16
2012,Jan,18
2012,Feb,9
2012,Mar,9
2012,Apr,6
2012,May,7
2012,Jun,7
2012,Jul,11
2012,Aug,14
2012,Sep,7
2012,Oct,22
2012,Nov,13
2012,Dec,17
2013,Jan,14
2013,Feb,13
2013,Mar,7
2013,Apr,11
2013,May,11
2013,Jun,10
2013,Jul,16
2013,Aug,13
2013,Sep,12
2013,Oct,9
2013,Nov,12
2013,Dec,13
2014,Jan,14
2014,Feb,11
2014,Mar,5
2014,Apr,14
2014,May,8
2014,Jun,11
2014,Jul,7
2014,Aug,12
2014,Sep,5
2014,Oct,7
2014,Nov,8
2014,Dec,10
2015,Jan,7
2015,Feb,14
2015,Mar,7
2015,Apr,11
2015,May,13
2015,Jun,9
2015,Jul,12
2015,Aug,8
2015,Sep,9
2015,Oct,9
2015,Nov,10
2015,Dec,10
2016,Jan,12
2016,Feb,7
2016,Mar,13
2016,Apr,8
2016,May,5
2016,Jun,6
2016,Jul,5
2016,Aug,3
2016,Sep,9
2016,Oct,10
2016,Nov,7
2016,Dec,10
2017,Jan,9
2017,Feb,9
2017,Mar,4
2017,Apr,8
2017,May,12
2017,Jun,7
2017,Jul,9
2017,Aug,6
2017,Sep,5
2017,Oct,16
2017,Nov,12
2017,Dec,11
2018,Jan,6
2018,Feb,10
2018,Mar,12
2018,Apr,13
2018,May,12
2018,Jun,8
2018,Jul,9
2018,Aug,7
2018,Sep,5
2018,Oct,9
2018,Nov,8
2018,Dec,6
2019,Jan,6
2019,Feb,8
2019,Mar,14
2019,Apr,6
2019,May,8
2019,Jun,4
2019,Jul,5
2019,Aug,8
2019,Sep,7
2019,Oct,9
2019,Nov,6
2019,Dec,15
2020,Jan,7
2020,Feb,7
2020,Mar,5
2020,Apr,5
2020,May,6
2020,Jun,11
2020,Jul,11
2020,Aug,8
2020,Sep,7
2020,Oct,10
2020,Nov,12
2020,Dec,9
2021,Jan,4
