Owner:,ATCHISON JAMES
Cname:,SEAWORLD ENTERTAINMENT INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,80
2004,Mar,0
2004,Apr,0
2004,May,71
2004,Jun,0
2004,Jul,75
2004,Aug,0
2004,Sep,65
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,48
2005,Apr,0
2005,May,98
2005,Jun,100
2005,Jul,0
2005,Aug,46
2005,Sep,43
2005,Oct,40
2005,Nov,41
2005,Dec,0
2006,Jan,0
2006,Feb,36
2006,Mar,0
2006,Apr,34
2006,May,0
2006,Jun,67
2006,Jul,33
2006,Aug,90
2006,Sep,30
2006,Oct,0
2006,Nov,0
2006,Dec,27
2007,Jan,24
2007,Feb,51
2007,Mar,46
2007,Apr,23
2007,May,43
2007,Jun,45
2007,Jul,43
2007,Aug,41
2007,Sep,20
2007,Oct,73
2007,Nov,0
2007,Dec,38
2008,Jan,17
2008,Feb,17
2008,Mar,34
2008,Apr,50
2008,May,17
2008,Jun,18
2008,Jul,34
2008,Aug,17
2008,Sep,31
2008,Oct,0
2008,Nov,0
2008,Dec,46
2009,Jan,15
2009,Feb,15
2009,Mar,0
2009,Apr,28
2009,May,29
2009,Jun,0
2009,Jul,28
2009,Aug,14
2009,Sep,40
2009,Oct,26
2009,Nov,13
2009,Dec,26
2010,Jan,0
2010,Feb,13
2010,Mar,23
2010,Apr,12
2010,May,0
2010,Jun,38
2010,Jul,22
2010,Aug,0
2010,Sep,30
2010,Oct,20
2010,Nov,10
2010,Dec,29
2011,Jan,8
2011,Feb,25
2011,Mar,37
2011,Apr,54
2011,May,22
2011,Jun,31
2011,Jul,0
2011,Aug,7
2011,Sep,0
2011,Oct,13
2011,Nov,20
2011,Dec,6
2012,Jan,12
2012,Feb,12
2012,Mar,23
2012,Apr,25
2012,May,35
2012,Jun,31
2012,Jul,18
2012,Aug,11
2012,Sep,35
2012,Oct,16
2012,Nov,17
2012,Dec,16
2013,Jan,30
2013,Feb,5
2013,Mar,34
2013,Apr,15
2013,May,25
2013,Jun,26
2013,Jul,15
2013,Aug,10
2013,Sep,29
2013,Oct,14
2013,Nov,10
2013,Dec,19
2014,Jan,23
2014,Feb,10
2014,Mar,14
2014,Apr,19
2014,May,25
2014,Jun,6
2014,Jul,33
2014,Aug,37
2014,Sep,15
2014,Oct,24
2014,Nov,10
2014,Dec,21
2015,Jan,15
2015,Feb,37
2015,Mar,25
2015,Apr,21
2015,May,21
2015,Jun,16
2015,Jul,32
2015,Aug,5
2015,Sep,5
2015,Oct,10
2015,Nov,20
2015,Dec,20
2016,Jan,12
2016,Feb,25
2016,Mar,23
2016,Apr,16
2016,May,8
2016,Jun,0
2016,Jul,13
2016,Aug,21
2016,Sep,12
2016,Oct,20
2016,Nov,16
2016,Dec,15
2017,Jan,18
2017,Feb,23
2017,Mar,21
2017,Apr,15
2017,May,11
2017,Jun,12
2017,Jul,12
2017,Aug,23
2017,Sep,7
2017,Oct,14
2017,Nov,15
2017,Dec,15
2018,Jan,14
2018,Feb,19
2018,Mar,38
2018,Apr,25
2018,May,25
2018,Jun,11
2018,Jul,22
2018,Aug,11
2018,Sep,33
2018,Oct,7
2018,Nov,4
2018,Dec,14
2019,Jan,14
2019,Feb,15
2019,Mar,28
2019,Apr,4
2019,May,7
2019,Jun,15
2019,Jul,22
2019,Aug,17
2019,Sep,31
2019,Oct,6
2019,Nov,7
2019,Dec,3
2020,Jan,12
2020,Feb,26
2020,Mar,11
2020,Apr,6
2020,May,8
2020,Jun,24
2020,Jul,18
2020,Aug,15
2020,Sep,12
2020,Oct,7
2020,Nov,13
2020,Dec,17
2021,Jan,6
