Owner:,BAKER RICHARD A
Cname:,NRDC ACQUISITION CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,40
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,38
2004,Aug,34
2004,Sep,0
2004,Oct,0
2004,Nov,34
2004,Dec,30
2005,Jan,0
2005,Feb,0
2005,Mar,24
2005,Apr,0
2005,May,24
2005,Jun,100
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,21
2005,Dec,20
2006,Jan,17
2006,Feb,18
2006,Mar,0
2006,Apr,17
2006,May,0
2006,Jun,34
2006,Jul,16
2006,Aug,15
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,13
2007,Mar,11
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,20
2007,Sep,20
2007,Oct,9
2007,Nov,0
2007,Dec,0
2008,Jan,17
2008,Feb,0
2008,Mar,25
2008,Apr,8
2008,May,8
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,23
2008,Oct,21
2008,Nov,16
2008,Dec,8
2009,Jan,0
2009,Feb,0
2009,Mar,28
2009,Apr,21
2009,May,14
2009,Jun,14
2009,Jul,7
2009,Aug,7
2009,Sep,7
2009,Oct,21
2009,Nov,21
2009,Dec,7
2010,Jan,0
2010,Feb,0
2010,Mar,18
2010,Apr,13
2010,May,0
2010,Jun,14
2010,Jul,6
2010,Aug,6
2010,Sep,11
2010,Oct,21
2010,Nov,5
2010,Dec,21
2011,Jan,8
2011,Feb,9
2011,Mar,4
2011,Apr,12
2011,May,20
2011,Jun,4
2011,Jul,4
2011,Aug,4
2011,Sep,11
2011,Oct,11
2011,Nov,7
2011,Dec,3
2012,Jan,3
2012,Feb,7
2012,Mar,13
2012,Apr,10
2012,May,19
2012,Jun,7
2012,Jul,3
2012,Aug,9
2012,Sep,9
2012,Oct,14
2012,Nov,18
2012,Dec,9
2013,Jan,35
2013,Feb,17
2013,Mar,13
2013,Apr,3
2013,May,5
2013,Jun,14
2013,Jul,16
2013,Aug,8
2013,Sep,3
2013,Oct,18
2013,Nov,18
2013,Dec,5
2014,Jan,12
2014,Feb,5
2014,Mar,5
2014,Apr,10
2014,May,5
2014,Jun,3
2014,Jul,6
2014,Aug,3
2014,Sep,8
2014,Oct,3
2014,Nov,8
2014,Dec,14
2015,Jan,5
2015,Feb,11
2015,Mar,13
2015,Apr,3
2015,May,14
2015,Jun,3
2015,Jul,11
2015,Aug,13
2015,Sep,18
2015,Oct,7
2015,Nov,10
2015,Dec,5
2016,Jan,10
2016,Feb,10
2016,Mar,14
2016,Apr,6
2016,May,8
2016,Jun,6
2016,Jul,11
2016,Aug,8
2016,Sep,4
2016,Oct,10
2016,Nov,2
2016,Dec,8
2017,Jan,11
2017,Feb,15
2017,Mar,14
2017,Apr,9
2017,May,4
2017,Jun,8
2017,Jul,4
2017,Aug,9
2017,Sep,15
2017,Oct,7
2017,Nov,5
2017,Dec,7
2018,Jan,7
2018,Feb,6
2018,Mar,10
2018,Apr,9
2018,May,17
2018,Jun,17
2018,Jul,7
2018,Aug,13
2018,Sep,18
2018,Oct,5
2018,Nov,25
2018,Dec,9
2019,Jan,7
2019,Feb,11
2019,Mar,5
2019,Apr,7
2019,May,9
2019,Jun,9
2019,Jul,11
2019,Aug,9
2019,Sep,7
2019,Oct,19
2019,Nov,13
2019,Dec,3
2020,Jan,8
2020,Feb,8
2020,Mar,7
2020,Apr,11
2020,May,15
2020,Jun,7
2020,Jul,11
2020,Aug,7
2020,Sep,12
2020,Oct,12
2020,Nov,7
2020,Dec,7
2021,Jan,14
