Owner:,BEALL SANDY
Cname:,FAST ACQUISITION CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,54
2004,Aug,49
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,35
2005,Jun,0
2005,Jul,35
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,28
2006,Jan,25
2006,Feb,26
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,22
2006,Oct,0
2006,Nov,20
2006,Dec,0
2007,Jan,17
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,16
2007,Jul,0
2007,Aug,0
2007,Sep,15
2007,Oct,13
2007,Nov,0
2007,Dec,0
2008,Jan,12
2008,Feb,12
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,11
2008,Oct,0
2008,Nov,23
2008,Dec,0
2009,Jan,10
2009,Feb,11
2009,Mar,0
2009,Apr,10
2009,May,10
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,9
2009,Nov,9
2009,Dec,9
2010,Jan,0
2010,Feb,0
2010,Mar,8
2010,Apr,0
2010,May,8
2010,Jun,25
2010,Jul,14
2010,Aug,14
2010,Sep,7
2010,Oct,7
2010,Nov,6
2010,Dec,6
2011,Jan,5
2011,Feb,5
2011,Mar,0
2011,Apr,5
2011,May,0
2011,Jun,10
2011,Jul,5
2011,Aug,9
2011,Sep,14
2011,Oct,0
2011,Nov,9
2011,Dec,13
2012,Jan,8
2012,Feb,20
2012,Mar,8
2012,Apr,21
2012,May,19
2012,Jun,20
2012,Jul,19
2012,Aug,11
2012,Sep,8
2012,Oct,7
2012,Nov,11
2012,Dec,7
2013,Jan,10
2013,Feb,4
2013,Mar,13
2013,Apr,13
2013,May,3
2013,Jun,7
2013,Jul,7
2013,Aug,7
2013,Sep,6
2013,Oct,0
2013,Nov,3
2013,Dec,6
2014,Jan,0
2014,Feb,3
2014,Mar,3
2014,Apr,9
2014,May,3
2014,Jun,0
2014,Jul,11
2014,Aug,11
2014,Sep,10
2014,Oct,10
2014,Nov,0
2014,Dec,7
2015,Jan,0
2015,Feb,10
2015,Mar,3
2015,Apr,3
2015,May,0
2015,Jun,0
2015,Jul,0
2015,Aug,7
2015,Sep,7
2015,Oct,10
2015,Nov,3
2015,Dec,10
2016,Jan,11
2016,Feb,100
2016,Mar,23
2016,Apr,13
2016,May,11
2016,Jun,8
2016,Jul,6
2016,Aug,20
2016,Sep,11
2016,Oct,5
2016,Nov,3
2016,Dec,3
2017,Jan,0
2017,Feb,10
2017,Mar,7
2017,Apr,7
2017,May,13
2017,Jun,5
2017,Jul,5
2017,Aug,7
2017,Sep,5
2017,Oct,12
2017,Nov,7
2017,Dec,2
2018,Jan,5
2018,Feb,5
2018,Mar,0
2018,Apr,5
2018,May,12
2018,Jun,2
2018,Jul,2
2018,Aug,2
2018,Sep,7
2018,Oct,9
2018,Nov,0
2018,Dec,5
2019,Jan,7
2019,Feb,5
2019,Mar,2
2019,Apr,2
2019,May,7
2019,Jun,2
2019,Jul,7
2019,Aug,2
2019,Sep,5
2019,Oct,9
2019,Nov,4
2019,Dec,4
2020,Jan,2
2020,Feb,20
2020,Mar,11
2020,Apr,6
2020,May,6
2020,Jun,14
2020,Jul,12
2020,Aug,14
2020,Sep,34
2020,Oct,9
2020,Nov,0
2020,Dec,11
2021,Jan,9
