Owner:,BEST ROBERT W
Cname:,ATMOS ENERGY CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,87
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,70
2005,May,0
2005,Jun,0
2005,Jul,63
2005,Aug,59
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,100
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,41
2006,Jun,43
2006,Jul,0
2006,Aug,76
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,33
2007,Mar,88
2007,Apr,0
2007,May,27
2007,Jun,0
2007,Jul,0
2007,Aug,52
2007,Sep,0
2007,Oct,23
2007,Nov,23
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,22
2008,Apr,21
2008,May,0
2008,Jun,45
2008,Jul,0
2008,Aug,43
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,20
2009,Mar,35
2009,Apr,18
2009,May,0
2009,Jun,18
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,17
2009,Nov,35
2009,Dec,0
2010,Jan,16
2010,Feb,0
2010,Mar,15
2010,Apr,16
2010,May,0
2010,Jun,17
2010,Jul,14
2010,Aug,14
2010,Sep,0
2010,Oct,26
2010,Nov,13
2010,Dec,13
2011,Jan,50
2011,Feb,54
2011,Mar,29
2011,Apr,20
2011,May,10
2011,Jun,30
2011,Jul,30
2011,Aug,19
2011,Sep,9
2011,Oct,26
2011,Nov,9
2011,Dec,8
2012,Jan,24
2012,Feb,56
2012,Mar,8
2012,Apr,41
2012,May,46
2012,Jun,40
2012,Jul,0
2012,Aug,37
2012,Sep,15
2012,Oct,14
2012,Nov,15
2012,Dec,35
2013,Jan,26
2013,Feb,28
2013,Mar,25
2013,Apr,33
2013,May,13
2013,Jun,27
2013,Jul,20
2013,Aug,39
2013,Sep,51
2013,Oct,18
2013,Nov,19
2013,Dec,25
2014,Jan,24
2014,Feb,26
2014,Mar,18
2014,Apr,18
2014,May,39
2014,Jun,22
2014,Jul,7
2014,Aug,28
2014,Sep,27
2014,Oct,51
2014,Nov,28
2014,Dec,27
2015,Jan,13
2015,Feb,34
2015,Mar,13
2015,Apr,61
2015,May,14
2015,Jun,7
2015,Jul,21
2015,Aug,54
2015,Sep,33
2015,Oct,31
2015,Nov,19
2015,Dec,31
2016,Jan,26
2016,Feb,38
2016,Mar,35
2016,Apr,47
2016,May,16
2016,Jun,11
2016,Jul,16
2016,Aug,22
2016,Sep,26
2016,Oct,36
2016,Nov,31
2016,Dec,24
2017,Jan,23
2017,Feb,40
2017,Mar,45
2017,Apr,28
2017,May,19
2017,Jun,21
2017,Jul,31
2017,Aug,29
2017,Sep,14
2017,Oct,33
2017,Nov,9
2017,Dec,14
2018,Jan,13
2018,Feb,10
2018,Mar,31
2018,Apr,9
2018,May,23
2018,Jun,19
2018,Jul,24
2018,Aug,28
2018,Sep,5
2018,Oct,23
2018,Nov,5
2018,Dec,14
2019,Jan,18
2019,Feb,14
2019,Mar,36
2019,Apr,9
2019,May,23
2019,Jun,24
2019,Jul,19
2019,Aug,22
2019,Sep,22
2019,Oct,21
2019,Nov,9
2019,Dec,30
2020,Jan,32
2020,Feb,8
2020,Mar,11
2020,Apr,11
2020,May,15
2020,Jun,19
2020,Jul,28
2020,Aug,31
2020,Sep,19
2020,Oct,17
2020,Nov,17
2020,Dec,35
2021,Jan,25
