Owner:,BRADLEY JEFF
Cname:,CLAYMONT STEEL HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,54
2004,Feb,26
2004,Mar,0
2004,Apr,26
2004,May,59
2004,Jun,24
2004,Jul,49
2004,Aug,22
2004,Sep,43
2004,Oct,98
2004,Nov,45
2004,Dec,100
2005,Jan,96
2005,Feb,74
2005,Mar,63
2005,Apr,45
2005,May,72
2005,Jun,33
2005,Jul,57
2005,Aug,69
2005,Sep,57
2005,Oct,20
2005,Nov,34
2005,Dec,45
2006,Jan,40
2006,Feb,36
2006,Mar,32
2006,Apr,67
2006,May,21
2006,Jun,11
2006,Jul,43
2006,Aug,49
2006,Sep,55
2006,Oct,32
2006,Nov,27
2006,Dec,32
2007,Jan,16
2007,Feb,29
2007,Mar,15
2007,Apr,31
2007,May,28
2007,Jun,41
2007,Jul,28
2007,Aug,20
2007,Sep,20
2007,Oct,36
2007,Nov,33
2007,Dec,31
2008,Jan,33
2008,Feb,23
2008,Mar,25
2008,Apr,27
2008,May,47
2008,Jun,32
2008,Jul,25
2008,Aug,36
2008,Sep,36
2008,Oct,24
2008,Nov,34
2008,Dec,18
2009,Jan,19
2009,Feb,23
2009,Mar,41
2009,Apr,25
2009,May,19
2009,Jun,24
2009,Jul,33
2009,Aug,37
2009,Sep,31
2009,Oct,40
2009,Nov,26
2009,Dec,34
2010,Jan,45
2010,Feb,35
2010,Mar,23
2010,Apr,28
2010,May,33
2010,Jun,31
2010,Jul,32
2010,Aug,29
2010,Sep,28
2010,Oct,28
2010,Nov,19
2010,Dec,24
2011,Jan,21
2011,Feb,32
2011,Mar,33
2011,Apr,23
2011,May,34
2011,Jun,41
2011,Jul,34
2011,Aug,30
2011,Sep,27
2011,Oct,20
2011,Nov,23
2011,Dec,30
2012,Jan,30
2012,Feb,23
2012,Mar,22
2012,Apr,19
2012,May,22
2012,Jun,34
2012,Jul,32
2012,Aug,31
2012,Sep,17
2012,Oct,27
2012,Nov,25
2012,Dec,21
2013,Jan,43
2013,Feb,32
2013,Mar,41
2013,Apr,81
2013,May,37
2013,Jun,32
2013,Jul,36
2013,Aug,20
2013,Sep,27
2013,Oct,24
2013,Nov,32
2013,Dec,29
2014,Jan,25
2014,Feb,31
2014,Mar,27
2014,Apr,29
2014,May,29
2014,Jun,32
2014,Jul,28
2014,Aug,30
2014,Sep,30
2014,Oct,32
2014,Nov,21
2014,Dec,28
2015,Jan,47
2015,Feb,29
2015,Mar,26
2015,Apr,21
2015,May,37
2015,Jun,29
2015,Jul,26
2015,Aug,29
2015,Sep,25
2015,Oct,27
2015,Nov,28
2015,Dec,31
2016,Jan,22
2016,Feb,25
2016,Mar,24
2016,Apr,24
2016,May,29
2016,Jun,24
2016,Jul,27
2016,Aug,25
2016,Sep,20
2016,Oct,19
2016,Nov,26
2016,Dec,34
2017,Jan,32
2017,Feb,28
2017,Mar,29
2017,Apr,27
2017,May,25
2017,Jun,22
2017,Jul,37
2017,Aug,19
2017,Sep,20
2017,Oct,21
2017,Nov,29
2017,Dec,20
2018,Jan,23
2018,Feb,28
2018,Mar,26
2018,Apr,17
2018,May,30
2018,Jun,25
2018,Jul,26
2018,Aug,22
2018,Sep,15
2018,Oct,29
2018,Nov,21
2018,Dec,19
2019,Jan,51
2019,Feb,40
2019,Mar,32
2019,Apr,19
2019,May,21
2019,Jun,24
2019,Jul,25
2019,Aug,28
2019,Sep,25
2019,Oct,22
2019,Nov,26
2019,Dec,19
2020,Jan,22
2020,Feb,24
2020,Mar,20
2020,Apr,16
2020,May,20
2020,Jun,21
2020,Jul,19
2020,Aug,18
2020,Sep,18
2020,Oct,12
2020,Nov,21
2020,Dec,25
2021,Jan,25
