Owner:,BROWN DAVID CRAIG
Cname:,VICTORY CAPITAL HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,54
2004,May,50
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,46
2004,Nov,47
2004,Dec,0
2005,Jan,74
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,35
2005,Jul,34
2005,Aug,64
2005,Sep,30
2005,Oct,28
2005,Nov,57
2005,Dec,27
2006,Jan,24
2006,Feb,100
2006,Mar,67
2006,Apr,23
2006,May,22
2006,Jun,23
2006,Jul,0
2006,Aug,21
2006,Sep,42
2006,Oct,0
2006,Nov,19
2006,Dec,38
2007,Jan,33
2007,Feb,35
2007,Mar,0
2007,Apr,0
2007,May,15
2007,Jun,32
2007,Jul,15
2007,Aug,28
2007,Sep,57
2007,Oct,51
2007,Nov,38
2007,Dec,40
2008,Jan,35
2008,Feb,12
2008,Mar,59
2008,Apr,0
2008,May,93
2008,Jun,12
2008,Jul,47
2008,Aug,12
2008,Sep,11
2008,Oct,30
2008,Nov,44
2008,Dec,43
2009,Jan,41
2009,Feb,21
2009,Mar,10
2009,Apr,39
2009,May,30
2009,Jun,20
2009,Jul,20
2009,Aug,58
2009,Sep,0
2009,Oct,53
2009,Nov,37
2009,Dec,18
2010,Jan,26
2010,Feb,26
2010,Mar,8
2010,Apr,17
2010,May,26
2010,Jun,26
2010,Jul,23
2010,Aug,15
2010,Sep,14
2010,Oct,7
2010,Nov,27
2010,Dec,20
2011,Jan,21
2011,Feb,6
2011,Mar,15
2011,Apr,27
2011,May,21
2011,Jun,21
2011,Jul,26
2011,Aug,29
2011,Sep,24
2011,Oct,27
2011,Nov,19
2011,Dec,18
2012,Jan,13
2012,Feb,25
2012,Mar,12
2012,Apr,13
2012,May,20
2012,Jun,9
2012,Jul,4
2012,Aug,16
2012,Sep,8
2012,Oct,22
2012,Nov,31
2012,Dec,7
2013,Jan,10
2013,Feb,11
2013,Mar,7
2013,Apr,10
2013,May,10
2013,Jun,11
2013,Jul,17
2013,Aug,7
2013,Sep,3
2013,Oct,10
2013,Nov,7
2013,Dec,7
2014,Jan,13
2014,Feb,10
2014,Mar,16
2014,Apr,13
2014,May,3
2014,Jun,15
2014,Jul,15
2014,Aug,15
2014,Sep,4
2014,Oct,3
2014,Nov,18
2014,Dec,18
2015,Jan,7
2015,Feb,11
2015,Mar,24
2015,Apr,7
2015,May,18
2015,Jun,8
2015,Jul,8
2015,Aug,7
2015,Sep,18
2015,Oct,7
2015,Nov,11
2015,Dec,0
2016,Jan,3
2016,Feb,12
2016,Mar,8
2016,Apr,3
2016,May,9
2016,Jun,9
2016,Jul,28
2016,Aug,9
2016,Sep,0
2016,Oct,6
2016,Nov,9
2016,Dec,3
2017,Jan,5
2017,Feb,8
2017,Mar,10
2017,Apr,5
2017,May,3
2017,Jun,3
2017,Jul,9
2017,Aug,5
2017,Sep,5
2017,Oct,3
2017,Nov,5
2017,Dec,3
2018,Jan,8
2018,Feb,8
2018,Mar,7
2018,Apr,18
2018,May,8
2018,Jun,11
2018,Jul,11
2018,Aug,10
2018,Sep,3
2018,Oct,3
2018,Nov,26
2018,Dec,8
2019,Jan,7
2019,Feb,8
2019,Mar,10
2019,Apr,8
2019,May,5
2019,Jun,3
2019,Jul,3
2019,Aug,10
2019,Sep,5
2019,Oct,16
2019,Nov,2
2019,Dec,2
2020,Jan,2
2020,Feb,2
2020,Mar,6
2020,Apr,8
2020,May,6
2020,Jun,6
2020,Jul,2
2020,Aug,2
2020,Sep,4
2020,Oct,12
2020,Nov,7
2020,Dec,5
2021,Jan,7
