Owner:,BROWN DAVID L
Cname:,NATIONAL DENTEX CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,53
2004,Feb,0
2004,Mar,0
2004,Apr,100
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,41
2004,Oct,42
2004,Nov,0
2004,Dec,0
2005,Jan,34
2005,Feb,0
2005,Mar,30
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,32
2005,Aug,59
2005,Sep,28
2005,Oct,0
2005,Nov,0
2005,Dec,25
2006,Jan,0
2006,Feb,0
2006,Mar,21
2006,Apr,0
2006,May,61
2006,Jun,22
2006,Jul,42
2006,Aug,19
2006,Sep,58
2006,Oct,0
2006,Nov,17
2006,Dec,53
2007,Jan,31
2007,Feb,16
2007,Mar,15
2007,Apr,0
2007,May,41
2007,Jun,44
2007,Jul,14
2007,Aug,0
2007,Sep,0
2007,Oct,12
2007,Nov,12
2007,Dec,24
2008,Jan,54
2008,Feb,22
2008,Mar,43
2008,Apr,53
2008,May,21
2008,Jun,23
2008,Jul,33
2008,Aug,22
2008,Sep,49
2008,Oct,18
2008,Nov,30
2008,Dec,30
2009,Jan,9
2009,Feb,49
2009,Mar,0
2009,Apr,36
2009,May,37
2009,Jun,19
2009,Jul,9
2009,Aug,27
2009,Sep,9
2009,Oct,0
2009,Nov,18
2009,Dec,36
2010,Jan,17
2010,Feb,26
2010,Mar,8
2010,Apr,0
2010,May,26
2010,Jun,26
2010,Jul,23
2010,Aug,7
2010,Sep,28
2010,Oct,28
2010,Nov,13
2010,Dec,34
2011,Jan,10
2011,Feb,6
2011,Mar,5
2011,Apr,32
2011,May,5
2011,Jun,37
2011,Jul,10
2011,Aug,15
2011,Sep,19
2011,Oct,0
2011,Nov,19
2011,Dec,22
2012,Jan,13
2012,Feb,30
2012,Mar,45
2012,Apr,9
2012,May,16
2012,Jun,13
2012,Jul,4
2012,Aug,16
2012,Sep,16
2012,Oct,7
2012,Nov,34
2012,Dec,7
2013,Jan,28
2013,Feb,7
2013,Mar,13
2013,Apr,17
2013,May,17
2013,Jun,14
2013,Jul,17
2013,Aug,14
2013,Sep,3
2013,Oct,26
2013,Nov,13
2013,Dec,13
2014,Jan,19
2014,Feb,10
2014,Mar,13
2014,Apr,36
2014,May,21
2014,Jun,8
2014,Jul,11
2014,Aug,11
2014,Sep,7
2014,Oct,10
2014,Nov,11
2014,Dec,28
2015,Jan,14
2015,Feb,22
2015,Mar,17
2015,Apr,7
2015,May,11
2015,Jun,19
2015,Jul,24
2015,Aug,20
2015,Sep,10
2015,Oct,25
2015,Nov,0
2015,Dec,16
2016,Jan,21
2016,Feb,27
2016,Mar,31
2016,Apr,24
2016,May,5
2016,Jun,19
2016,Jul,17
2016,Aug,33
2016,Sep,11
2016,Oct,13
2016,Nov,13
2016,Dec,10
2017,Jan,16
2017,Feb,23
2017,Mar,14
2017,Apr,19
2017,May,10
2017,Jun,13
2017,Jul,18
2017,Aug,15
2017,Sep,7
2017,Oct,14
2017,Nov,17
2017,Dec,12
2018,Jan,18
2018,Feb,7
2018,Mar,16
2018,Apr,21
2018,May,18
2018,Jun,12
2018,Jul,10
2018,Aug,9
2018,Sep,7
2018,Oct,37
2018,Nov,19
2018,Dec,19
2019,Jan,20
2019,Feb,5
2019,Mar,20
2019,Apr,0
2019,May,16
2019,Jun,14
2019,Jul,9
2019,Aug,20
2019,Sep,16
2019,Oct,13
2019,Nov,15
2019,Dec,9
2020,Jan,10
2020,Feb,23
2020,Mar,7
2020,Apr,18
2020,May,2
2020,Jun,20
2020,Jul,4
2020,Aug,16
2020,Sep,25
2020,Oct,46
2020,Nov,17
2020,Dec,13
2021,Jan,8
