Owner:,CAIN MICHAEL
Cname:,ASPEN INSURANCE HOLDINGS LTD
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,8
2004,Feb,25
2004,Mar,42
2004,Apr,48
2004,May,15
2004,Jun,45
2004,Jul,31
2004,Aug,55
2004,Sep,53
2004,Oct,47
2004,Nov,28
2004,Dec,12
2005,Jan,38
2005,Feb,45
2005,Mar,24
2005,Apr,22
2005,May,25
2005,Jun,25
2005,Jul,45
2005,Aug,24
2005,Sep,22
2005,Oct,37
2005,Nov,46
2005,Dec,32
2006,Jan,50
2006,Feb,29
2006,Mar,39
2006,Apr,45
2006,May,52
2006,Jun,21
2006,Jul,30
2006,Aug,21
2006,Sep,40
2006,Oct,36
2006,Nov,33
2006,Dec,42
2007,Jan,27
2007,Feb,26
2007,Mar,35
2007,Apr,33
2007,May,28
2007,Jun,48
2007,Jul,35
2007,Aug,46
2007,Sep,44
2007,Oct,52
2007,Nov,28
2007,Dec,31
2008,Jan,39
2008,Feb,26
2008,Mar,29
2008,Apr,32
2008,May,32
2008,Jun,36
2008,Jul,48
2008,Aug,43
2008,Sep,38
2008,Oct,29
2008,Nov,35
2008,Dec,28
2009,Jan,28
2009,Feb,31
2009,Mar,18
2009,Apr,33
2009,May,29
2009,Jun,40
2009,Jul,26
2009,Aug,31
2009,Sep,22
2009,Oct,27
2009,Nov,24
2009,Dec,30
2010,Jan,29
2010,Feb,34
2010,Mar,27
2010,Apr,32
2010,May,36
2010,Jun,32
2010,Jul,38
2010,Aug,30
2010,Sep,36
2010,Oct,50
2010,Nov,30
2010,Dec,43
2011,Jan,37
2011,Feb,41
2011,Mar,35
2011,Apr,27
2011,May,52
2011,Jun,42
2011,Jul,42
2011,Aug,32
2011,Sep,52
2011,Oct,93
2011,Nov,100
2011,Dec,64
2012,Jan,45
2012,Feb,39
2012,Mar,36
2012,Apr,27
2012,May,37
2012,Jun,34
2012,Jul,61
2012,Aug,60
2012,Sep,33
2012,Oct,30
2012,Nov,29
2012,Dec,33
2013,Jan,31
2013,Feb,36
2013,Mar,35
2013,Apr,30
2013,May,34
2013,Jun,36
2013,Jul,25
2013,Aug,26
2013,Sep,26
2013,Oct,30
2013,Nov,27
2013,Dec,19
2014,Jan,36
2014,Feb,27
2014,Mar,26
2014,Apr,31
2014,May,31
2014,Jun,29
2014,Jul,36
2014,Aug,55
2014,Sep,29
2014,Oct,52
2014,Nov,83
2014,Dec,42
2015,Jan,39
2015,Feb,33
2015,Mar,36
2015,Apr,34
2015,May,25
2015,Jun,29
2015,Jul,31
2015,Aug,33
2015,Sep,27
2015,Oct,26
2015,Nov,39
2015,Dec,46
2016,Jan,38
2016,Feb,25
2016,Mar,29
2016,Apr,24
2016,May,23
2016,Jun,29
2016,Jul,39
2016,Aug,24
2016,Sep,23
2016,Oct,27
2016,Nov,27
2016,Dec,36
2017,Jan,23
2017,Feb,24
2017,Mar,25
2017,Apr,27
2017,May,29
2017,Jun,24
2017,Jul,29
2017,Aug,28
2017,Sep,25
2017,Oct,25
2017,Nov,21
2017,Dec,29
2018,Jan,24
2018,Feb,19
2018,Mar,26
2018,Apr,24
2018,May,22
2018,Jun,27
2018,Jul,26
2018,Aug,23
2018,Sep,21
2018,Oct,27
2018,Nov,25
2018,Dec,27
2019,Jan,24
2019,Feb,26
2019,Mar,21
2019,Apr,24
2019,May,16
2019,Jun,16
2019,Jul,18
2019,Aug,17
2019,Sep,24
2019,Oct,23
2019,Nov,22
2019,Dec,21
2020,Jan,21
2020,Feb,20
2020,Mar,14
2020,Apr,19
2020,May,20
2020,Jun,25
2020,Jul,37
2020,Aug,28
2020,Sep,20
2020,Oct,17
2020,Nov,20
2020,Dec,26
2021,Jan,22
