Owner:,CARTER CLAYTON
Cname:,FREESTONE RESOURCES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,21
2004,Feb,21
2004,Mar,27
2004,Apr,40
2004,May,0
2004,Jun,19
2004,Jul,39
2004,Aug,0
2004,Sep,17
2004,Oct,17
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,58
2005,Mar,12
2005,Apr,14
2005,May,0
2005,Jun,13
2005,Jul,13
2005,Aug,36
2005,Sep,0
2005,Oct,0
2005,Nov,11
2005,Dec,20
2006,Jan,9
2006,Feb,19
2006,Mar,8
2006,Apr,26
2006,May,16
2006,Jun,26
2006,Jul,0
2006,Aug,15
2006,Sep,8
2006,Oct,7
2006,Nov,28
2006,Dec,14
2007,Jan,19
2007,Feb,7
2007,Mar,12
2007,Apr,12
2007,May,17
2007,Jun,29
2007,Jul,33
2007,Aug,32
2007,Sep,21
2007,Oct,14
2007,Nov,0
2007,Dec,15
2008,Jan,26
2008,Feb,18
2008,Mar,22
2008,Apr,4
2008,May,22
2008,Jun,9
2008,Jul,26
2008,Aug,13
2008,Sep,20
2008,Oct,18
2008,Nov,12
2008,Dec,8
2009,Jan,15
2009,Feb,12
2009,Mar,4
2009,Apr,7
2009,May,22
2009,Jun,11
2009,Jul,18
2009,Aug,7
2009,Sep,17
2009,Oct,3
2009,Nov,10
2009,Dec,10
2010,Jan,6
2010,Feb,16
2010,Mar,6
2010,Apr,12
2010,May,6
2010,Jun,16
2010,Jul,3
2010,Aug,3
2010,Sep,5
2010,Oct,21
2010,Nov,10
2010,Dec,5
2011,Jan,16
2011,Feb,19
2011,Mar,8
2011,Apr,6
2011,May,13
2011,Jun,12
2011,Jul,12
2011,Aug,13
2011,Sep,16
2011,Oct,3
2011,Nov,5
2011,Dec,3
2012,Jan,14
2012,Feb,14
2012,Mar,21
2012,Apr,21
2012,May,12
2012,Jun,21
2012,Jul,21
2012,Aug,7
2012,Sep,9
2012,Oct,10
2012,Nov,21
2012,Dec,8
2013,Jan,10
2013,Feb,6
2013,Mar,13
2013,Apr,8
2013,May,9
2013,Jun,13
2013,Jul,20
2013,Aug,13
2013,Sep,13
2013,Oct,12
2013,Nov,9
2013,Dec,5
2014,Jan,13
2014,Feb,8
2014,Mar,18
2014,Apr,11
2014,May,21
2014,Jun,19
2014,Jul,7
2014,Aug,15
2014,Sep,11
2014,Oct,10
2014,Nov,14
2014,Dec,23
2015,Jan,22
2015,Feb,33
2015,Mar,18
2015,Apr,13
2015,May,15
2015,Jun,11
2015,Jul,18
2015,Aug,12
2015,Sep,17
2015,Oct,19
2015,Nov,10
2015,Dec,6
2016,Jan,15
2016,Feb,19
2016,Mar,13
2016,Apr,24
2016,May,12
2016,Jun,8
2016,Jul,18
2016,Aug,8
2016,Sep,15
2016,Oct,10
2016,Nov,8
2016,Dec,10
2017,Jan,25
2017,Feb,17
2017,Mar,14
2017,Apr,9
2017,May,13
2017,Jun,14
2017,Jul,24
2017,Aug,100
2017,Sep,17
2017,Oct,10
2017,Nov,18
2017,Dec,7
2018,Jan,15
2018,Feb,19
2018,Mar,15
2018,Apr,13
2018,May,6
2018,Jun,27
2018,Jul,14
2018,Aug,15
2018,Sep,10
2018,Oct,20
2018,Nov,14
2018,Dec,12
2019,Jan,18
2019,Feb,15
2019,Mar,12
2019,Apr,13
2019,May,13
2019,Jun,32
2019,Jul,17
2019,Aug,18
2019,Sep,21
2019,Oct,14
2019,Nov,6
2019,Dec,9
2020,Jan,12
2020,Feb,9
2020,Mar,10
2020,Apr,18
2020,May,10
2020,Jun,15
2020,Jul,24
2020,Aug,13
2020,Sep,10
2020,Oct,13
2020,Nov,10
2020,Dec,13
2021,Jan,14
