Owner:,CHANG BEN
Cname:,NEPIA INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,38
2004,Apr,29
2004,May,79
2004,Jun,27
2004,Jul,0
2004,Aug,0
2004,Sep,95
2004,Oct,24
2004,Nov,100
2004,Dec,22
2005,Jan,39
2005,Feb,20
2005,Mar,17
2005,Apr,20
2005,May,18
2005,Jun,37
2005,Jul,18
2005,Aug,17
2005,Sep,0
2005,Oct,30
2005,Nov,30
2005,Dec,14
2006,Jan,26
2006,Feb,0
2006,Mar,12
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,12
2006,Aug,22
2006,Sep,0
2006,Oct,30
2006,Nov,50
2006,Dec,20
2007,Jan,18
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,23
2007,Aug,15
2007,Sep,37
2007,Oct,27
2007,Nov,7
2007,Dec,14
2008,Jan,25
2008,Feb,19
2008,Mar,31
2008,Apr,36
2008,May,6
2008,Jun,39
2008,Jul,0
2008,Aug,6
2008,Sep,6
2008,Oct,21
2008,Nov,17
2008,Dec,17
2009,Jan,5
2009,Feb,11
2009,Mar,10
2009,Apr,15
2009,May,5
2009,Jun,5
2009,Jul,21
2009,Aug,10
2009,Sep,5
2009,Oct,22
2009,Nov,18
2009,Dec,13
2010,Jan,8
2010,Feb,26
2010,Mar,12
2010,Apr,29
2010,May,21
2010,Jun,22
2010,Jul,15
2010,Aug,22
2010,Sep,21
2010,Oct,14
2010,Nov,27
2010,Dec,50
2011,Jan,21
2011,Feb,25
2011,Mar,33
2011,Apr,32
2011,May,31
2011,Jun,13
2011,Jul,13
2011,Aug,34
2011,Sep,39
2011,Oct,11
2011,Nov,25
2011,Dec,29
2012,Jan,25
2012,Feb,27
2012,Mar,28
2012,Apr,23
2012,May,22
2012,Jun,34
2012,Jul,38
2012,Aug,21
2012,Sep,18
2012,Oct,33
2012,Nov,19
2012,Dec,22
2013,Jan,26
2013,Feb,42
2013,Mar,35
2013,Apr,27
2013,May,27
2013,Jun,27
2013,Jul,24
2013,Aug,27
2013,Sep,25
2013,Oct,39
2013,Nov,20
2013,Dec,30
2014,Jan,38
2014,Feb,41
2014,Mar,28
2014,Apr,26
2014,May,33
2014,Jun,38
2014,Jul,32
2014,Aug,16
2014,Sep,25
2014,Oct,27
2014,Nov,27
2014,Dec,19
2015,Jan,27
2015,Feb,36
2015,Mar,24
2015,Apr,48
2015,May,29
2015,Jun,24
2015,Jul,24
2015,Aug,22
2015,Sep,21
2015,Oct,20
2015,Nov,21
2015,Dec,29
2016,Jan,33
2016,Feb,19
2016,Mar,19
2016,Apr,25
2016,May,25
2016,Jun,25
2016,Jul,13
2016,Aug,21
2016,Sep,20
2016,Oct,14
2016,Nov,12
2016,Dec,22
2017,Jan,30
2017,Feb,20
2017,Mar,21
2017,Apr,25
2017,May,22
2017,Jun,21
2017,Jul,15
2017,Aug,23
2017,Sep,19
2017,Oct,14
2017,Nov,11
2017,Dec,24
2018,Jan,18
2018,Feb,16
2018,Mar,13
2018,Apr,26
2018,May,17
2018,Jun,18
2018,Jul,13
2018,Aug,27
2018,Sep,28
2018,Oct,20
2018,Nov,33
2018,Dec,11
2019,Jan,15
2019,Feb,23
2019,Mar,18
2019,Apr,21
2019,May,26
2019,Jun,23
2019,Jul,25
2019,Aug,17
2019,Sep,21
2019,Oct,17
2019,Nov,22
2019,Dec,16
2020,Jan,13
2020,Feb,18
2020,Mar,19
2020,Apr,55
2020,May,48
2020,Jun,45
2020,Jul,36
2020,Aug,24
2020,Sep,42
2020,Oct,31
2020,Nov,24
2020,Dec,19
2021,Jan,35
