Owner:,CHEN MIN
Cname:,GUANWEI RECYCLING CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,27
2004,Mar,68
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,100
2004,Aug,23
2004,Sep,86
2004,Oct,22
2004,Nov,45
2004,Dec,40
2005,Jan,18
2005,Feb,0
2005,Mar,0
2005,Apr,36
2005,May,0
2005,Jun,67
2005,Jul,98
2005,Aug,31
2005,Sep,57
2005,Oct,40
2005,Nov,41
2005,Dec,13
2006,Jan,23
2006,Feb,24
2006,Mar,43
2006,Apr,22
2006,May,21
2006,Jun,22
2006,Jul,33
2006,Aug,50
2006,Sep,70
2006,Oct,46
2006,Nov,9
2006,Dec,18
2007,Jan,8
2007,Feb,17
2007,Mar,23
2007,Apr,31
2007,May,21
2007,Jun,0
2007,Jul,21
2007,Aug,34
2007,Sep,14
2007,Oct,55
2007,Nov,37
2007,Dec,25
2008,Jan,22
2008,Feb,35
2008,Mar,45
2008,Apr,11
2008,May,17
2008,Jun,12
2008,Jul,28
2008,Aug,6
2008,Sep,15
2008,Oct,29
2008,Nov,21
2008,Dec,36
2009,Jan,39
2009,Feb,41
2009,Mar,23
2009,Apr,28
2009,May,9
2009,Jun,38
2009,Jul,33
2009,Aug,14
2009,Sep,4
2009,Oct,13
2009,Nov,18
2009,Dec,34
2010,Jan,25
2010,Feb,25
2010,Mar,11
2010,Apr,32
2010,May,4
2010,Jun,13
2010,Jul,11
2010,Aug,28
2010,Sep,17
2010,Oct,7
2010,Nov,13
2010,Dec,13
2011,Jan,30
2011,Feb,19
2011,Mar,22
2011,Apr,20
2011,May,20
2011,Jun,28
2011,Jul,15
2011,Aug,28
2011,Sep,28
2011,Oct,13
2011,Nov,20
2011,Dec,19
2012,Jan,22
2012,Feb,14
2012,Mar,14
2012,Apr,14
2012,May,31
2012,Jun,26
2012,Jul,22
2012,Aug,19
2012,Sep,19
2012,Oct,25
2012,Nov,20
2012,Dec,5
2013,Jan,15
2013,Feb,16
2013,Mar,13
2013,Apr,23
2013,May,16
2013,Jun,24
2013,Jul,13
2013,Aug,23
2013,Sep,15
2013,Oct,17
2013,Nov,32
2013,Dec,10
2014,Jan,17
2014,Feb,23
2014,Mar,9
2014,Apr,22
2014,May,22
2014,Jun,33
2014,Jul,23
2014,Aug,16
2014,Sep,27
2014,Oct,16
2014,Nov,7
2014,Dec,10
2015,Jan,13
2015,Feb,24
2015,Mar,8
2015,Apr,14
2015,May,18
2015,Jun,24
2015,Jul,25
2015,Aug,17
2015,Sep,27
2015,Oct,16
2015,Nov,20
2015,Dec,15
2016,Jan,16
2016,Feb,26
2016,Mar,9
2016,Apr,12
2016,May,15
2016,Jun,20
2016,Jul,17
2016,Aug,18
2016,Sep,15
2016,Oct,17
2016,Nov,17
2016,Dec,14
2017,Jan,13
2017,Feb,24
2017,Mar,15
2017,Apr,23
2017,May,13
2017,Jun,17
2017,Jul,17
2017,Aug,16
2017,Sep,14
2017,Oct,23
2017,Nov,18
2017,Dec,13
2018,Jan,20
2018,Feb,34
2018,Mar,23
2018,Apr,19
2018,May,13
2018,Jun,17
2018,Jul,9
2018,Aug,11
2018,Sep,23
2018,Oct,17
2018,Nov,16
2018,Dec,10
2019,Jan,17
2019,Feb,20
2019,Mar,13
2019,Apr,22
2019,May,11
2019,Jun,15
2019,Jul,12
2019,Aug,10
2019,Sep,18
2019,Oct,13
2019,Nov,12
2019,Dec,14
2020,Jan,12
2020,Feb,12
2020,Mar,10
2020,Apr,17
2020,May,16
2020,Jun,13
2020,Jul,21
2020,Aug,11
2020,Sep,15
2020,Oct,17
2020,Nov,11
2020,Dec,15
2021,Jan,14
