Owner:,CHENG ANDREW
Cname:,AKERO THERAPEUTICS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,49
2004,Mar,0
2004,Apr,0
2004,May,43
2004,Jun,44
2004,Jul,0
2004,Aug,41
2004,Sep,39
2004,Oct,0
2004,Nov,41
2004,Dec,0
2005,Jan,32
2005,Feb,68
2005,Mar,29
2005,Apr,33
2005,May,0
2005,Jun,61
2005,Jul,0
2005,Aug,28
2005,Sep,78
2005,Oct,24
2005,Nov,0
2005,Dec,24
2006,Jan,43
2006,Feb,22
2006,Mar,20
2006,Apr,41
2006,May,0
2006,Jun,20
2006,Jul,40
2006,Aug,18
2006,Sep,18
2006,Oct,34
2006,Nov,17
2006,Dec,17
2007,Jan,0
2007,Feb,16
2007,Mar,0
2007,Apr,0
2007,May,39
2007,Jun,0
2007,Jul,26
2007,Aug,0
2007,Sep,37
2007,Oct,11
2007,Nov,11
2007,Dec,12
2008,Jan,20
2008,Feb,21
2008,Mar,21
2008,Apr,0
2008,May,20
2008,Jun,54
2008,Jul,21
2008,Aug,20
2008,Sep,0
2008,Oct,35
2008,Nov,0
2008,Dec,9
2009,Jan,36
2009,Feb,28
2009,Mar,8
2009,Apr,17
2009,May,17
2009,Jun,35
2009,Jul,17
2009,Aug,8
2009,Sep,8
2009,Oct,0
2009,Nov,16
2009,Dec,8
2010,Jan,29
2010,Feb,45
2010,Mar,27
2010,Apr,35
2010,May,30
2010,Jun,15
2010,Jul,13
2010,Aug,25
2010,Sep,0
2010,Oct,0
2010,Nov,6
2010,Dec,17
2011,Jan,22
2011,Feb,24
2011,Mar,9
2011,Apr,14
2011,May,9
2011,Jun,46
2011,Jul,36
2011,Aug,17
2011,Sep,21
2011,Oct,4
2011,Nov,12
2011,Dec,11
2012,Jan,7
2012,Feb,22
2012,Mar,21
2012,Apr,11
2012,May,21
2012,Jun,18
2012,Jul,10
2012,Aug,20
2012,Sep,10
2012,Oct,16
2012,Nov,13
2012,Dec,9
2013,Jan,12
2013,Feb,22
2013,Mar,14
2013,Apr,23
2013,May,23
2013,Jun,12
2013,Jul,15
2013,Aug,20
2013,Sep,12
2013,Oct,19
2013,Nov,17
2013,Dec,6
2014,Jan,3
2014,Feb,12
2014,Mar,11
2014,Apr,22
2014,May,30
2014,Jun,13
2014,Jul,19
2014,Aug,19
2014,Sep,9
2014,Oct,6
2014,Nov,22
2014,Dec,21
2015,Jan,29
2015,Feb,16
2015,Mar,27
2015,Apr,15
2015,May,19
2015,Jun,16
2015,Jul,10
2015,Aug,28
2015,Sep,27
2015,Oct,20
2015,Nov,3
2015,Dec,12
2016,Jan,10
2016,Feb,22
2016,Mar,32
2016,Apr,12
2016,May,14
2016,Jun,15
2016,Jul,13
2016,Aug,25
2016,Sep,10
2016,Oct,17
2016,Nov,9
2016,Dec,14
2017,Jan,15
2017,Feb,16
2017,Mar,14
2017,Apr,26
2017,May,7
2017,Jun,10
2017,Jul,14
2017,Aug,13
2017,Sep,9
2017,Oct,15
2017,Nov,19
2017,Dec,17
2018,Jan,19
2018,Feb,18
2018,Mar,21
2018,Apr,21
2018,May,25
2018,Jun,31
2018,Jul,22
2018,Aug,34
2018,Sep,20
2018,Oct,19
2018,Nov,23
2018,Dec,13
2019,Jan,12
2019,Feb,15
2019,Mar,19
2019,Apr,13
2019,May,19
2019,Jun,15
2019,Jul,17
2019,Aug,17
2019,Sep,14
2019,Oct,19
2019,Nov,18
2019,Dec,27
2020,Jan,6
2020,Feb,12
2020,Mar,22
2020,Apr,28
2020,May,13
2020,Jun,11
2020,Jul,18
2020,Aug,20
2020,Sep,19
2020,Oct,20
2020,Nov,10
2020,Dec,8
2021,Jan,17
