Owner:,CHIN RICHARD
Cname:,OXIGENE INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,90
2004,Feb,0
2004,Mar,56
2004,Apr,43
2004,May,0
2004,Jun,80
2004,Jul,41
2004,Aug,37
2004,Sep,35
2004,Oct,0
2004,Nov,0
2004,Dec,100
2005,Jan,0
2005,Feb,61
2005,Mar,78
2005,Apr,90
2005,May,54
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,24
2005,Oct,44
2005,Nov,23
2005,Dec,86
2006,Jan,38
2006,Feb,0
2006,Mar,35
2006,Apr,19
2006,May,17
2006,Jun,0
2006,Jul,36
2006,Aug,49
2006,Sep,17
2006,Oct,15
2006,Nov,60
2006,Dec,75
2007,Jan,26
2007,Feb,14
2007,Mar,38
2007,Apr,25
2007,May,82
2007,Jun,37
2007,Jul,82
2007,Aug,22
2007,Sep,34
2007,Oct,50
2007,Nov,40
2007,Dec,21
2008,Jan,18
2008,Feb,47
2008,Mar,28
2008,Apr,36
2008,May,46
2008,Jun,29
2008,Jul,65
2008,Aug,28
2008,Sep,59
2008,Oct,24
2008,Nov,17
2008,Dec,43
2009,Jan,16
2009,Feb,17
2009,Mar,46
2009,Apr,15
2009,May,16
2009,Jun,40
2009,Jul,23
2009,Aug,38
2009,Sep,22
2009,Oct,28
2009,Nov,51
2009,Dec,36
2010,Jan,41
2010,Feb,49
2010,Mar,32
2010,Apr,20
2010,May,14
2010,Jun,42
2010,Jul,6
2010,Aug,17
2010,Sep,17
2010,Oct,55
2010,Nov,38
2010,Dec,16
2011,Jan,29
2011,Feb,27
2011,Mar,53
2011,Apr,25
2011,May,25
2011,Jun,30
2011,Jul,42
2011,Aug,39
2011,Sep,27
2011,Oct,25
2011,Nov,22
2011,Dec,32
2012,Jan,20
2012,Feb,34
2012,Mar,26
2012,Apr,24
2012,May,23
2012,Jun,27
2012,Jul,39
2012,Aug,28
2012,Sep,22
2012,Oct,6
2012,Nov,27
2012,Dec,15
2013,Jan,19
2013,Feb,18
2013,Mar,21
2013,Apr,16
2013,May,14
2013,Jun,34
2013,Jul,44
2013,Aug,16
2013,Sep,30
2013,Oct,34
2013,Nov,21
2013,Dec,66
2014,Jan,35
2014,Feb,16
2014,Mar,30
2014,Apr,34
2014,May,25
2014,Jun,28
2014,Jul,9
2014,Aug,9
2014,Sep,17
2014,Oct,35
2014,Nov,20
2014,Dec,11
2015,Jan,30
2015,Feb,32
2015,Mar,17
2015,Apr,23
2015,May,15
2015,Jun,6
2015,Jul,12
2015,Aug,20
2015,Sep,39
2015,Oct,27
2015,Nov,25
2015,Dec,5
2016,Jan,22
2016,Feb,35
2016,Mar,26
2016,Apr,11
2016,May,18
2016,Jun,30
2016,Jul,21
2016,Aug,14
2016,Sep,23
2016,Oct,26
2016,Nov,24
2016,Dec,17
2017,Jan,36
2017,Feb,19
2017,Mar,29
2017,Apr,30
2017,May,17
2017,Jun,29
2017,Jul,22
2017,Aug,29
2017,Sep,23
2017,Oct,16
2017,Nov,22
2017,Dec,12
2018,Jan,17
2018,Feb,23
2018,Mar,25
2018,Apr,18
2018,May,20
2018,Jun,19
2018,Jul,14
2018,Aug,40
2018,Sep,14
2018,Oct,16
2018,Nov,22
2018,Dec,28
2019,Jan,25
2019,Feb,10
2019,Mar,21
2019,Apr,26
2019,May,26
2019,Jun,27
2019,Jul,18
2019,Aug,19
2019,Sep,23
2019,Oct,25
2019,Nov,22
2019,Dec,31
2020,Jan,26
2020,Feb,23
2020,Mar,16
2020,Apr,33
2020,May,25
2020,Jun,22
2020,Jul,30
2020,Aug,17
2020,Sep,20
2020,Oct,26
2020,Nov,15
2020,Dec,20
2021,Jan,23
