Owner:,CHOPRA DEEPAK
Cname:,OSI SYSTEMS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,59
2004,Feb,25
2004,Mar,39
2004,Apr,37
2004,May,35
2004,Jun,31
2004,Jul,46
2004,Aug,32
2004,Sep,44
2004,Oct,50
2004,Nov,24
2004,Dec,52
2005,Jan,50
2005,Feb,64
2005,Mar,40
2005,Apr,50
2005,May,43
2005,Jun,43
2005,Jul,44
2005,Aug,48
2005,Sep,39
2005,Oct,40
2005,Nov,43
2005,Dec,31
2006,Jan,39
2006,Feb,34
2006,Mar,39
2006,Apr,23
2006,May,39
2006,Jun,31
2006,Jul,37
2006,Aug,30
2006,Sep,36
2006,Oct,48
2006,Nov,40
2006,Dec,45
2007,Jan,44
2007,Feb,42
2007,Mar,46
2007,Apr,40
2007,May,39
2007,Jun,39
2007,Jul,40
2007,Aug,55
2007,Sep,39
2007,Oct,34
2007,Nov,49
2007,Dec,39
2008,Jan,45
2008,Feb,53
2008,Mar,55
2008,Apr,38
2008,May,42
2008,Jun,58
2008,Jul,39
2008,Aug,36
2008,Sep,92
2008,Oct,42
2008,Nov,63
2008,Dec,82
2009,Jan,52
2009,Feb,37
2009,Mar,50
2009,Apr,38
2009,May,37
2009,Jun,84
2009,Jul,66
2009,Aug,51
2009,Sep,42
2009,Oct,56
2009,Nov,54
2009,Dec,75
2010,Jan,56
2010,Feb,47
2010,Mar,63
2010,Apr,65
2010,May,58
2010,Jun,58
2010,Jul,45
2010,Aug,59
2010,Sep,56
2010,Oct,46
2010,Nov,50
2010,Dec,49
2011,Jan,76
2011,Feb,57
2011,Mar,51
2011,Apr,53
2011,May,45
2011,Jun,56
2011,Jul,55
2011,Aug,50
2011,Sep,53
2011,Oct,58
2011,Nov,60
2011,Dec,54
2012,Jan,53
2012,Feb,57
2012,Mar,55
2012,Apr,80
2012,May,58
2012,Jun,52
2012,Jul,63
2012,Aug,54
2012,Sep,56
2012,Oct,64
2012,Nov,100
2012,Dec,63
2013,Jan,71
2013,Feb,56
2013,Mar,71
2013,Apr,53
2013,May,51
2013,Jun,57
2013,Jul,55
2013,Aug,71
2013,Sep,44
2013,Oct,46
2013,Nov,72
2013,Dec,63
2014,Jan,63
2014,Feb,53
2014,Mar,48
2014,Apr,50
2014,May,41
2014,Jun,43
2014,Jul,47
2014,Aug,54
2014,Sep,41
2014,Oct,40
2014,Nov,62
2014,Dec,50
2015,Jan,41
2015,Feb,47
2015,Mar,55
2015,Apr,44
2015,May,47
2015,Jun,43
2015,Jul,43
2015,Aug,45
2015,Sep,36
2015,Oct,38
2015,Nov,47
2015,Dec,44
2016,Jan,42
2016,Feb,38
2016,Mar,38
2016,Apr,37
2016,May,31
2016,Jun,39
2016,Jul,35
2016,Aug,31
2016,Sep,33
2016,Oct,33
2016,Nov,33
2016,Dec,26
2017,Jan,32
2017,Feb,33
2017,Mar,31
2017,Apr,36
2017,May,30
2017,Jun,29
2017,Jul,29
2017,Aug,30
2017,Sep,27
2017,Oct,28
2017,Nov,30
2017,Dec,28
2018,Jan,32
2018,Feb,31
2018,Mar,34
2018,Apr,29
2018,May,28
2018,Jun,27
2018,Jul,36
2018,Aug,31
2018,Sep,28
2018,Oct,29
2018,Nov,27
2018,Dec,29
2019,Jan,27
2019,Feb,34
2019,Mar,42
2019,Apr,36
2019,May,29
2019,Jun,30
2019,Jul,28
2019,Aug,28
2019,Sep,27
2019,Oct,32
2019,Nov,27
2019,Dec,28
2020,Jan,29
2020,Feb,33
2020,Mar,42
2020,Apr,44
2020,May,45
2020,Jun,37
2020,Jul,32
2020,Aug,28
2020,Sep,28
2020,Oct,30
2020,Nov,22
2020,Dec,25
2021,Jan,27
