Owner:,COLIN GEORGE
Cname:,GATEWAY INTERNATIONAL HOLDINGS
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,51
2004,Feb,100
2004,Mar,52
2004,Apr,35
2004,May,36
2004,Jun,50
2004,Jul,34
2004,Aug,27
2004,Sep,29
2004,Oct,41
2004,Nov,69
2004,Dec,45
2005,Jan,45
2005,Feb,54
2005,Mar,24
2005,Apr,28
2005,May,11
2005,Jun,14
2005,Jul,25
2005,Aug,10
2005,Sep,32
2005,Oct,25
2005,Nov,30
2005,Dec,9
2006,Jan,22
2006,Feb,45
2006,Mar,11
2006,Apr,11
2006,May,16
2006,Jun,19
2006,Jul,11
2006,Aug,12
2006,Sep,12
2006,Oct,12
2006,Nov,23
2006,Dec,17
2007,Jan,14
2007,Feb,27
2007,Mar,14
2007,Apr,21
2007,May,7
2007,Jun,8
2007,Jul,11
2007,Aug,12
2007,Sep,14
2007,Oct,17
2007,Nov,11
2007,Dec,8
2008,Jan,14
2008,Feb,22
2008,Mar,21
2008,Apr,13
2008,May,9
2008,Jun,18
2008,Jul,9
2008,Aug,23
2008,Sep,10
2008,Oct,33
2008,Nov,12
2008,Dec,13
2009,Jan,12
2009,Feb,23
2009,Mar,13
2009,Apr,16
2009,May,14
2009,Jun,8
2009,Jul,13
2009,Aug,8
2009,Sep,11
2009,Oct,14
2009,Nov,16
2009,Dec,12
2010,Jan,18
2010,Feb,24
2010,Mar,20
2010,Apr,16
2010,May,13
2010,Jun,8
2010,Jul,5
2010,Aug,5
2010,Sep,9
2010,Oct,10
2010,Nov,19
2010,Dec,18
2011,Jan,35
2011,Feb,34
2011,Mar,19
2011,Apr,13
2011,May,11
2011,Jun,12
2011,Jul,11
2011,Aug,10
2011,Sep,6
2011,Oct,9
2011,Nov,8
2011,Dec,10
2012,Jan,11
2012,Feb,15
2012,Mar,8
2012,Apr,11
2012,May,11
2012,Jun,11
2012,Jul,11
2012,Aug,9
2012,Sep,9
2012,Oct,12
2012,Nov,12
2012,Dec,12
2013,Jan,16
2013,Feb,13
2013,Mar,10
2013,Apr,14
2013,May,10
2013,Jun,11
2013,Jul,13
2013,Aug,11
2013,Sep,11
2013,Oct,7
2013,Nov,10
2013,Dec,10
2014,Jan,16
2014,Feb,11
2014,Mar,14
2014,Apr,12
2014,May,11
2014,Jun,12
2014,Jul,10
2014,Aug,11
2014,Sep,11
2014,Oct,10
2014,Nov,8
2014,Dec,8
2015,Jan,13
2015,Feb,5
2015,Mar,11
2015,Apr,10
2015,May,10
2015,Jun,8
2015,Jul,11
2015,Aug,10
2015,Sep,10
2015,Oct,9
2015,Nov,10
2015,Dec,7
2016,Jan,14
2016,Feb,10
2016,Mar,12
2016,Apr,8
2016,May,11
2016,Jun,9
2016,Jul,13
2016,Aug,14
2016,Sep,19
2016,Oct,11
2016,Nov,17
2016,Dec,11
2017,Jan,12
2017,Feb,11
2017,Mar,9
2017,Apr,9
2017,May,10
2017,Jun,12
2017,Jul,11
2017,Aug,13
2017,Sep,10
2017,Oct,11
2017,Nov,10
2017,Dec,10
2018,Jan,11
2018,Feb,10
2018,Mar,11
2018,Apr,12
2018,May,12
2018,Jun,9
2018,Jul,10
2018,Aug,6
2018,Sep,12
2018,Oct,8
2018,Nov,10
2018,Dec,21
2019,Jan,8
2019,Feb,11
2019,Mar,11
2019,Apr,11
2019,May,8
2019,Jun,7
2019,Jul,10
2019,Aug,7
2019,Sep,9
2019,Oct,9
2019,Nov,14
2019,Dec,11
2020,Jan,9
2020,Feb,12
2020,Mar,7
2020,Apr,7
2020,May,50
2020,Jun,69
2020,Jul,12
2020,Aug,15
2020,Sep,11
2020,Oct,12
2020,Nov,10
2020,Dec,12
2021,Jan,12
