Owner:,COOPER TODD
Cname:,PRESBIA PLC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,85
2004,Feb,0
2004,Mar,80
2004,Apr,41
2004,May,37
2004,Jun,19
2004,Jul,39
2004,Aug,88
2004,Sep,84
2004,Oct,69
2004,Nov,71
2004,Dec,32
2005,Jan,28
2005,Feb,87
2005,Mar,25
2005,Apr,71
2005,May,38
2005,Jun,13
2005,Jul,26
2005,Aug,12
2005,Sep,56
2005,Oct,42
2005,Nov,43
2005,Dec,20
2006,Jan,36
2006,Feb,19
2006,Mar,67
2006,Apr,53
2006,May,41
2006,Jun,61
2006,Jul,51
2006,Aug,31
2006,Sep,55
2006,Oct,36
2006,Nov,35
2006,Dec,28
2007,Jan,12
2007,Feb,33
2007,Mar,42
2007,Apr,24
2007,May,33
2007,Jun,35
2007,Jul,44
2007,Aug,37
2007,Sep,53
2007,Oct,43
2007,Nov,24
2007,Dec,20
2008,Jan,26
2008,Feb,27
2008,Mar,31
2008,Apr,43
2008,May,52
2008,Jun,14
2008,Jul,53
2008,Aug,52
2008,Sep,52
2008,Oct,41
2008,Nov,16
2008,Dec,44
2009,Jan,64
2009,Feb,20
2009,Mar,18
2009,Apr,44
2009,May,19
2009,Jun,38
2009,Jul,37
2009,Aug,40
2009,Sep,46
2009,Oct,24
2009,Nov,45
2009,Dec,34
2010,Jan,32
2010,Feb,63
2010,Mar,18
2010,Apr,25
2010,May,40
2010,Jun,37
2010,Jul,20
2010,Aug,50
2010,Sep,53
2010,Oct,50
2010,Nov,38
2010,Dec,49
2011,Jan,56
2011,Feb,37
2011,Mar,45
2011,Apr,57
2011,May,45
2011,Jun,57
2011,Jul,36
2011,Aug,35
2011,Sep,24
2011,Oct,30
2011,Nov,35
2011,Dec,41
2012,Jan,58
2012,Feb,55
2012,Mar,50
2012,Apr,38
2012,May,63
2012,Jun,57
2012,Jul,61
2012,Aug,47
2012,Sep,55
2012,Oct,65
2012,Nov,51
2012,Dec,44
2013,Jan,58
2013,Feb,54
2013,Mar,36
2013,Apr,41
2013,May,29
2013,Jun,54
2013,Jul,37
2013,Aug,50
2013,Sep,66
2013,Oct,62
2013,Nov,71
2013,Dec,44
2014,Jan,56
2014,Feb,76
2014,Mar,48
2014,Apr,73
2014,May,63
2014,Jun,46
2014,Jul,47
2014,Aug,45
2014,Sep,56
2014,Oct,60
2014,Nov,58
2014,Dec,65
2015,Jan,76
2015,Feb,46
2015,Mar,69
2015,Apr,79
2015,May,93
2015,Jun,45
2015,Jul,51
2015,Aug,99
2015,Sep,87
2015,Oct,70
2015,Nov,62
2015,Dec,100
2016,Jan,55
2016,Feb,50
2016,Mar,42
2016,Apr,49
2016,May,37
2016,Jun,43
2016,Jul,53
2016,Aug,39
2016,Sep,50
2016,Oct,44
2016,Nov,46
2016,Dec,38
2017,Jan,38
2017,Feb,38
2017,Mar,37
2017,Apr,38
2017,May,34
2017,Jun,22
2017,Jul,42
2017,Aug,61
2017,Sep,44
2017,Oct,35
2017,Nov,27
2017,Dec,47
2018,Jan,46
2018,Feb,19
2018,Mar,38
2018,Apr,44
2018,May,29
2018,Jun,23
2018,Jul,38
2018,Aug,37
2018,Sep,70
2018,Oct,72
2018,Nov,53
2018,Dec,46
2019,Jan,58
2019,Feb,45
2019,Mar,30
2019,Apr,28
2019,May,58
2019,Jun,40
2019,Jul,35
2019,Aug,60
2019,Sep,98
2019,Oct,55
2019,Nov,57
2019,Dec,50
2020,Jan,31
2020,Feb,39
2020,Mar,38
2020,Apr,39
2020,May,43
2020,Jun,20
2020,Jul,33
2020,Aug,37
2020,Sep,56
2020,Oct,45
2020,Nov,40
2020,Dec,34
2021,Jan,28
