Owner:,COTE PIERRE
Cname:,FACE PRINT GLOBAL SOLUTIONS IN
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,100
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,66
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,48
2005,Aug,45
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,38
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,33
2006,May,31
2006,Jun,33
2006,Jul,0
2006,Aug,58
2006,Sep,0
2006,Oct,27
2006,Nov,27
2006,Dec,53
2007,Jan,70
2007,Feb,25
2007,Mar,0
2007,Apr,45
2007,May,0
2007,Jun,44
2007,Jul,0
2007,Aug,40
2007,Sep,0
2007,Oct,0
2007,Nov,18
2007,Dec,0
2008,Jan,16
2008,Feb,17
2008,Mar,16
2008,Apr,16
2008,May,0
2008,Jun,17
2008,Jul,0
2008,Aug,16
2008,Sep,15
2008,Oct,70
2008,Nov,15
2008,Dec,30
2009,Jan,57
2009,Feb,30
2009,Mar,54
2009,Apr,41
2009,May,56
2009,Jun,42
2009,Jul,0
2009,Aug,27
2009,Sep,13
2009,Oct,25
2009,Nov,0
2009,Dec,38
2010,Jan,48
2010,Feb,0
2010,Mar,34
2010,Apr,70
2010,May,24
2010,Jun,37
2010,Jul,0
2010,Aug,10
2010,Sep,20
2010,Oct,29
2010,Nov,28
2010,Dec,9
2011,Jan,15
2011,Feb,0
2011,Mar,22
2011,Apr,8
2011,May,7
2011,Jun,8
2011,Jul,22
2011,Aug,7
2011,Sep,21
2011,Oct,13
2011,Nov,33
2011,Dec,13
2012,Jan,12
2012,Feb,30
2012,Mar,23
2012,Apr,6
2012,May,11
2012,Jun,6
2012,Jul,34
2012,Aug,11
2012,Sep,6
2012,Oct,26
2012,Nov,38
2012,Dec,5
2013,Jan,10
2013,Feb,31
2013,Mar,33
2013,Apr,24
2013,May,29
2013,Jun,25
2013,Jul,0
2013,Aug,5
2013,Sep,24
2013,Oct,9
2013,Nov,5
2013,Dec,33
2014,Jan,9
2014,Feb,10
2014,Mar,40
2014,Apr,14
2014,May,5
2014,Jun,11
2014,Jul,21
2014,Aug,16
2014,Sep,25
2014,Oct,14
2014,Nov,15
2014,Dec,5
2015,Jan,15
2015,Feb,15
2015,Mar,15
2015,Apr,10
2015,May,15
2015,Jun,11
2015,Jul,0
2015,Aug,5
2015,Sep,20
2015,Oct,5
2015,Nov,5
2015,Dec,10
2016,Jan,4
2016,Feb,25
2016,Mar,15
2016,Apr,8
2016,May,16
2016,Jun,17
2016,Jul,4
2016,Aug,13
2016,Sep,4
2016,Oct,8
2016,Nov,23
2016,Dec,15
2017,Jan,11
2017,Feb,7
2017,Mar,14
2017,Apr,11
2017,May,15
2017,Jun,8
2017,Jul,27
2017,Aug,11
2017,Sep,11
2017,Oct,18
2017,Nov,7
2017,Dec,11
2018,Jan,17
2018,Feb,19
2018,Mar,24
2018,Apr,21
2018,May,17
2018,Jun,22
2018,Jul,14
2018,Aug,21
2018,Sep,7
2018,Oct,10
2018,Nov,14
2018,Dec,7
2019,Jan,10
2019,Feb,11
2019,Mar,3
2019,Apr,11
2019,May,28
2019,Jun,0
2019,Jul,21
2019,Aug,10
2019,Sep,3
2019,Oct,9
2019,Nov,26
2019,Dec,19
2020,Jan,6
2020,Feb,19
2020,Mar,3
2020,Apr,8
2020,May,16
2020,Jun,21
2020,Jul,12
2020,Aug,15
2020,Sep,9
2020,Oct,7
2020,Nov,3
2020,Dec,10
2021,Jan,10
