Owner:,DENNIS PATRICK
Cname:,GUIDANCE SOFTWARE INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,77
2004,Feb,64
2004,Mar,41
2004,Apr,63
2004,May,57
2004,Jun,29
2004,Jul,80
2004,Aug,81
2004,Sep,52
2004,Oct,71
2004,Nov,100
2004,Dec,97
2005,Jan,43
2005,Feb,74
2005,Mar,57
2005,Apr,51
2005,May,91
2005,Jun,74
2005,Jul,86
2005,Aug,43
2005,Sep,46
2005,Oct,70
2005,Nov,50
2005,Dec,52
2006,Jan,42
2006,Feb,62
2006,Mar,64
2006,Apr,68
2006,May,72
2006,Jun,36
2006,Jul,61
2006,Aug,32
2006,Sep,56
2006,Oct,37
2006,Nov,36
2006,Dec,55
2007,Jan,29
2007,Feb,75
2007,Mar,34
2007,Apr,37
2007,May,37
2007,Jun,67
2007,Jul,54
2007,Aug,54
2007,Sep,46
2007,Oct,56
2007,Nov,51
2007,Dec,94
2008,Jan,63
2008,Feb,53
2008,Mar,68
2008,Apr,49
2008,May,60
2008,Jun,50
2008,Jul,45
2008,Aug,47
2008,Sep,45
2008,Oct,36
2008,Nov,40
2008,Dec,37
2009,Jan,55
2009,Feb,47
2009,Mar,65
2009,Apr,64
2009,May,63
2009,Jun,62
2009,Jul,46
2009,Aug,46
2009,Sep,40
2009,Oct,34
2009,Nov,38
2009,Dec,39
2010,Jan,44
2010,Feb,39
2010,Mar,63
2010,Apr,44
2010,May,67
2010,Jun,59
2010,Jul,35
2010,Aug,27
2010,Sep,52
2010,Oct,38
2010,Nov,33
2010,Dec,47
2011,Jan,45
2011,Feb,46
2011,Mar,36
2011,Apr,34
2011,May,44
2011,Jun,34
2011,Jul,40
2011,Aug,34
2011,Sep,33
2011,Oct,28
2011,Nov,26
2011,Dec,51
2012,Jan,33
2012,Feb,43
2012,Mar,36
2012,Apr,39
2012,May,37
2012,Jun,40
2012,Jul,34
2012,Aug,49
2012,Sep,67
2012,Oct,37
2012,Nov,91
2012,Dec,42
2013,Jan,42
2013,Feb,45
2013,Mar,34
2013,Apr,38
2013,May,30
2013,Jun,39
2013,Jul,46
2013,Aug,39
2013,Sep,30
2013,Oct,35
2013,Nov,48
2013,Dec,40
2014,Jan,35
2014,Feb,32
2014,Mar,31
2014,Apr,37
2014,May,40
2014,Jun,30
2014,Jul,40
2014,Aug,30
2014,Sep,33
2014,Oct,31
2014,Nov,25
2014,Dec,36
2015,Jan,27
2015,Feb,27
2015,Mar,37
2015,Apr,46
2015,May,42
2015,Jun,47
2015,Jul,27
2015,Aug,22
2015,Sep,30
2015,Oct,34
2015,Nov,30
2015,Dec,36
2016,Jan,35
2016,Feb,37
2016,Mar,30
2016,Apr,35
2016,May,27
2016,Jun,30
2016,Jul,28
2016,Aug,25
2016,Sep,28
2016,Oct,22
2016,Nov,27
2016,Dec,32
2017,Jan,31
2017,Feb,26
2017,Mar,31
2017,Apr,31
2017,May,27
2017,Jun,29
2017,Jul,32
2017,Aug,21
2017,Sep,19
2017,Oct,26
2017,Nov,27
2017,Dec,20
2018,Jan,33
2018,Feb,27
2018,Mar,34
2018,Apr,25
2018,May,27
2018,Jun,33
2018,Jul,37
2018,Aug,34
2018,Sep,23
2018,Oct,27
2018,Nov,36
2018,Dec,31
2019,Jan,31
2019,Feb,31
2019,Mar,22
2019,Apr,27
2019,May,25
2019,Jun,28
2019,Jul,24
2019,Aug,31
2019,Sep,26
2019,Oct,39
2019,Nov,29
2019,Dec,32
2020,Jan,40
2020,Feb,26
2020,Mar,20
2020,Apr,32
2020,May,36
2020,Jun,28
2020,Jul,32
2020,Aug,31
2020,Sep,32
2020,Oct,28
2020,Nov,29
2020,Dec,27
2021,Jan,28
