Owner:,DINA DINO
Cname:,DYNAVAX TECHNOLOGIES CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,78
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,62
2004,Oct,63
2004,Nov,0
2004,Dec,58
2005,Jan,0
2005,Feb,0
2005,Mar,45
2005,Apr,52
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,41
2005,Oct,0
2005,Nov,39
2005,Dec,0
2006,Jan,100
2006,Feb,0
2006,Mar,92
2006,Apr,64
2006,May,91
2006,Jun,0
2006,Jul,63
2006,Aug,29
2006,Sep,0
2006,Oct,26
2006,Nov,52
2006,Dec,78
2007,Jan,92
2007,Feb,49
2007,Mar,44
2007,Apr,22
2007,May,20
2007,Jun,22
2007,Jul,41
2007,Aug,39
2007,Sep,39
2007,Oct,35
2007,Nov,18
2007,Dec,54
2008,Jan,48
2008,Feb,33
2008,Mar,16
2008,Apr,47
2008,May,64
2008,Jun,34
2008,Jul,49
2008,Aug,16
2008,Sep,44
2008,Oct,27
2008,Nov,0
2008,Dec,44
2009,Jan,28
2009,Feb,44
2009,Mar,40
2009,Apr,27
2009,May,68
2009,Jun,97
2009,Jul,0
2009,Aug,13
2009,Sep,26
2009,Oct,37
2009,Nov,13
2009,Dec,37
2010,Jan,36
2010,Feb,61
2010,Mar,22
2010,Apr,23
2010,May,24
2010,Jun,61
2010,Jul,32
2010,Aug,30
2010,Sep,29
2010,Oct,48
2010,Nov,56
2010,Dec,28
2011,Jan,29
2011,Feb,24
2011,Mar,21
2011,Apr,45
2011,May,43
2011,Jun,7
2011,Jul,22
2011,Aug,20
2011,Sep,41
2011,Oct,32
2011,Nov,32
2011,Dec,25
2012,Jan,41
2012,Feb,35
2012,Mar,28
2012,Apr,54
2012,May,23
2012,Jun,35
2012,Jul,45
2012,Aug,22
2012,Sep,67
2012,Oct,31
2012,Nov,21
2012,Dec,51
2013,Jan,53
2013,Feb,36
2013,Mar,19
2013,Apr,38
2013,May,19
2013,Jun,35
2013,Jul,44
2013,Aug,38
2013,Sep,57
2013,Oct,23
2013,Nov,23
2013,Dec,19
2014,Jan,18
2014,Feb,10
2014,Mar,18
2014,Apr,23
2014,May,29
2014,Jun,16
2014,Jul,26
2014,Aug,56
2014,Sep,30
2014,Oct,24
2014,Nov,25
2014,Dec,35
2015,Jan,29
2015,Feb,20
2015,Mar,15
2015,Apr,25
2015,May,10
2015,Jun,21
2015,Jul,16
2015,Aug,41
2015,Sep,25
2015,Oct,19
2015,Nov,10
2015,Dec,14
2016,Jan,20
2016,Feb,25
2016,Mar,19
2016,Apr,12
2016,May,12
2016,Jun,21
2016,Jul,13
2016,Aug,17
2016,Sep,32
2016,Oct,16
2016,Nov,31
2016,Dec,7
2017,Jan,18
2017,Feb,19
2017,Mar,20
2017,Apr,4
2017,May,22
2017,Jun,39
2017,Jul,27
2017,Aug,30
2017,Sep,22
2017,Oct,39
2017,Nov,21
2017,Dec,14
2018,Jan,24
2018,Feb,11
2018,Mar,10
2018,Apr,32
2018,May,24
2018,Jun,11
2018,Jul,15
2018,Aug,21
2018,Sep,25
2018,Oct,28
2018,Nov,18
2018,Dec,14
2019,Jan,37
2019,Feb,7
2019,Mar,14
2019,Apr,0
2019,May,45
2019,Jun,47
2019,Jul,43
2019,Aug,24
2019,Sep,20
2019,Oct,22
2019,Nov,26
2019,Dec,49
2020,Jan,33
2020,Feb,19
2020,Mar,22
2020,Apr,30
2020,May,25
2020,Jun,44
2020,Jul,39
2020,Aug,35
2020,Sep,50
2020,Oct,20
2020,Nov,20
2020,Dec,20
2021,Jan,29
