Owner:,ELLIOTT PIERRE
Cname:,DIAMOND POWERSPORTS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,0
2004,Mar,19
2004,Apr,7
2004,May,7
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,25
2004,Nov,6
2004,Dec,6
2005,Jan,5
2005,Feb,10
2005,Mar,9
2005,Apr,0
2005,May,9
2005,Jun,5
2005,Jul,0
2005,Aug,0
2005,Sep,20
2005,Oct,11
2005,Nov,15
2005,Dec,4
2006,Jan,7
2006,Feb,3
2006,Mar,9
2006,Apr,0
2006,May,18
2006,Jun,3
2006,Jul,9
2006,Aug,8
2006,Sep,6
2006,Oct,3
2006,Nov,5
2006,Dec,3
2007,Jan,5
2007,Feb,0
2007,Mar,6
2007,Apr,2
2007,May,6
2007,Jun,6
2007,Jul,6
2007,Aug,4
2007,Sep,4
2007,Oct,3
2007,Nov,7
2007,Dec,7
2008,Jan,8
2008,Feb,3
2008,Mar,9
2008,Apr,6
2008,May,2
2008,Jun,5
2008,Jul,3
2008,Aug,2
2008,Sep,6
2008,Oct,1
2008,Nov,4
2008,Dec,3
2009,Jan,5
2009,Feb,0
2009,Mar,7
2009,Apr,5
2009,May,5
2009,Jun,3
2009,Jul,7
2009,Aug,8
2009,Sep,4
2009,Oct,10
2009,Nov,10
2009,Dec,9
2010,Jan,12
2010,Feb,6
2010,Mar,11
2010,Apr,3
2010,May,11
2010,Jun,6
2010,Jul,11
2010,Aug,8
2010,Sep,9
2010,Oct,9
2010,Nov,9
2010,Dec,10
2011,Jan,9
2011,Feb,5
2011,Mar,7
2011,Apr,7
2011,May,8
2011,Jun,6
2011,Jul,4
2011,Aug,9
2011,Sep,6
2011,Oct,3
2011,Nov,5
2011,Dec,5
2012,Jan,3
2012,Feb,5
2012,Mar,4
2012,Apr,3
2012,May,4
2012,Jun,8
2012,Jul,4
2012,Aug,6
2012,Sep,3
2012,Oct,5
2012,Nov,5
2012,Dec,6
2013,Jan,4
2013,Feb,8
2013,Mar,4
2013,Apr,8
2013,May,3
2013,Jun,7
2013,Jul,4
2013,Aug,4
2013,Sep,6
2013,Oct,4
2013,Nov,6
2013,Dec,3
2014,Jan,6
2014,Feb,5
2014,Mar,5
2014,Apr,5
2014,May,4
2014,Jun,8
2014,Jul,5
2014,Aug,4
2014,Sep,4
2014,Oct,6
2014,Nov,4
2014,Dec,6
2015,Jan,4
2015,Feb,2
2015,Mar,5
2015,Apr,9
2015,May,4
2015,Jun,9
2015,Jul,3
2015,Aug,4
2015,Sep,7
2015,Oct,34
2015,Nov,9
2015,Dec,5
2016,Jan,5
2016,Feb,7
2016,Mar,13
2016,Apr,5
2016,May,6
2016,Jun,7
2016,Jul,5
2016,Aug,9
2016,Sep,6
2016,Oct,5
2016,Nov,7
2016,Dec,7
2017,Jan,6
2017,Feb,6
2017,Mar,12
2017,Apr,4
2017,May,3
2017,Jun,3
2017,Jul,9
2017,Aug,8
2017,Sep,7
2017,Oct,7
2017,Nov,10
2017,Dec,4
2018,Jan,4
2018,Feb,8
2018,Mar,5
2018,Apr,8
2018,May,8
2018,Jun,7
2018,Jul,4
2018,Aug,4
2018,Sep,2
2018,Oct,6
2018,Nov,4
2018,Dec,6
2019,Jan,6
2019,Feb,6
2019,Mar,5
2019,Apr,4
2019,May,6
2019,Jun,5
2019,Jul,2
2019,Aug,5
2019,Sep,5
2019,Oct,6
2019,Nov,5
2019,Dec,6
2020,Jan,6
2020,Feb,5
2020,Mar,5
2020,Apr,3
2020,May,4
2020,Jun,3
2020,Jul,3
2020,Aug,3
2020,Sep,4
2020,Oct,3
2020,Nov,2
2020,Dec,3
2021,Jan,1
