Owner:,FAN DI
Cname:,CHINA HELI RESOURCE RENEWABLE
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,28
2004,Feb,0
2004,Mar,0
2004,Apr,53
2004,May,0
2004,Jun,0
2004,Jul,51
2004,Aug,23
2004,Sep,0
2004,Oct,0
2004,Nov,23
2004,Dec,0
2005,Jan,0
2005,Feb,57
2005,Mar,16
2005,Apr,0
2005,May,0
2005,Jun,17
2005,Jul,0
2005,Aug,0
2005,Sep,15
2005,Oct,14
2005,Nov,28
2005,Dec,0
2006,Jan,12
2006,Feb,12
2006,Mar,0
2006,Apr,23
2006,May,76
2006,Jun,0
2006,Jul,22
2006,Aug,10
2006,Sep,10
2006,Oct,9
2006,Nov,19
2006,Dec,0
2007,Jan,16
2007,Feb,17
2007,Mar,24
2007,Apr,0
2007,May,7
2007,Jun,23
2007,Jul,22
2007,Aug,14
2007,Sep,7
2007,Oct,19
2007,Nov,6
2007,Dec,7
2008,Jan,6
2008,Feb,0
2008,Mar,17
2008,Apr,11
2008,May,11
2008,Jun,0
2008,Jul,6
2008,Aug,12
2008,Sep,11
2008,Oct,20
2008,Nov,11
2008,Dec,11
2009,Jan,25
2009,Feb,5
2009,Mar,14
2009,Apr,19
2009,May,10
2009,Jun,10
2009,Jul,24
2009,Aug,29
2009,Sep,14
2009,Oct,17
2009,Nov,26
2009,Dec,13
2010,Jan,28
2010,Feb,8
2010,Mar,19
2010,Apr,24
2010,May,25
2010,Jun,21
2010,Jul,36
2010,Aug,59
2010,Sep,40
2010,Oct,40
2010,Nov,55
2010,Dec,26
2011,Jan,25
2011,Feb,19
2011,Mar,22
2011,Apr,20
2011,May,5
2011,Jun,20
2011,Jul,27
2011,Aug,40
2011,Sep,46
2011,Oct,52
2011,Nov,36
2011,Dec,100
2012,Jan,22
2012,Feb,26
2012,Mar,27
2012,Apr,29
2012,May,29
2012,Jun,28
2012,Jul,45
2012,Aug,30
2012,Sep,32
2012,Oct,30
2012,Nov,26
2012,Dec,32
2013,Jan,38
2013,Feb,37
2013,Mar,38
2013,Apr,39
2013,May,31
2013,Jun,51
2013,Jul,57
2013,Aug,41
2013,Sep,37
2013,Oct,56
2013,Nov,47
2013,Dec,46
2014,Jan,32
2014,Feb,36
2014,Mar,41
2014,Apr,50
2014,May,71
2014,Jun,57
2014,Jul,43
2014,Aug,28
2014,Sep,29
2014,Oct,52
2014,Nov,33
2014,Dec,53
2015,Jan,28
2015,Feb,54
2015,Mar,48
2015,Apr,46
2015,May,51
2015,Jun,44
2015,Jul,41
2015,Aug,66
2015,Sep,39
2015,Oct,37
2015,Nov,74
2015,Dec,62
2016,Jan,26
2016,Feb,34
2016,Mar,25
2016,Apr,39
2016,May,35
2016,Jun,38
2016,Jul,37
2016,Aug,31
2016,Sep,31
2016,Oct,41
2016,Nov,28
2016,Dec,29
2017,Jan,33
2017,Feb,28
2017,Mar,24
2017,Apr,37
2017,May,39
2017,Jun,27
2017,Jul,43
2017,Aug,42
2017,Sep,36
2017,Oct,34
2017,Nov,32
2017,Dec,77
2018,Jan,35
2018,Feb,30
2018,Mar,27
2018,Apr,42
2018,May,29
2018,Jun,25
2018,Jul,22
2018,Aug,27
2018,Sep,20
2018,Oct,24
2018,Nov,32
2018,Dec,25
2019,Jan,22
2019,Feb,27
2019,Mar,22
2019,Apr,19
2019,May,26
2019,Jun,28
2019,Jul,21
2019,Aug,27
2019,Sep,23
2019,Oct,19
2019,Nov,27
2019,Dec,25
2020,Jan,22
2020,Feb,23
2020,Mar,17
2020,Apr,23
2020,May,28
2020,Jun,29
2020,Jul,43
2020,Aug,34
2020,Sep,34
2020,Oct,27
2020,Nov,24
2020,Dec,23
2021,Jan,27
