Owner:,FAN WEI
Cname:,PROFICIENT ALPHA ACQUISITION C
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,40
2004,Feb,0
2004,Mar,50
2004,Apr,38
2004,May,0
2004,Jun,36
2004,Jul,37
2004,Aug,66
2004,Sep,32
2004,Oct,65
2004,Nov,33
2004,Dec,30
2005,Jan,52
2005,Feb,27
2005,Mar,23
2005,Apr,27
2005,May,24
2005,Jun,74
2005,Jul,0
2005,Aug,23
2005,Sep,42
2005,Oct,0
2005,Nov,20
2005,Dec,38
2006,Jan,51
2006,Feb,35
2006,Mar,47
2006,Apr,33
2006,May,31
2006,Jun,49
2006,Jul,64
2006,Aug,15
2006,Sep,44
2006,Oct,13
2006,Nov,13
2006,Dec,40
2007,Jan,12
2007,Feb,25
2007,Mar,68
2007,Apr,23
2007,May,31
2007,Jun,56
2007,Jul,52
2007,Aug,0
2007,Sep,100
2007,Oct,18
2007,Nov,36
2007,Dec,28
2008,Jan,41
2008,Feb,51
2008,Mar,33
2008,Apr,24
2008,May,33
2008,Jun,26
2008,Jul,42
2008,Aug,41
2008,Sep,30
2008,Oct,63
2008,Nov,15
2008,Dec,8
2009,Jan,57
2009,Feb,23
2009,Mar,41
2009,Apr,27
2009,May,28
2009,Jun,21
2009,Jul,28
2009,Aug,20
2009,Sep,60
2009,Oct,25
2009,Nov,19
2009,Dec,43
2010,Jan,41
2010,Feb,36
2010,Mar,33
2010,Apr,29
2010,May,48
2010,Jun,18
2010,Jul,26
2010,Aug,10
2010,Sep,39
2010,Oct,19
2010,Nov,14
2010,Dec,14
2011,Jan,15
2011,Feb,4
2011,Mar,21
2011,Apr,26
2011,May,54
2011,Jun,15
2011,Jul,22
2011,Aug,37
2011,Sep,24
2011,Oct,25
2011,Nov,13
2011,Dec,25
2012,Jan,29
2012,Feb,20
2012,Mar,22
2012,Apr,21
2012,May,34
2012,Jun,15
2012,Jul,23
2012,Aug,22
2012,Sep,36
2012,Oct,15
2012,Nov,8
2012,Dec,36
2013,Jan,17
2013,Feb,26
2013,Mar,14
2013,Apr,12
2013,May,28
2013,Jun,25
2013,Jul,17
2013,Aug,24
2013,Sep,16
2013,Oct,20
2013,Nov,23
2013,Dec,16
2014,Jan,9
2014,Feb,10
2014,Mar,22
2014,Apr,16
2014,May,22
2014,Jun,29
2014,Jul,36
2014,Aug,28
2014,Sep,20
2014,Oct,35
2014,Nov,20
2014,Dec,22
2015,Jan,38
2015,Feb,23
2015,Mar,22
2015,Apr,27
2015,May,13
2015,Jun,26
2015,Jul,15
2015,Aug,17
2015,Sep,34
2015,Oct,23
2015,Nov,17
2015,Dec,14
2016,Jan,21
2016,Feb,34
2016,Mar,24
2016,Apr,12
2016,May,16
2016,Jun,16
2016,Jul,18
2016,Aug,16
2016,Sep,20
2016,Oct,11
2016,Nov,25
2016,Dec,15
2017,Jan,16
2017,Feb,18
2017,Mar,30
2017,Apr,21
2017,May,22
2017,Jun,12
2017,Jul,19
2017,Aug,27
2017,Sep,14
2017,Oct,14
2017,Nov,21
2017,Dec,12
2018,Jan,18
2018,Feb,13
2018,Mar,13
2018,Apr,16
2018,May,14
2018,Jun,18
2018,Jul,14
2018,Aug,10
2018,Sep,14
2018,Oct,19
2018,Nov,10
2018,Dec,10
2019,Jan,20
2019,Feb,12
2019,Mar,20
2019,Apr,24
2019,May,25
2019,Jun,11
2019,Jul,9
2019,Aug,15
2019,Sep,20
2019,Oct,12
2019,Nov,18
2019,Dec,21
2020,Jan,18
2020,Feb,19
2020,Mar,11
2020,Apr,12
2020,May,16
2020,Jun,12
2020,Jul,18
2020,Aug,11
2020,Sep,7
2020,Oct,18
2020,Nov,16
2020,Dec,6
2021,Jan,17
