Owner:,FENTON LEE
Cname:,BALLY'S CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,62
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,53
2004,Dec,47
2005,Jan,41
2005,Feb,87
2005,Mar,37
2005,Apr,42
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,100
2005,Oct,0
2005,Nov,32
2005,Dec,30
2006,Jan,54
2006,Feb,0
2006,Mar,25
2006,Apr,0
2006,May,74
2006,Jun,26
2006,Jul,25
2006,Aug,23
2006,Sep,0
2006,Oct,21
2006,Nov,0
2006,Dec,21
2007,Jan,56
2007,Feb,0
2007,Mar,36
2007,Apr,0
2007,May,33
2007,Jun,53
2007,Jul,17
2007,Aug,32
2007,Sep,32
2007,Oct,0
2007,Nov,14
2007,Dec,15
2008,Jan,39
2008,Feb,40
2008,Mar,26
2008,Apr,13
2008,May,0
2008,Jun,28
2008,Jul,13
2008,Aug,26
2008,Sep,12
2008,Oct,33
2008,Nov,0
2008,Dec,12
2009,Jan,0
2009,Feb,0
2009,Mar,11
2009,Apr,11
2009,May,44
2009,Jun,22
2009,Jul,44
2009,Aug,11
2009,Sep,42
2009,Oct,30
2009,Nov,0
2009,Dec,30
2010,Jan,9
2010,Feb,29
2010,Mar,9
2010,Apr,9
2010,May,0
2010,Jun,39
2010,Jul,33
2010,Aug,16
2010,Sep,23
2010,Oct,15
2010,Nov,15
2010,Dec,22
2011,Jan,23
2011,Feb,31
2011,Mar,23
2011,Apr,29
2011,May,17
2011,Jun,12
2011,Jul,6
2011,Aug,32
2011,Sep,5
2011,Oct,40
2011,Nov,31
2011,Dec,15
2012,Jan,5
2012,Feb,14
2012,Mar,18
2012,Apr,28
2012,May,22
2012,Jun,19
2012,Jul,36
2012,Aug,22
2012,Sep,26
2012,Oct,8
2012,Nov,25
2012,Dec,20
2013,Jan,34
2013,Feb,29
2013,Mar,26
2013,Apr,27
2013,May,15
2013,Jun,20
2013,Jul,12
2013,Aug,8
2013,Sep,19
2013,Oct,11
2013,Nov,19
2013,Dec,15
2014,Jan,21
2014,Feb,11
2014,Mar,14
2014,Apr,29
2014,May,23
2014,Jun,34
2014,Jul,29
2014,Aug,12
2014,Sep,24
2014,Oct,15
2014,Nov,20
2014,Dec,35
2015,Jan,23
2015,Feb,8
2015,Mar,19
2015,Apr,28
2015,May,36
2015,Jun,38
2015,Jul,27
2015,Aug,27
2015,Sep,4
2015,Oct,20
2015,Nov,17
2015,Dec,17
2016,Jan,10
2016,Feb,11
2016,Mar,7
2016,Apr,10
2016,May,17
2016,Jun,18
2016,Jul,25
2016,Aug,11
2016,Sep,24
2016,Oct,10
2016,Nov,10
2016,Dec,19
2017,Jan,15
2017,Feb,3
2017,Mar,18
2017,Apr,16
2017,May,10
2017,Jun,3
2017,Jul,20
2017,Aug,22
2017,Sep,19
2017,Oct,12
2017,Nov,3
2017,Dec,22
2018,Jan,18
2018,Feb,3
2018,Mar,12
2018,Apr,9
2018,May,9
2018,Jun,13
2018,Jul,22
2018,Aug,25
2018,Sep,22
2018,Oct,9
2018,Nov,6
2018,Dec,9
2019,Jan,18
2019,Feb,3
2019,Mar,15
2019,Apr,9
2019,May,9
2019,Jun,19
2019,Jul,9
2019,Aug,12
2019,Sep,20
2019,Oct,11
2019,Nov,17
2019,Dec,6
2020,Jan,21
2020,Feb,17
2020,Mar,0
2020,Apr,17
2020,May,0
2020,Jun,8
2020,Jul,10
2020,Aug,8
2020,Sep,20
2020,Oct,9
2020,Nov,11
2020,Dec,14
2021,Jan,14
