Owner:,FITZGERALD DAVID
Cname:,ARTHROCARE CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,44
2004,Feb,58
2004,Mar,74
2004,Apr,70
2004,May,38
2004,Jun,92
2004,Jul,40
2004,Aug,97
2004,Sep,35
2004,Oct,83
2004,Nov,85
2004,Dec,44
2005,Jan,67
2005,Feb,100
2005,Mar,85
2005,Apr,59
2005,May,44
2005,Jun,81
2005,Jul,44
2005,Aug,75
2005,Sep,54
2005,Oct,87
2005,Nov,59
2005,Dec,63
2006,Jan,69
2006,Feb,52
2006,Mar,80
2006,Apr,24
2006,May,40
2006,Jun,60
2006,Jul,59
2006,Aug,91
2006,Sep,49
2006,Oct,25
2006,Nov,29
2006,Dec,64
2007,Jan,69
2007,Feb,69
2007,Mar,37
2007,Apr,42
2007,May,65
2007,Jun,45
2007,Jul,38
2007,Aug,55
2007,Sep,55
2007,Oct,33
2007,Nov,53
2007,Dec,44
2008,Jan,39
2008,Feb,56
2008,Mar,52
2008,Apr,45
2008,May,42
2008,Jun,45
2008,Jul,52
2008,Aug,42
2008,Sep,39
2008,Oct,28
2008,Nov,37
2008,Dec,39
2009,Jan,76
2009,Feb,41
2009,Mar,67
2009,Apr,35
2009,May,56
2009,Jun,49
2009,Jul,43
2009,Aug,25
2009,Sep,34
2009,Oct,46
2009,Nov,47
2009,Dec,44
2010,Jan,46
2010,Feb,25
2010,Mar,25
2010,Apr,49
2010,May,52
2010,Jun,70
2010,Jul,35
2010,Aug,21
2010,Sep,20
2010,Oct,38
2010,Nov,33
2010,Dec,35
2011,Jan,31
2011,Feb,46
2011,Mar,33
2011,Apr,40
2011,May,40
2011,Jun,24
2011,Jul,27
2011,Aug,29
2011,Sep,30
2011,Oct,38
2011,Nov,40
2011,Dec,39
2012,Jan,37
2012,Feb,30
2012,Mar,28
2012,Apr,26
2012,May,36
2012,Jun,34
2012,Jul,36
2012,Aug,38
2012,Sep,33
2012,Oct,42
2012,Nov,38
2012,Dec,32
2013,Jan,27
2013,Feb,28
2013,Mar,43
2013,Apr,39
2013,May,32
2013,Jun,37
2013,Jul,37
2013,Aug,47
2013,Sep,53
2013,Oct,39
2013,Nov,35
2013,Dec,37
2014,Jan,34
2014,Feb,45
2014,Mar,34
2014,Apr,29
2014,May,44
2014,Jun,39
2014,Jul,29
2014,Aug,39
2014,Sep,36
2014,Oct,53
2014,Nov,54
2014,Dec,35
2015,Jan,34
2015,Feb,38
2015,Mar,31
2015,Apr,38
2015,May,47
2015,Jun,22
2015,Jul,31
2015,Aug,41
2015,Sep,38
2015,Oct,27
2015,Nov,25
2015,Dec,39
2016,Jan,55
2016,Feb,39
2016,Mar,38
2016,Apr,29
2016,May,27
2016,Jun,21
2016,Jul,27
2016,Aug,32
2016,Sep,40
2016,Oct,48
2016,Nov,35
2016,Dec,44
2017,Jan,44
2017,Feb,42
2017,Mar,29
2017,Apr,34
2017,May,26
2017,Jun,37
2017,Jul,23
2017,Aug,36
2017,Sep,52
2017,Oct,36
2017,Nov,41
2017,Dec,33
2018,Jan,41
2018,Feb,35
2018,Mar,33
2018,Apr,32
2018,May,34
2018,Jun,28
2018,Jul,26
2018,Aug,41
2018,Sep,36
2018,Oct,50
2018,Nov,46
2018,Dec,28
2019,Jan,28
2019,Feb,23
2019,Mar,22
2019,Apr,31
2019,May,20
2019,Jun,26
2019,Jul,24
2019,Aug,29
2019,Sep,44
2019,Oct,34
2019,Nov,24
2019,Dec,25
2020,Jan,51
2020,Feb,30
2020,Mar,25
2020,Apr,22
2020,May,32
2020,Jun,17
2020,Jul,21
2020,Aug,17
2020,Sep,19
2020,Oct,32
2020,Nov,27
2020,Dec,26
2021,Jan,49
