Owner:,FRANK JEFFREY
Cname:,CHEROKEE INTERNATIONAL CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,61
2004,Mar,16
2004,Apr,47
2004,May,76
2004,Jun,33
2004,Jul,46
2004,Aug,31
2004,Sep,39
2004,Oct,50
2004,Nov,41
2004,Dec,83
2005,Jan,32
2005,Feb,76
2005,Mar,79
2005,Apr,66
2005,May,82
2005,Jun,53
2005,Jul,82
2005,Aug,92
2005,Sep,78
2005,Oct,24
2005,Nov,44
2005,Dec,59
2006,Jan,90
2006,Feb,33
2006,Mar,34
2006,Apr,26
2006,May,39
2006,Jun,61
2006,Jul,40
2006,Aug,100
2006,Sep,73
2006,Oct,29
2006,Nov,41
2006,Dec,33
2007,Jan,44
2007,Feb,62
2007,Mar,42
2007,Apr,28
2007,May,55
2007,Jun,34
2007,Jul,58
2007,Aug,19
2007,Sep,40
2007,Oct,64
2007,Nov,31
2007,Dec,32
2008,Jan,28
2008,Feb,26
2008,Mar,33
2008,Apr,43
2008,May,41
2008,Jun,19
2008,Jul,49
2008,Aug,46
2008,Sep,26
2008,Oct,43
2008,Nov,24
2008,Dec,38
2009,Jan,51
2009,Feb,28
2009,Mar,38
2009,Apr,43
2009,May,20
2009,Jun,31
2009,Jul,32
2009,Aug,21
2009,Sep,29
2009,Oct,35
2009,Nov,32
2009,Dec,29
2010,Jan,33
2010,Feb,23
2010,Mar,24
2010,Apr,20
2010,May,42
2010,Jun,40
2010,Jul,18
2010,Aug,25
2010,Sep,29
2010,Oct,32
2010,Nov,29
2010,Dec,16
2011,Jan,33
2011,Feb,31
2011,Mar,32
2011,Apr,21
2011,May,26
2011,Jun,23
2011,Jul,19
2011,Aug,27
2011,Sep,28
2011,Oct,26
2011,Nov,39
2011,Dec,21
2012,Jan,26
2012,Feb,25
2012,Mar,26
2012,Apr,29
2012,May,33
2012,Jun,28
2012,Jul,37
2012,Aug,26
2012,Sep,33
2012,Oct,19
2012,Nov,28
2012,Dec,18
2013,Jan,23
2013,Feb,36
2013,Mar,26
2013,Apr,25
2013,May,25
2013,Jun,21
2013,Jul,31
2013,Aug,29
2013,Sep,24
2013,Oct,20
2013,Nov,25
2013,Dec,20
2014,Jan,19
2014,Feb,23
2014,Mar,26
2014,Apr,31
2014,May,49
2014,Jun,40
2014,Jul,30
2014,Aug,26
2014,Sep,16
2014,Oct,26
2014,Nov,23
2014,Dec,20
2015,Jan,18
2015,Feb,25
2015,Mar,27
2015,Apr,25
2015,May,23
2015,Jun,24
2015,Jul,20
2015,Aug,26
2015,Sep,21
2015,Oct,18
2015,Nov,34
2015,Dec,23
2016,Jan,27
2016,Feb,32
2016,Mar,26
2016,Apr,21
2016,May,21
2016,Jun,19
2016,Jul,32
2016,Aug,28
2016,Sep,24
2016,Oct,18
2016,Nov,26
2016,Dec,28
2017,Jan,25
2017,Feb,27
2017,Mar,25
2017,Apr,22
2017,May,18
2017,Jun,23
2017,Jul,15
2017,Aug,21
2017,Sep,17
2017,Oct,20
2017,Nov,22
2017,Dec,20
2018,Jan,25
2018,Feb,20
2018,Mar,21
2018,Apr,22
2018,May,16
2018,Jun,13
2018,Jul,16
2018,Aug,24
2018,Sep,13
2018,Oct,29
2018,Nov,14
2018,Dec,17
2019,Jan,18
2019,Feb,18
2019,Mar,15
2019,Apr,19
2019,May,15
2019,Jun,20
2019,Jul,31
2019,Aug,35
2019,Sep,24
2019,Oct,20
2019,Nov,16
2019,Dec,21
2020,Jan,25
2020,Feb,21
2020,Mar,17
2020,Apr,16
2020,May,20
2020,Jun,26
2020,Jul,28
2020,Aug,21
2020,Sep,21
2020,Oct,21
2020,Nov,14
2020,Dec,17
2021,Jan,20
