Owner:,GARDNER JASON
Cname:,MAGENTA THERAPEUTICS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,16
2004,Mar,83
2004,Apr,79
2004,May,72
2004,Jun,30
2004,Jul,76
2004,Aug,0
2004,Sep,26
2004,Oct,13
2004,Nov,55
2004,Dec,62
2005,Jan,11
2005,Feb,79
2005,Mar,87
2005,Apr,44
2005,May,40
2005,Jun,51
2005,Jul,30
2005,Aug,19
2005,Sep,61
2005,Oct,65
2005,Nov,17
2005,Dec,56
2006,Jan,43
2006,Feb,44
2006,Mar,39
2006,Apr,21
2006,May,32
2006,Jun,34
2006,Jul,73
2006,Aug,18
2006,Sep,31
2006,Oct,39
2006,Nov,61
2006,Dec,17
2007,Jan,29
2007,Feb,21
2007,Mar,47
2007,Apr,33
2007,May,22
2007,Jun,41
2007,Jul,52
2007,Aug,41
2007,Sep,46
2007,Oct,7
2007,Nov,41
2007,Dec,35
2008,Jan,37
2008,Feb,42
2008,Mar,41
2008,Apr,34
2008,May,17
2008,Jun,36
2008,Jul,34
2008,Aug,24
2008,Sep,31
2008,Oct,43
2008,Nov,35
2008,Dec,28
2009,Jan,39
2009,Feb,25
2009,Mar,37
2009,Apr,26
2009,May,20
2009,Jun,18
2009,Jul,32
2009,Aug,14
2009,Sep,22
2009,Oct,26
2009,Nov,32
2009,Dec,21
2010,Jan,25
2010,Feb,21
2010,Mar,38
2010,Apr,24
2010,May,20
2010,Jun,36
2010,Jul,16
2010,Aug,26
2010,Sep,19
2010,Oct,37
2010,Nov,26
2010,Dec,14
2011,Jan,12
2011,Feb,30
2011,Mar,44
2011,Apr,14
2011,May,35
2011,Jun,20
2011,Jul,14
2011,Aug,17
2011,Sep,27
2011,Oct,22
2011,Nov,15
2011,Dec,24
2012,Jan,31
2012,Feb,21
2012,Mar,19
2012,Apr,19
2012,May,17
2012,Jun,20
2012,Jul,12
2012,Aug,20
2012,Sep,14
2012,Oct,16
2012,Nov,14
2012,Dec,13
2013,Jan,22
2013,Feb,19
2013,Mar,33
2013,Apr,19
2013,May,19
2013,Jun,28
2013,Jul,19
2013,Aug,27
2013,Sep,16
2013,Oct,22
2013,Nov,19
2013,Dec,26
2014,Jan,12
2014,Feb,22
2014,Mar,47
2014,Apr,29
2014,May,20
2014,Jun,16
2014,Jul,27
2014,Aug,20
2014,Sep,21
2014,Oct,20
2014,Nov,30
2014,Dec,14
2015,Jan,16
2015,Feb,16
2015,Mar,26
2015,Apr,21
2015,May,14
2015,Jun,26
2015,Jul,31
2015,Aug,23
2015,Sep,14
2015,Oct,14
2015,Nov,26
2015,Dec,23
2016,Jan,15
2016,Feb,20
2016,Mar,21
2016,Apr,20
2016,May,21
2016,Jun,17
2016,Jul,14
2016,Aug,20
2016,Sep,12
2016,Oct,36
2016,Nov,14
2016,Dec,23
2017,Jan,19
2017,Feb,19
2017,Mar,16
2017,Apr,16
2017,May,18
2017,Jun,23
2017,Jul,12
2017,Aug,17
2017,Sep,12
2017,Oct,27
2017,Nov,12
2017,Dec,19
2018,Jan,16
2018,Feb,19
2018,Mar,13
2018,Apr,18
2018,May,14
2018,Jun,21
2018,Jul,18
2018,Aug,14
2018,Sep,22
2018,Oct,24
2018,Nov,14
2018,Dec,19
2019,Jan,22
2019,Feb,20
2019,Mar,53
2019,Apr,23
2019,May,27
2019,Jun,30
2019,Jul,35
2019,Aug,49
2019,Sep,44
2019,Oct,25
2019,Nov,34
2019,Dec,30
2020,Jan,33
2020,Feb,23
2020,Mar,25
2020,Apr,25
2020,May,15
2020,Jun,26
2020,Jul,17
2020,Aug,18
2020,Sep,24
2020,Oct,56
2020,Nov,24
2020,Dec,20
2021,Jan,21
