Owner:,GEE DONALD
Cname:,SMART TEK SOLUTIONS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,100
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,91
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,66
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,61
2005,Aug,0
2005,Sep,53
2005,Oct,100
2005,Nov,0
2005,Dec,97
2006,Jan,0
2006,Feb,0
2006,Mar,40
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,68
2006,Nov,68
2006,Dec,0
2007,Jan,0
2007,Feb,63
2007,Mar,0
2007,Apr,29
2007,May,27
2007,Jun,56
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,23
2007,Nov,23
2007,Dec,24
2008,Jan,62
2008,Feb,86
2008,Mar,0
2008,Apr,21
2008,May,21
2008,Jun,22
2008,Jul,21
2008,Aug,0
2008,Sep,19
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,17
2009,Apr,17
2009,May,18
2009,Jun,36
2009,Jul,18
2009,Aug,0
2009,Sep,17
2009,Oct,32
2009,Nov,16
2009,Dec,0
2010,Jan,45
2010,Feb,0
2010,Mar,0
2010,Apr,15
2010,May,0
2010,Jun,16
2010,Jul,27
2010,Aug,39
2010,Sep,37
2010,Oct,12
2010,Nov,48
2010,Dec,12
2011,Jan,9
2011,Feb,20
2011,Mar,18
2011,Apr,0
2011,May,9
2011,Jun,19
2011,Jul,9
2011,Aug,17
2011,Sep,0
2011,Oct,33
2011,Nov,8
2011,Dec,32
2012,Jan,8
2012,Feb,38
2012,Mar,29
2012,Apr,15
2012,May,7
2012,Jun,15
2012,Jul,0
2012,Aug,21
2012,Sep,14
2012,Oct,0
2012,Nov,14
2012,Dec,0
2013,Jan,19
2013,Feb,26
2013,Mar,0
2013,Apr,0
2013,May,6
2013,Jun,57
2013,Jul,12
2013,Aug,18
2013,Sep,12
2013,Oct,0
2013,Nov,12
2013,Dec,24
2014,Jan,17
2014,Feb,0
2014,Mar,6
2014,Apr,40
2014,May,31
2014,Jun,0
2014,Jul,0
2014,Aug,20
2014,Sep,0
2014,Oct,6
2014,Nov,6
2014,Dec,13
2015,Jan,12
2015,Feb,6
2015,Mar,12
2015,Apr,0
2015,May,26
2015,Jun,20
2015,Jul,13
2015,Aug,13
2015,Sep,32
2015,Oct,24
2015,Nov,50
2015,Dec,12
2016,Jan,20
2016,Feb,5
2016,Mar,10
2016,Apr,15
2016,May,30
2016,Jun,26
2016,Jul,16
2016,Aug,16
2016,Sep,10
2016,Oct,40
2016,Nov,15
2016,Dec,9
2017,Jan,36
2017,Feb,33
2017,Mar,13
2017,Apr,23
2017,May,19
2017,Jun,15
2017,Jul,35
2017,Aug,19
2017,Sep,14
2017,Oct,31
2017,Nov,5
2017,Dec,9
2018,Jan,4
2018,Feb,14
2018,Mar,4
2018,Apr,13
2018,May,22
2018,Jun,28
2018,Jul,23
2018,Aug,23
2018,Sep,5
2018,Oct,18
2018,Nov,13
2018,Dec,45
2019,Jan,30
2019,Feb,32
2019,Mar,13
2019,Apr,13
2019,May,44
2019,Jun,18
2019,Jul,18
2019,Aug,13
2019,Sep,38
2019,Oct,16
2019,Nov,21
2019,Dec,4
2020,Jan,23
2020,Feb,28
2020,Mar,18
2020,Apr,17
2020,May,14
2020,Jun,26
2020,Jul,30
2020,Aug,11
2020,Sep,11
2020,Oct,25
2020,Nov,29
2020,Dec,17
2021,Jan,24
