Owner:,GO TIMOTHY
Cname:,CALUMET SPECIALTY PRODUCTS PAR
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,30
2004,Mar,0
2004,Apr,30
2004,May,54
2004,Jun,28
2004,Jul,29
2004,Aug,0
2004,Sep,0
2004,Oct,25
2004,Nov,0
2004,Dec,23
2005,Jan,40
2005,Feb,21
2005,Mar,54
2005,Apr,21
2005,May,74
2005,Jun,0
2005,Jul,19
2005,Aug,18
2005,Sep,49
2005,Oct,15
2005,Nov,16
2005,Dec,15
2006,Jan,13
2006,Feb,41
2006,Mar,24
2006,Apr,26
2006,May,48
2006,Jun,38
2006,Jul,25
2006,Aug,34
2006,Sep,11
2006,Oct,10
2006,Nov,21
2006,Dec,31
2007,Jan,18
2007,Feb,19
2007,Mar,26
2007,Apr,9
2007,May,24
2007,Jun,26
2007,Jul,24
2007,Aug,23
2007,Sep,54
2007,Oct,35
2007,Nov,21
2007,Dec,36
2008,Jan,13
2008,Feb,33
2008,Mar,6
2008,Apr,19
2008,May,38
2008,Jun,34
2008,Jul,19
2008,Aug,19
2008,Sep,23
2008,Oct,27
2008,Nov,30
2008,Dec,24
2009,Jan,22
2009,Feb,35
2009,Mar,42
2009,Apr,32
2009,May,27
2009,Jun,22
2009,Jul,38
2009,Aug,32
2009,Sep,36
2009,Oct,25
2009,Nov,30
2009,Dec,44
2010,Jan,61
2010,Feb,34
2010,Mar,70
2010,Apr,46
2010,May,33
2010,Jun,39
2010,Jul,38
2010,Aug,32
2010,Sep,66
2010,Oct,42
2010,Nov,52
2010,Dec,41
2011,Jan,35
2011,Feb,63
2011,Mar,73
2011,Apr,44
2011,May,60
2011,Jun,50
2011,Jul,58
2011,Aug,51
2011,Sep,38
2011,Oct,30
2011,Nov,36
2011,Dec,49
2012,Jan,53
2012,Feb,37
2012,Mar,49
2012,Apr,52
2012,May,42
2012,Jun,63
2012,Jul,43
2012,Aug,83
2012,Sep,75
2012,Oct,53
2012,Nov,61
2012,Dec,35
2013,Jan,88
2013,Feb,49
2013,Mar,54
2013,Apr,61
2013,May,41
2013,Jun,45
2013,Jul,44
2013,Aug,59
2013,Sep,41
2013,Oct,43
2013,Nov,56
2013,Dec,50
2014,Jan,52
2014,Feb,51
2014,Mar,50
2014,Apr,45
2014,May,44
2014,Jun,55
2014,Jul,66
2014,Aug,53
2014,Sep,61
2014,Oct,39
2014,Nov,42
2014,Dec,51
2015,Jan,38
2015,Feb,42
2015,Mar,36
2015,Apr,45
2015,May,46
2015,Jun,57
2015,Jul,49
2015,Aug,47
2015,Sep,77
2015,Oct,44
2015,Nov,53
2015,Dec,63
2016,Jan,62
2016,Feb,43
2016,Mar,52
2016,Apr,52
2016,May,42
2016,Jun,62
2016,Jul,100
2016,Aug,47
2016,Sep,42
2016,Oct,56
2016,Nov,61
2016,Dec,44
2017,Jan,51
2017,Feb,52
2017,Mar,52
2017,Apr,58
2017,May,59
2017,Jun,47
2017,Jul,44
2017,Aug,43
2017,Sep,42
2017,Oct,52
2017,Nov,37
2017,Dec,72
2018,Jan,75
2018,Feb,52
2018,Mar,83
2018,Apr,70
2018,May,43
2018,Jun,58
2018,Jul,74
2018,Aug,59
2018,Sep,67
2018,Oct,47
2018,Nov,46
2018,Dec,56
2019,Jan,54
2019,Feb,52
2019,Mar,67
2019,Apr,56
2019,May,52
2019,Jun,61
2019,Jul,45
2019,Aug,74
2019,Sep,54
2019,Oct,47
2019,Nov,38
2019,Dec,57
2020,Jan,62
2020,Feb,35
2020,Mar,53
2020,Apr,93
2020,May,56
2020,Jun,66
2020,Jul,61
2020,Aug,69
2020,Sep,49
2020,Oct,62
2020,Nov,62
2020,Dec,76
2021,Jan,39
