Owner:,GROSS HOWARD
Cname:,EDDIE BAUER HOLDINGS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,15
2004,Feb,74
2004,Mar,19
2004,Apr,43
2004,May,0
2004,Jun,27
2004,Jul,41
2004,Aug,12
2004,Sep,0
2004,Oct,24
2004,Nov,25
2004,Dec,0
2005,Jan,29
2005,Feb,20
2005,Mar,35
2005,Apr,20
2005,May,9
2005,Jun,37
2005,Jul,27
2005,Aug,17
2005,Sep,0
2005,Oct,22
2005,Nov,23
2005,Dec,43
2006,Jan,13
2006,Feb,0
2006,Mar,29
2006,Apr,25
2006,May,23
2006,Jun,18
2006,Jul,6
2006,Aug,11
2006,Sep,50
2006,Oct,5
2006,Nov,20
2006,Dec,5
2007,Jan,40
2007,Feb,19
2007,Mar,34
2007,Apr,26
2007,May,20
2007,Jun,21
2007,Jul,12
2007,Aug,19
2007,Sep,19
2007,Oct,13
2007,Nov,7
2007,Dec,17
2008,Jan,18
2008,Feb,13
2008,Mar,19
2008,Apr,6
2008,May,3
2008,Jun,10
2008,Jul,3
2008,Aug,15
2008,Sep,23
2008,Oct,16
2008,Nov,12
2008,Dec,17
2009,Jan,13
2009,Feb,6
2009,Mar,20
2009,Apr,13
2009,May,13
2009,Jun,11
2009,Jul,29
2009,Aug,20
2009,Sep,12
2009,Oct,17
2009,Nov,17
2009,Dec,21
2010,Jan,9
2010,Feb,16
2010,Mar,13
2010,Apr,11
2010,May,2
2010,Jun,5
2010,Jul,26
2010,Aug,12
2010,Sep,11
2010,Oct,9
2010,Nov,14
2010,Dec,7
2011,Jan,10
2011,Feb,12
2011,Mar,8
2011,Apr,11
2011,May,11
2011,Jun,9
2011,Jul,13
2011,Aug,16
2011,Sep,17
2011,Oct,12
2011,Nov,11
2011,Dec,13
2012,Jan,11
2012,Feb,14
2012,Mar,13
2012,Apr,9
2012,May,13
2012,Jun,12
2012,Jul,18
2012,Aug,9
2012,Sep,15
2012,Oct,8
2012,Nov,8
2012,Dec,7
2013,Jan,13
2013,Feb,6
2013,Mar,9
2013,Apr,20
2013,May,12
2013,Jun,15
2013,Jul,14
2013,Aug,10
2013,Sep,12
2013,Oct,13
2013,Nov,9
2013,Dec,12
2014,Jan,11
2014,Feb,18
2014,Mar,13
2014,Apr,9
2014,May,16
2014,Jun,7
2014,Jul,16
2014,Aug,18
2014,Sep,8
2014,Oct,11
2014,Nov,5
2014,Dec,9
2015,Jan,9
2015,Feb,18
2015,Mar,14
2015,Apr,14
2015,May,12
2015,Jun,25
2015,Jul,11
2015,Aug,7
2015,Sep,6
2015,Oct,11
2015,Nov,12
2015,Dec,15
2016,Jan,8
2016,Feb,12
2016,Mar,10
2016,Apr,11
2016,May,9
2016,Jun,6
2016,Jul,12
2016,Aug,3
2016,Sep,6
2016,Oct,7
2016,Nov,9
2016,Dec,8
2017,Jan,8
2017,Feb,9
2017,Mar,9
2017,Apr,11
2017,May,8
2017,Jun,5
2017,Jul,10
2017,Aug,8
2017,Sep,10
2017,Oct,7
2017,Nov,6
2017,Dec,12
2018,Jan,11
2018,Feb,12
2018,Mar,7
2018,Apr,9
2018,May,14
2018,Jun,9
2018,Jul,5
2018,Aug,7
2018,Sep,12
2018,Oct,8
2018,Nov,9
2018,Dec,7
2019,Jan,10
2019,Feb,13
2019,Mar,8
2019,Apr,11
2019,May,100
2019,Jun,16
2019,Jul,13
2019,Aug,9
2019,Sep,11
2019,Oct,10
2019,Nov,13
2019,Dec,12
2020,Jan,11
2020,Feb,9
2020,Mar,11
2020,Apr,10
2020,May,8
2020,Jun,10
2020,Jul,9
2020,Aug,6
2020,Sep,6
2020,Oct,6
2020,Nov,7
2020,Dec,11
2021,Jan,8
