Owner:,HAMILTON MICHAEL
Cname:,MMC ENERGY INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,35
2004,Feb,24
2004,Mar,13
2004,Apr,25
2004,May,18
2004,Jun,24
2004,Jul,26
2004,Aug,34
2004,Sep,32
2004,Oct,15
2004,Nov,17
2004,Dec,23
2005,Jan,20
2005,Feb,17
2005,Mar,20
2005,Apr,23
2005,May,19
2005,Jun,20
2005,Jul,21
2005,Aug,16
2005,Sep,18
2005,Oct,13
2005,Nov,23
2005,Dec,21
2006,Jan,15
2006,Feb,20
2006,Mar,24
2006,Apr,18
2006,May,21
2006,Jun,22
2006,Jul,15
2006,Aug,16
2006,Sep,14
2006,Oct,15
2006,Nov,27
2006,Dec,19
2007,Jan,20
2007,Feb,13
2007,Mar,13
2007,Apr,18
2007,May,18
2007,Jun,20
2007,Jul,21
2007,Aug,18
2007,Sep,15
2007,Oct,19
2007,Nov,20
2007,Dec,17
2008,Jan,16
2008,Feb,18
2008,Mar,20
2008,Apr,19
2008,May,19
2008,Jun,19
2008,Jul,22
2008,Aug,23
2008,Sep,19
2008,Oct,17
2008,Nov,14
2008,Dec,15
2009,Jan,22
2009,Feb,21
2009,Mar,23
2009,Apr,23
2009,May,18
2009,Jun,26
2009,Jul,29
2009,Aug,25
2009,Sep,24
2009,Oct,22
2009,Nov,20
2009,Dec,21
2010,Jan,22
2010,Feb,25
2010,Mar,21
2010,Apr,20
2010,May,23
2010,Jun,22
2010,Jul,24
2010,Aug,25
2010,Sep,27
2010,Oct,31
2010,Nov,30
2010,Dec,35
2011,Jan,31
2011,Feb,28
2011,Mar,26
2011,Apr,33
2011,May,28
2011,Jun,30
2011,Jul,30
2011,Aug,30
2011,Sep,28
2011,Oct,40
2011,Nov,34
2011,Dec,50
2012,Jan,35
2012,Feb,41
2012,Mar,32
2012,Apr,38
2012,May,45
2012,Jun,40
2012,Jul,45
2012,Aug,43
2012,Sep,48
2012,Oct,44
2012,Nov,59
2012,Dec,87
2013,Jan,57
2013,Feb,55
2013,Mar,54
2013,Apr,58
2013,May,56
2013,Jun,50
2013,Jul,49
2013,Aug,54
2013,Sep,56
2013,Oct,53
2013,Nov,68
2013,Dec,100
2014,Jan,60
2014,Feb,61
2014,Mar,58
2014,Apr,53
2014,May,54
2014,Jun,51
2014,Jul,52
2014,Aug,52
2014,Sep,48
2014,Oct,45
2014,Nov,66
2014,Dec,79
2015,Jan,47
2015,Feb,50
2015,Mar,44
2015,Apr,40
2015,May,39
2015,Jun,40
2015,Jul,44
2015,Aug,43
2015,Sep,36
2015,Oct,40
2015,Nov,47
2015,Dec,65
2016,Jan,47
2016,Feb,44
2016,Mar,38
2016,Apr,40
2016,May,37
2016,Jun,36
2016,Jul,34
2016,Aug,36
2016,Sep,31
2016,Oct,33
2016,Nov,42
2016,Dec,47
2017,Jan,32
2017,Feb,31
2017,Mar,30
2017,Apr,30
2017,May,27
2017,Jun,27
2017,Jul,26
2017,Aug,28
2017,Sep,23
2017,Oct,26
2017,Nov,31
2017,Dec,34
2018,Jan,27
2018,Feb,25
2018,Mar,24
2018,Apr,24
2018,May,22
2018,Jun,25
2018,Jul,24
2018,Aug,20
2018,Sep,22
2018,Oct,25
2018,Nov,23
2018,Dec,25
2019,Jan,21
2019,Feb,22
2019,Mar,21
2019,Apr,19
2019,May,18
2019,Jun,18
2019,Jul,19
2019,Aug,17
2019,Sep,20
2019,Oct,19
2019,Nov,22
2019,Dec,20
2020,Jan,18
2020,Feb,20
2020,Mar,17
2020,Apr,16
2020,May,20
2020,Jun,19
2020,Jul,39
2020,Aug,23
2020,Sep,19
2020,Oct,25
2020,Nov,21
2020,Dec,21
2021,Jan,17
