Owner:,HOUSE PAUL D
Cname:,TIM HORTONS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,100
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,85
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,71
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,41
2006,Apr,0
2006,May,41
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,35
2007,Jan,0
2007,Feb,0
2007,Mar,59
2007,Apr,30
2007,May,0
2007,Jun,29
2007,Jul,0
2007,Aug,0
2007,Sep,26
2007,Oct,23
2007,Nov,23
2007,Dec,24
2008,Jan,0
2008,Feb,22
2008,Mar,43
2008,Apr,0
2008,May,21
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,37
2008,Nov,20
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,35
2009,Oct,18
2009,Nov,18
2009,Dec,0
2010,Jan,17
2010,Feb,0
2010,Mar,0
2010,Apr,17
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,14
2010,Oct,14
2010,Nov,0
2010,Dec,14
2011,Jan,11
2011,Feb,23
2011,Mar,21
2011,Apr,11
2011,May,21
2011,Jun,22
2011,Jul,11
2011,Aug,10
2011,Sep,0
2011,Oct,18
2011,Nov,19
2011,Dec,9
2012,Jan,0
2012,Feb,17
2012,Mar,25
2012,Apr,9
2012,May,8
2012,Jun,0
2012,Jul,16
2012,Aug,8
2012,Sep,0
2012,Oct,30
2012,Nov,39
2012,Dec,22
2013,Jan,7
2013,Feb,0
2013,Mar,27
2013,Apr,14
2013,May,0
2013,Jun,7
2013,Jul,14
2013,Aug,7
2013,Sep,7
2013,Oct,13
2013,Nov,7
2013,Dec,13
2014,Jan,6
2014,Feb,0
2014,Mar,6
2014,Apr,26
2014,May,0
2014,Jun,8
2014,Jul,8
2014,Aug,0
2014,Sep,7
2014,Oct,0
2014,Nov,15
2014,Dec,7
2015,Jan,0
2015,Feb,7
2015,Mar,14
2015,Apr,14
2015,May,0
2015,Jun,0
2015,Jul,14
2015,Aug,7
2015,Sep,26
2015,Oct,31
2015,Nov,32
2015,Dec,38
2016,Jan,26
2016,Feb,27
2016,Mar,35
2016,Apr,31
2016,May,16
2016,Jun,16
2016,Jul,27
2016,Aug,22
2016,Sep,26
2016,Oct,31
2016,Nov,25
2016,Dec,10
2017,Jan,37
2017,Feb,30
2017,Mar,53
2017,Apr,33
2017,May,19
2017,Jun,41
2017,Jul,20
2017,Aug,24
2017,Sep,14
2017,Oct,23
2017,Nov,33
2017,Dec,23
2018,Jan,22
2018,Feb,24
2018,Mar,18
2018,Apr,65
2018,May,27
2018,Jun,29
2018,Jul,43
2018,Aug,19
2018,Sep,42
2018,Oct,32
2018,Nov,32
2018,Dec,23
2019,Jan,22
2019,Feb,19
2019,Mar,13
2019,Apr,28
2019,May,23
2019,Jun,5
2019,Jul,19
2019,Aug,9
2019,Sep,35
2019,Oct,29
2019,Nov,26
2019,Dec,38
2020,Jan,24
2020,Feb,25
2020,Mar,15
2020,Apr,14
2020,May,14
2020,Jun,23
2020,Jul,23
2020,Aug,19
2020,Sep,11
2020,Oct,34
2020,Nov,30
2020,Dec,22
2021,Jan,58
