Owner:,IRVING WAYNE
Cname:,MONSTER ARTS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,42
2004,Mar,54
2004,Apr,41
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,34
2004,Oct,70
2004,Nov,71
2004,Dec,32
2005,Jan,0
2005,Feb,0
2005,Mar,25
2005,Apr,0
2005,May,26
2005,Jun,0
2005,Jul,26
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,22
2005,Dec,21
2006,Jan,18
2006,Feb,19
2006,Mar,0
2006,Apr,0
2006,May,100
2006,Jun,35
2006,Jul,69
2006,Aug,47
2006,Sep,0
2006,Oct,29
2006,Nov,0
2006,Dec,29
2007,Jan,38
2007,Feb,0
2007,Mar,24
2007,Apr,12
2007,May,11
2007,Jun,48
2007,Jul,22
2007,Aug,21
2007,Sep,43
2007,Oct,19
2007,Nov,19
2007,Dec,50
2008,Jan,18
2008,Feb,18
2008,Mar,27
2008,Apr,26
2008,May,26
2008,Jun,19
2008,Jul,27
2008,Aug,0
2008,Sep,16
2008,Oct,45
2008,Nov,8
2008,Dec,41
2009,Jan,15
2009,Feb,40
2009,Mar,66
2009,Apr,22
2009,May,7
2009,Jun,38
2009,Jul,15
2009,Aug,22
2009,Sep,14
2009,Oct,20
2009,Nov,7
2009,Dec,14
2010,Jan,26
2010,Feb,0
2010,Mar,12
2010,Apr,13
2010,May,33
2010,Jun,27
2010,Jul,23
2010,Aug,22
2010,Sep,11
2010,Oct,26
2010,Nov,26
2010,Dec,36
2011,Jan,32
2011,Feb,35
2011,Mar,35
2011,Apr,57
2011,May,24
2011,Jun,49
2011,Jul,12
2011,Aug,37
2011,Sep,22
2011,Oct,17
2011,Nov,32
2011,Dec,34
2012,Jan,29
2012,Feb,26
2012,Mar,37
2012,Apr,43
2012,May,28
2012,Jun,19
2012,Jul,40
2012,Aug,27
2012,Sep,27
2012,Oct,37
2012,Nov,26
2012,Dec,25
2013,Jan,29
2013,Feb,62
2013,Mar,64
2013,Apr,39
2013,May,23
2013,Jun,35
2013,Jul,13
2013,Aug,21
2013,Sep,13
2013,Oct,20
2013,Nov,31
2013,Dec,38
2014,Jan,19
2014,Feb,29
2014,Mar,17
2014,Apr,7
2014,May,45
2014,Jun,41
2014,Jul,23
2014,Aug,39
2014,Sep,24
2014,Oct,21
2014,Nov,14
2014,Dec,22
2015,Jan,39
2015,Feb,33
2015,Mar,42
2015,Apr,46
2015,May,45
2015,Jun,67
2015,Jul,37
2015,Aug,22
2015,Sep,35
2015,Oct,8
2015,Nov,32
2015,Dec,39
2016,Jan,17
2016,Feb,35
2016,Mar,43
2016,Apr,36
2016,May,28
2016,Jun,80
2016,Jul,45
2016,Aug,36
2016,Sep,30
2016,Oct,19
2016,Nov,29
2016,Dec,26
2017,Jan,34
2017,Feb,34
2017,Mar,15
2017,Apr,31
2017,May,24
2017,Jun,59
2017,Jul,84
2017,Aug,81
2017,Sep,31
2017,Oct,46
2017,Nov,34
2017,Dec,31
2018,Jan,26
2018,Feb,32
2018,Mar,20
2018,Apr,13
2018,May,28
2018,Jun,33
2018,Jul,33
2018,Aug,32
2018,Sep,45
2018,Oct,19
2018,Nov,27
2018,Dec,15
2019,Jan,24
2019,Feb,21
2019,Mar,24
2019,Apr,17
2019,May,26
2019,Jun,35
2019,Jul,21
2019,Aug,26
2019,Sep,13
2019,Oct,12
2019,Nov,23
2019,Dec,31
2020,Jan,23
2020,Feb,26
2020,Mar,14
2020,Apr,16
2020,May,27
2020,Jun,17
2020,Jul,10
2020,Aug,13
2020,Sep,23
2020,Oct,19
2020,Nov,18
2020,Dec,18
2021,Jan,31
