Owner:,JACOBSON JEFFREY
Cname:,PRESSTEK INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,85
2004,Jun,0
2004,Jul,90
2004,Aug,81
2004,Sep,0
2004,Oct,40
2004,Nov,0
2004,Dec,0
2005,Jan,32
2005,Feb,100
2005,Mar,57
2005,Apr,33
2005,May,29
2005,Jun,0
2005,Jul,29
2005,Aug,0
2005,Sep,26
2005,Oct,0
2005,Nov,49
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,40
2006,May,38
2006,Jun,40
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,14
2007,Feb,0
2007,Mar,14
2007,Apr,0
2007,May,13
2007,Jun,54
2007,Jul,26
2007,Aug,12
2007,Sep,49
2007,Oct,11
2007,Nov,11
2007,Dec,23
2008,Jan,30
2008,Feb,0
2008,Mar,0
2008,Apr,10
2008,May,0
2008,Jun,11
2008,Jul,10
2008,Aug,10
2008,Sep,9
2008,Oct,17
2008,Nov,19
2008,Dec,9
2009,Jan,9
2009,Feb,9
2009,Mar,8
2009,Apr,17
2009,May,17
2009,Jun,0
2009,Jul,9
2009,Aug,8
2009,Sep,16
2009,Oct,0
2009,Nov,17
2009,Dec,16
2010,Jan,8
2010,Feb,0
2010,Mar,22
2010,Apr,8
2010,May,0
2010,Jun,24
2010,Jul,14
2010,Aug,27
2010,Sep,19
2010,Oct,6
2010,Nov,18
2010,Dec,0
2011,Jan,10
2011,Feb,5
2011,Mar,19
2011,Apr,15
2011,May,5
2011,Jun,5
2011,Jul,5
2011,Aug,13
2011,Sep,22
2011,Oct,8
2011,Nov,4
2011,Dec,24
2012,Jan,4
2012,Feb,23
2012,Mar,11
2012,Apr,12
2012,May,0
2012,Jun,8
2012,Jul,7
2012,Aug,0
2012,Sep,11
2012,Oct,3
2012,Nov,14
2012,Dec,13
2013,Jan,6
2013,Feb,7
2013,Mar,12
2013,Apr,6
2013,May,12
2013,Jun,10
2013,Jul,13
2013,Aug,9
2013,Sep,9
2013,Oct,21
2013,Nov,22
2013,Dec,12
2014,Jan,6
2014,Feb,6
2014,Mar,32
2014,Apr,21
2014,May,13
2014,Jun,11
2014,Jul,3
2014,Aug,13
2014,Sep,10
2014,Oct,6
2014,Nov,3
2014,Dec,10
2015,Jan,6
2015,Feb,7
2015,Mar,10
2015,Apr,6
2015,May,13
2015,Jun,14
2015,Jul,7
2015,Aug,6
2015,Sep,13
2015,Oct,18
2015,Nov,3
2015,Dec,3
2016,Jan,15
2016,Feb,8
2016,Mar,7
2016,Apr,15
2016,May,18
2016,Jun,5
2016,Jul,11
2016,Aug,26
2016,Sep,20
2016,Oct,10
2016,Nov,7
2016,Dec,14
2017,Jan,11
2017,Feb,21
2017,Mar,15
2017,Apr,11
2017,May,14
2017,Jun,7
2017,Jul,7
2017,Aug,9
2017,Sep,2
2017,Oct,13
2017,Nov,13
2017,Dec,20
2018,Jan,6
2018,Feb,14
2018,Mar,13
2018,Apr,11
2018,May,13
2018,Jun,9
2018,Jul,5
2018,Aug,4
2018,Sep,14
2018,Oct,11
2018,Nov,29
2018,Dec,13
2019,Jan,13
2019,Feb,11
2019,Mar,13
2019,Apr,18
2019,May,13
2019,Jun,23
2019,Jul,11
2019,Aug,13
2019,Sep,10
2019,Oct,14
2019,Nov,10
2019,Dec,6
2020,Jan,11
2020,Feb,8
2020,Mar,5
2020,Apr,3
2020,May,12
2020,Jun,11
2020,Jul,13
2020,Aug,18
2020,Sep,13
2020,Oct,25
2020,Nov,12
2020,Dec,8
2021,Jan,14
