Owner:,KATZ STEPHEN
Cname:,CELLULAR TECHNICAL SERVICES CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,55
2004,Feb,0
2004,Mar,68
2004,Apr,26
2004,May,48
2004,Jun,36
2004,Jul,75
2004,Aug,45
2004,Sep,43
2004,Oct,33
2004,Nov,45
2004,Dec,40
2005,Jan,27
2005,Feb,28
2005,Mar,48
2005,Apr,100
2005,May,65
2005,Jun,33
2005,Jul,8
2005,Aug,23
2005,Sep,43
2005,Oct,34
2005,Nov,28
2005,Dec,7
2006,Jan,35
2006,Feb,24
2006,Mar,5
2006,Apr,22
2006,May,26
2006,Jun,11
2006,Jul,38
2006,Aug,50
2006,Sep,40
2006,Oct,18
2006,Nov,27
2006,Dec,18
2007,Jan,36
2007,Feb,17
2007,Mar,19
2007,Apr,8
2007,May,11
2007,Jun,19
2007,Jul,14
2007,Aug,14
2007,Sep,37
2007,Oct,21
2007,Nov,15
2007,Dec,19
2008,Jan,25
2008,Feb,32
2008,Mar,25
2008,Apr,19
2008,May,14
2008,Jun,9
2008,Jul,20
2008,Aug,17
2008,Sep,31
2008,Oct,26
2008,Nov,18
2008,Dec,13
2009,Jan,22
2009,Feb,13
2009,Mar,23
2009,Apr,21
2009,May,12
2009,Jun,31
2009,Jul,24
2009,Aug,19
2009,Sep,16
2009,Oct,19
2009,Nov,24
2009,Dec,24
2010,Jan,8
2010,Feb,17
2010,Mar,23
2010,Apr,24
2010,May,21
2010,Jun,19
2010,Jul,15
2010,Aug,12
2010,Sep,19
2010,Oct,17
2010,Nov,10
2010,Dec,13
2011,Jan,18
2011,Feb,10
2011,Mar,19
2011,Apr,17
2011,May,11
2011,Jun,8
2011,Jul,13
2011,Aug,14
2011,Sep,20
2011,Oct,18
2011,Nov,16
2011,Dec,13
2012,Jan,10
2012,Feb,12
2012,Mar,11
2012,Apr,22
2012,May,11
2012,Jun,14
2012,Jul,10
2012,Aug,10
2012,Sep,14
2012,Oct,14
2012,Nov,10
2012,Dec,7
2013,Jan,8
2013,Feb,8
2013,Mar,21
2013,Apr,8
2013,May,10
2013,Jun,8
2013,Jul,11
2013,Aug,18
2013,Sep,13
2013,Oct,11
2013,Nov,14
2013,Dec,11
2014,Jan,8
2014,Feb,12
2014,Mar,13
2014,Apr,12
2014,May,12
2014,Jun,11
2014,Jul,23
2014,Aug,12
2014,Sep,20
2014,Oct,20
2014,Nov,9
2014,Dec,13
2015,Jan,11
2015,Feb,12
2015,Mar,14
2015,Apr,12
2015,May,18
2015,Jun,16
2015,Jul,13
2015,Aug,17
2015,Sep,45
2015,Oct,18
2015,Nov,9
2015,Dec,21
2016,Jan,28
2016,Feb,23
2016,Mar,14
2016,Apr,20
2016,May,23
2016,Jun,16
2016,Jul,7
2016,Aug,12
2016,Sep,10
2016,Oct,8
2016,Nov,5
2016,Dec,11
2017,Jan,9
2017,Feb,11
2017,Mar,9
2017,Apr,12
2017,May,10
2017,Jun,14
2017,Jul,10
2017,Aug,19
2017,Sep,12
2017,Oct,11
2017,Nov,8
2017,Dec,9
2018,Jan,12
2018,Feb,7
2018,Mar,15
2018,Apr,12
2018,May,14
2018,Jun,13
2018,Jul,20
2018,Aug,12
2018,Sep,11
2018,Oct,10
2018,Nov,12
2018,Dec,22
2019,Jan,14
2019,Feb,6
2019,Mar,10
2019,Apr,9
2019,May,12
2019,Jun,9
2019,Jul,9
2019,Aug,12
2019,Sep,6
2019,Oct,5
2019,Nov,8
2019,Dec,6
2020,Jan,9
2020,Feb,9
2020,Mar,9
2020,Apr,9
2020,May,6
2020,Jun,10
2020,Jul,8
2020,Aug,10
2020,Sep,7
2020,Oct,10
2020,Nov,5
2020,Dec,9
2021,Jan,5
