Owner:,KELLY DANIEL JOHN
Cname:,HEALTHSPORT INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,51
2004,Feb,100
2004,Mar,64
2004,Apr,0
2004,May,0
2004,Jun,45
2004,Jul,0
2004,Aug,0
2004,Sep,40
2004,Oct,0
2004,Nov,42
2004,Dec,38
2005,Jan,0
2005,Feb,35
2005,Mar,59
2005,Apr,34
2005,May,61
2005,Jun,31
2005,Jul,0
2005,Aug,29
2005,Sep,27
2005,Oct,50
2005,Nov,0
2005,Dec,49
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,20
2006,Jun,21
2006,Jul,61
2006,Aug,56
2006,Sep,37
2006,Oct,17
2006,Nov,17
2006,Dec,17
2007,Jan,0
2007,Feb,0
2007,Mar,14
2007,Apr,29
2007,May,27
2007,Jun,28
2007,Jul,0
2007,Aug,13
2007,Sep,13
2007,Oct,11
2007,Nov,11
2007,Dec,12
2008,Jan,31
2008,Feb,11
2008,Mar,11
2008,Apr,10
2008,May,10
2008,Jun,22
2008,Jul,21
2008,Aug,0
2008,Sep,19
2008,Oct,9
2008,Nov,39
2008,Dec,10
2009,Jan,9
2009,Feb,29
2009,Mar,17
2009,Apr,17
2009,May,27
2009,Jun,18
2009,Jul,9
2009,Aug,0
2009,Sep,25
2009,Oct,0
2009,Nov,8
2009,Dec,8
2010,Jan,23
2010,Feb,8
2010,Mar,28
2010,Apr,15
2010,May,8
2010,Jun,8
2010,Jul,0
2010,Aug,19
2010,Sep,12
2010,Oct,25
2010,Nov,18
2010,Dec,12
2011,Jan,14
2011,Feb,10
2011,Mar,5
2011,Apr,10
2011,May,9
2011,Jun,24
2011,Jul,19
2011,Aug,13
2011,Sep,30
2011,Oct,16
2011,Nov,17
2011,Dec,8
2012,Jan,15
2012,Feb,26
2012,Mar,15
2012,Apr,35
2012,May,25
2012,Jun,19
2012,Jul,18
2012,Aug,25
2012,Sep,14
2012,Oct,13
2012,Nov,10
2012,Dec,30
2013,Jan,28
2013,Feb,17
2013,Mar,12
2013,Apr,12
2013,May,18
2013,Jun,6
2013,Jul,16
2013,Aug,6
2013,Sep,15
2013,Oct,12
2013,Nov,6
2013,Dec,18
2014,Jan,23
2014,Feb,6
2014,Mar,34
2014,Apr,9
2014,May,19
2014,Jun,10
2014,Jul,37
2014,Aug,23
2014,Sep,16
2014,Oct,9
2014,Nov,10
2014,Dec,16
2015,Jan,6
2015,Feb,19
2015,Mar,9
2015,Apr,22
2015,May,16
2015,Jun,3
2015,Jul,13
2015,Aug,10
2015,Sep,6
2015,Oct,3
2015,Nov,12
2015,Dec,24
2016,Jan,22
2016,Feb,29
2016,Mar,17
2016,Apr,10
2016,May,5
2016,Jun,18
2016,Jul,19
2016,Aug,35
2016,Sep,5
2016,Oct,17
2016,Nov,15
2016,Dec,7
2017,Jan,4
2017,Feb,12
2017,Mar,17
2017,Apr,25
2017,May,12
2017,Jun,15
2017,Jul,20
2017,Aug,23
2017,Sep,16
2017,Oct,18
2017,Nov,7
2017,Dec,23
2018,Jan,17
2018,Feb,5
2018,Mar,15
2018,Apr,18
2018,May,11
2018,Jun,16
2018,Jul,11
2018,Aug,22
2018,Sep,21
2018,Oct,40
2018,Nov,25
2018,Dec,18
2019,Jan,9
2019,Feb,7
2019,Mar,13
2019,Apr,11
2019,May,11
2019,Jun,11
2019,Jul,9
2019,Aug,11
2019,Sep,17
2019,Oct,6
2019,Nov,4
2019,Dec,10
2020,Jan,8
2020,Feb,12
2020,Mar,14
2020,Apr,35
2020,May,19
2020,Jun,21
2020,Jul,70
2020,Aug,39
2020,Sep,15
2020,Oct,38
2020,Nov,8
2020,Dec,13
2021,Jan,20
