Owner:,KELLY MARK A
Cname:,FIRST ACCEPTANCE CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,14
2004,Mar,0
2004,Apr,14
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,9
2005,Feb,10
2005,Mar,0
2005,Apr,10
2005,May,9
2005,Jun,9
2005,Jul,0
2005,Aug,8
2005,Sep,8
2005,Oct,0
2005,Nov,0
2005,Dec,7
2006,Jan,0
2006,Feb,13
2006,Mar,22
2006,Apr,0
2006,May,6
2006,Jun,6
2006,Jul,11
2006,Aug,10
2006,Sep,11
2006,Oct,5
2006,Nov,5
2006,Dec,0
2007,Jan,4
2007,Feb,4
2007,Mar,8
2007,Apr,0
2007,May,7
2007,Jun,12
2007,Jul,4
2007,Aug,14
2007,Sep,7
2007,Oct,19
2007,Nov,10
2007,Dec,3
2008,Jan,3
2008,Feb,12
2008,Mar,18
2008,Apr,9
2008,May,9
2008,Jun,22
2008,Jul,15
2008,Aug,0
2008,Sep,5
2008,Oct,10
2008,Nov,11
2008,Dec,5
2009,Jan,5
2009,Feb,13
2009,Mar,7
2009,Apr,10
2009,May,10
2009,Jun,15
2009,Jul,22
2009,Aug,17
2009,Sep,9
2009,Oct,16
2009,Nov,12
2009,Dec,14
2010,Jan,9
2010,Feb,11
2010,Mar,6
2010,Apr,6
2010,May,9
2010,Jun,2
2010,Jul,8
2010,Aug,9
2010,Sep,9
2010,Oct,18
2010,Nov,9
2010,Dec,9
2011,Jan,31
2011,Feb,17
2011,Mar,13
2011,Apr,14
2011,May,13
2011,Jun,14
2011,Jul,15
2011,Aug,24
2011,Sep,10
2011,Oct,13
2011,Nov,25
2011,Dec,8
2012,Jan,13
2012,Feb,9
2012,Mar,13
2012,Apr,10
2012,May,7
2012,Jun,15
2012,Jul,23
2012,Aug,7
2012,Sep,18
2012,Oct,10
2012,Nov,12
2012,Dec,13
2013,Jan,20
2013,Feb,7
2013,Mar,20
2013,Apr,14
2013,May,9
2013,Jun,8
2013,Jul,12
2013,Aug,12
2013,Sep,11
2013,Oct,12
2013,Nov,12
2013,Dec,12
2014,Jan,13
2014,Feb,13
2014,Mar,12
2014,Apr,10
2014,May,15
2014,Jun,11
2014,Jul,6
2014,Aug,7
2014,Sep,15
2014,Oct,12
2014,Nov,6
2014,Dec,16
2015,Jan,9
2015,Feb,13
2015,Mar,20
2015,Apr,18
2015,May,7
2015,Jun,15
2015,Jul,13
2015,Aug,15
2015,Sep,14
2015,Oct,11
2015,Nov,9
2015,Dec,10
2016,Jan,17
2016,Feb,19
2016,Mar,20
2016,Apr,23
2016,May,18
2016,Jun,12
2016,Jul,8
2016,Aug,12
2016,Sep,9
2016,Oct,14
2016,Nov,14
2016,Dec,10
2017,Jan,9
2017,Feb,12
2017,Mar,16
2017,Apr,8
2017,May,9
2017,Jun,9
2017,Jul,5
2017,Aug,7
2017,Sep,10
2017,Oct,17
2017,Nov,11
2017,Dec,12
2018,Jan,12
2018,Feb,12
2018,Mar,15
2018,Apr,13
2018,May,10
2018,Jun,11
2018,Jul,12
2018,Aug,9
2018,Sep,10
2018,Oct,13
2018,Nov,11
2018,Dec,12
2019,Jan,14
2019,Feb,26
2019,Mar,15
2019,Apr,10
2019,May,11
2019,Jun,10
2019,Jul,12
2019,Aug,4
2019,Sep,11
2019,Oct,12
2019,Nov,8
2019,Dec,11
2020,Jan,15
2020,Feb,21
2020,Mar,23
2020,Apr,16
2020,May,30
2020,Jun,36
2020,Jul,35
2020,Aug,46
2020,Sep,59
2020,Oct,100
2020,Nov,73
2020,Dec,27
2021,Jan,25
