Owner:,KIM JOSEPH
Cname:,SUNOCO LP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,56
2004,Feb,63
2004,Mar,100
2004,Apr,76
2004,May,63
2004,Jun,36
2004,Jul,51
2004,Aug,53
2004,Sep,25
2004,Oct,32
2004,Nov,20
2004,Dec,53
2005,Jan,62
2005,Feb,49
2005,Mar,51
2005,Apr,85
2005,May,43
2005,Jun,63
2005,Jul,53
2005,Aug,50
2005,Sep,50
2005,Oct,74
2005,Nov,48
2005,Dec,42
2006,Jan,61
2006,Feb,56
2006,Mar,38
2006,Apr,36
2006,May,56
2006,Jun,20
2006,Jul,35
2006,Aug,41
2006,Sep,41
2006,Oct,38
2006,Nov,42
2006,Dec,67
2007,Jan,35
2007,Feb,37
2007,Mar,58
2007,Apr,41
2007,May,50
2007,Jun,22
2007,Jul,35
2007,Aug,38
2007,Sep,24
2007,Oct,45
2007,Nov,50
2007,Dec,30
2008,Jan,41
2008,Feb,47
2008,Mar,49
2008,Apr,48
2008,May,46
2008,Jun,31
2008,Jul,33
2008,Aug,34
2008,Sep,38
2008,Oct,33
2008,Nov,31
2008,Dec,41
2009,Jan,41
2009,Feb,43
2009,Mar,37
2009,Apr,49
2009,May,45
2009,Jun,30
2009,Jul,39
2009,Aug,35
2009,Sep,49
2009,Oct,37
2009,Nov,43
2009,Dec,39
2010,Jan,52
2010,Feb,47
2010,Mar,42
2010,Apr,43
2010,May,47
2010,Jun,53
2010,Jul,44
2010,Aug,23
2010,Sep,27
2010,Oct,33
2010,Nov,21
2010,Dec,23
2011,Jan,35
2011,Feb,52
2011,Mar,39
2011,Apr,30
2011,May,26
2011,Jun,34
2011,Jul,33
2011,Aug,41
2011,Sep,37
2011,Oct,47
2011,Nov,41
2011,Dec,47
2012,Jan,54
2012,Feb,37
2012,Mar,44
2012,Apr,46
2012,May,32
2012,Jun,31
2012,Jul,40
2012,Aug,41
2012,Sep,41
2012,Oct,39
2012,Nov,36
2012,Dec,34
2013,Jan,45
2013,Feb,36
2013,Mar,36
2013,Apr,54
2013,May,43
2013,Jun,55
2013,Jul,36
2013,Aug,38
2013,Sep,33
2013,Oct,55
2013,Nov,43
2013,Dec,34
2014,Jan,40
2014,Feb,40
2014,Mar,46
2014,Apr,37
2014,May,45
2014,Jun,41
2014,Jul,40
2014,Aug,40
2014,Sep,35
2014,Oct,40
2014,Nov,41
2014,Dec,39
2015,Jan,39
2015,Feb,35
2015,Mar,37
2015,Apr,43
2015,May,38
2015,Jun,56
2015,Jul,34
2015,Aug,43
2015,Sep,41
2015,Oct,41
2015,Nov,42
2015,Dec,33
2016,Jan,31
2016,Feb,36
2016,Mar,43
2016,Apr,41
2016,May,36
2016,Jun,38
2016,Jul,38
2016,Aug,35
2016,Sep,39
2016,Oct,35
2016,Nov,33
2016,Dec,32
2017,Jan,49
2017,Feb,44
2017,Mar,31
2017,Apr,34
2017,May,38
2017,Jun,36
2017,Jul,43
2017,Aug,29
2017,Sep,36
2017,Oct,31
2017,Nov,29
2017,Dec,26
2018,Jan,42
2018,Feb,54
2018,Mar,34
2018,Apr,45
2018,May,39
2018,Jun,39
2018,Jul,31
2018,Aug,36
2018,Sep,36
2018,Oct,30
2018,Nov,43
2018,Dec,29
2019,Jan,32
2019,Feb,35
2019,Mar,34
2019,Apr,34
2019,May,27
2019,Jun,31
2019,Jul,36
2019,Aug,32
2019,Sep,31
2019,Oct,39
2019,Nov,26
2019,Dec,23
2020,Jan,34
2020,Feb,34
2020,Mar,33
2020,Apr,49
2020,May,33
2020,Jun,36
2020,Jul,37
2020,Aug,31
2020,Sep,30
2020,Oct,34
2020,Nov,30
2020,Dec,26
2021,Jan,28
