Owner:,KING JOHN W
Cname:,RENEWAL FUELS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,70
2004,Apr,0
2004,May,49
2004,Jun,0
2004,Jul,0
2004,Aug,46
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,76
2005,Mar,0
2005,Apr,74
2005,May,100
2005,Jun,68
2005,Jul,0
2005,Aug,0
2005,Sep,29
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,72
2006,Feb,0
2006,Mar,44
2006,Apr,23
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,41
2006,Sep,21
2006,Oct,0
2006,Nov,19
2006,Dec,19
2007,Jan,0
2007,Feb,35
2007,Mar,0
2007,Apr,32
2007,May,29
2007,Jun,31
2007,Jul,0
2007,Aug,14
2007,Sep,28
2007,Oct,25
2007,Nov,25
2007,Dec,0
2008,Jan,34
2008,Feb,71
2008,Mar,0
2008,Apr,23
2008,May,23
2008,Jun,0
2008,Jul,35
2008,Aug,23
2008,Sep,0
2008,Oct,10
2008,Nov,0
2008,Dec,0
2009,Jan,60
2009,Feb,42
2009,Mar,38
2009,Apr,10
2009,May,10
2009,Jun,10
2009,Jul,10
2009,Aug,29
2009,Sep,28
2009,Oct,9
2009,Nov,27
2009,Dec,18
2010,Jan,42
2010,Feb,26
2010,Mar,8
2010,Apr,8
2010,May,34
2010,Jun,17
2010,Jul,15
2010,Aug,29
2010,Sep,14
2010,Oct,14
2010,Nov,33
2010,Dec,40
2011,Jan,26
2011,Feb,11
2011,Mar,15
2011,Apr,5
2011,May,15
2011,Jun,0
2011,Jul,5
2011,Aug,34
2011,Sep,10
2011,Oct,23
2011,Nov,9
2011,Dec,26
2012,Jan,33
2012,Feb,13
2012,Mar,32
2012,Apr,4
2012,May,24
2012,Jun,8
2012,Jul,24
2012,Aug,43
2012,Sep,24
2012,Oct,0
2012,Nov,15
2012,Dec,22
2013,Jan,34
2013,Feb,15
2013,Mar,27
2013,Apr,27
2013,May,24
2013,Jun,4
2013,Jul,31
2013,Aug,17
2013,Sep,13
2013,Oct,26
2013,Nov,13
2013,Dec,3
2014,Jan,35
2014,Feb,38
2014,Mar,34
2014,Apr,19
2014,May,27
2014,Jun,11
2014,Jul,19
2014,Aug,11
2014,Sep,14
2014,Oct,20
2014,Nov,14
2014,Dec,25
2015,Jan,24
2015,Feb,22
2015,Mar,31
2015,Apr,14
2015,May,29
2015,Jun,34
2015,Jul,29
2015,Aug,14
2015,Sep,24
2015,Oct,16
2015,Nov,7
2015,Dec,27
2016,Jan,5
2016,Feb,40
2016,Mar,11
2016,Apr,33
2016,May,25
2016,Jun,17
2016,Jul,26
2016,Aug,12
2016,Sep,14
2016,Oct,16
2016,Nov,13
2016,Dec,29
2017,Jan,27
2017,Feb,24
2017,Mar,9
2017,Apr,23
2017,May,15
2017,Jun,16
2017,Jul,14
2017,Aug,21
2017,Sep,30
2017,Oct,17
2017,Nov,32
2017,Dec,25
2018,Jan,26
2018,Feb,16
2018,Mar,10
2018,Apr,22
2018,May,17
2018,Jun,13
2018,Jul,18
2018,Aug,12
2018,Sep,15
2018,Oct,49
2018,Nov,34
2018,Dec,20
2019,Jan,5
2019,Feb,23
2019,Mar,26
2019,Apr,5
2019,May,19
2019,Jun,23
2019,Jul,17
2019,Aug,19
2019,Sep,19
2019,Oct,33
2019,Nov,23
2019,Dec,18
2020,Jan,13
2020,Feb,29
2020,Mar,21
2020,Apr,23
2020,May,21
2020,Jun,29
2020,Jul,31
2020,Aug,25
2020,Sep,20
2020,Oct,25
2020,Nov,30
2020,Dec,11
2021,Jan,20
