Owner:,KINNEY JOHN
Cname:,ECO-STIM ENERGY SOLUTIONS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,20
2004,Feb,20
2004,Mar,75
2004,Apr,57
2004,May,35
2004,Jun,89
2004,Jul,55
2004,Aug,83
2004,Sep,47
2004,Oct,16
2004,Nov,100
2004,Dec,59
2005,Jan,26
2005,Feb,41
2005,Mar,47
2005,Apr,53
2005,May,48
2005,Jun,61
2005,Jul,60
2005,Aug,45
2005,Sep,53
2005,Oct,59
2005,Nov,30
2005,Dec,29
2006,Jan,34
2006,Feb,18
2006,Mar,16
2006,Apr,41
2006,May,54
2006,Jun,25
2006,Jul,40
2006,Aug,29
2006,Sep,44
2006,Oct,27
2006,Nov,27
2006,Dec,33
2007,Jan,35
2007,Feb,19
2007,Mar,39
2007,Apr,17
2007,May,42
2007,Jun,33
2007,Jul,26
2007,Aug,35
2007,Sep,55
2007,Oct,9
2007,Nov,67
2007,Dec,37
2008,Jan,37
2008,Feb,21
2008,Mar,33
2008,Apr,20
2008,May,41
2008,Jun,44
2008,Jul,29
2008,Aug,25
2008,Sep,45
2008,Oct,17
2008,Nov,23
2008,Dec,27
2009,Jan,32
2009,Feb,19
2009,Mar,27
2009,Apr,31
2009,May,17
2009,Jun,42
2009,Jul,21
2009,Aug,20
2009,Sep,23
2009,Oct,22
2009,Nov,16
2009,Dec,32
2010,Jan,18
2010,Feb,37
2010,Mar,31
2010,Apr,32
2010,May,25
2010,Jun,25
2010,Jul,19
2010,Aug,13
2010,Sep,27
2010,Oct,22
2010,Nov,24
2010,Dec,26
2011,Jan,30
2011,Feb,20
2011,Mar,25
2011,Apr,13
2011,May,11
2011,Jun,30
2011,Jul,22
2011,Aug,26
2011,Sep,33
2011,Oct,34
2011,Nov,41
2011,Dec,24
2012,Jan,40
2012,Feb,27
2012,Mar,47
2012,Apr,21
2012,May,16
2012,Jun,27
2012,Jul,20
2012,Aug,38
2012,Sep,25
2012,Oct,29
2012,Nov,31
2012,Dec,29
2013,Jan,34
2013,Feb,22
2013,Mar,23
2013,Apr,23
2013,May,30
2013,Jun,27
2013,Jul,17
2013,Aug,21
2013,Sep,30
2013,Oct,24
2013,Nov,37
2013,Dec,27
2014,Jan,26
2014,Feb,40
2014,Mar,37
2014,Apr,33
2014,May,23
2014,Jun,22
2014,Jul,16
2014,Aug,59
2014,Sep,35
2014,Oct,33
2014,Nov,58
2014,Dec,34
2015,Jan,36
2015,Feb,86
2015,Mar,31
2015,Apr,30
2015,May,25
2015,Jun,16
2015,Jul,30
2015,Aug,31
2015,Sep,25
2015,Oct,26
2015,Nov,25
2015,Dec,36
2016,Jan,59
2016,Feb,45
2016,Mar,27
2016,Apr,35
2016,May,25
2016,Jun,19
2016,Jul,39
2016,Aug,26
2016,Sep,26
2016,Oct,29
2016,Nov,28
2016,Dec,25
2017,Jan,35
2017,Feb,52
2017,Mar,26
2017,Apr,26
2017,May,33
2017,Jun,26
2017,Jul,15
2017,Aug,21
2017,Sep,28
2017,Oct,33
2017,Nov,28
2017,Dec,30
2018,Jan,53
2018,Feb,26
2018,Mar,27
2018,Apr,19
2018,May,18
2018,Jun,20
2018,Jul,18
2018,Aug,26
2018,Sep,24
2018,Oct,32
2018,Nov,19
2018,Dec,16
2019,Jan,32
2019,Feb,35
2019,Mar,24
2019,Apr,25
2019,May,19
2019,Jun,21
2019,Jul,22
2019,Aug,29
2019,Sep,23
2019,Oct,25
2019,Nov,16
2019,Dec,19
2020,Jan,30
2020,Feb,18
2020,Mar,21
2020,Apr,30
2020,May,20
2020,Jun,30
2020,Jul,25
2020,Aug,29
2020,Sep,25
2020,Oct,17
2020,Nov,15
2020,Dec,12
2021,Jan,22
