Owner:,KNIGHT DAVID A
Cname:,REGO PAYMENT ARCHITECTURES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,77
2004,Feb,75
2004,Mar,0
2004,Apr,73
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,61
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,51
2005,May,46
2005,Jun,0
2005,Jul,93
2005,Aug,87
2005,Sep,0
2005,Oct,38
2005,Nov,78
2005,Dec,0
2006,Jan,33
2006,Feb,34
2006,Mar,30
2006,Apr,95
2006,May,0
2006,Jun,0
2006,Jul,31
2006,Aug,28
2006,Sep,0
2006,Oct,26
2006,Nov,51
2006,Dec,0
2007,Jan,23
2007,Feb,48
2007,Mar,65
2007,Apr,0
2007,May,100
2007,Jun,0
2007,Jul,20
2007,Aug,0
2007,Sep,0
2007,Oct,17
2007,Nov,34
2007,Dec,18
2008,Jan,0
2008,Feb,32
2008,Mar,0
2008,Apr,16
2008,May,16
2008,Jun,0
2008,Jul,48
2008,Aug,79
2008,Sep,0
2008,Oct,13
2008,Nov,0
2008,Dec,29
2009,Jan,41
2009,Feb,58
2009,Mar,13
2009,Apr,66
2009,May,13
2009,Jun,41
2009,Jul,67
2009,Aug,39
2009,Sep,38
2009,Oct,24
2009,Nov,37
2009,Dec,36
2010,Jan,81
2010,Feb,48
2010,Mar,43
2010,Apr,56
2010,May,23
2010,Jun,12
2010,Jul,61
2010,Aug,39
2010,Sep,66
2010,Oct,9
2010,Nov,9
2010,Dec,27
2011,Jan,43
2011,Feb,8
2011,Mar,14
2011,Apr,50
2011,May,42
2011,Jun,29
2011,Jul,78
2011,Aug,26
2011,Sep,26
2011,Oct,31
2011,Nov,13
2011,Dec,36
2012,Jan,34
2012,Feb,6
2012,Mar,61
2012,Apr,41
2012,May,38
2012,Jun,23
2012,Jul,83
2012,Aug,37
2012,Sep,43
2012,Oct,15
2012,Nov,16
2012,Dec,15
2013,Jan,47
2013,Feb,10
2013,Mar,32
2013,Apr,19
2013,May,32
2013,Jun,29
2013,Jul,28
2013,Aug,42
2013,Sep,23
2013,Oct,48
2013,Nov,18
2013,Dec,27
2014,Jan,30
2014,Feb,42
2014,Mar,55
2014,Apr,44
2014,May,56
2014,Jun,16
2014,Jul,15
2014,Aug,55
2014,Sep,24
2014,Oct,18
2014,Nov,34
2014,Dec,39
2015,Jan,37
2015,Feb,34
2015,Mar,38
2015,Apr,29
2015,May,20
2015,Jun,36
2015,Jul,32
2015,Aug,21
2015,Sep,35
2015,Oct,14
2015,Nov,40
2015,Dec,15
2016,Jan,48
2016,Feb,25
2016,Mar,23
2016,Apr,36
2016,May,24
2016,Jun,21
2016,Jul,30
2016,Aug,21
2016,Sep,16
2016,Oct,36
2016,Nov,27
2016,Dec,26
2017,Jan,36
2017,Feb,31
2017,Mar,21
2017,Apr,18
2017,May,26
2017,Jun,16
2017,Jul,20
2017,Aug,37
2017,Sep,7
2017,Oct,39
2017,Nov,11
2017,Dec,18
2018,Jan,24
2018,Feb,26
2018,Mar,38
2018,Apr,14
2018,May,28
2018,Jun,26
2018,Jul,4
2018,Aug,40
2018,Sep,7
2018,Oct,14
2018,Nov,21
2018,Dec,22
2019,Jan,45
2019,Feb,77
2019,Mar,35
2019,Apr,25
2019,May,39
2019,Jun,26
2019,Jul,29
2019,Aug,17
2019,Sep,20
2019,Oct,16
2019,Nov,7
2019,Dec,20
2020,Jan,22
2020,Feb,29
2020,Mar,31
2020,Apr,22
2020,May,25
2020,Jun,24
2020,Jul,33
2020,Aug,30
2020,Sep,27
2020,Oct,20
2020,Nov,33
2020,Dec,17
2021,Jan,23
