Owner:,LAMB JONATHAN
Cname:,RIGEL RESOURCE ACQUISITION COR
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,65
2004,Apr,0
2004,May,90
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,67
2005,Feb,0
2005,Mar,0
2005,Apr,34
2005,May,0
2005,Jun,32
2005,Jul,0
2005,Aug,0
2005,Sep,27
2005,Oct,0
2005,Nov,52
2005,Dec,25
2006,Jan,22
2006,Feb,0
2006,Mar,0
2006,Apr,21
2006,May,20
2006,Jun,85
2006,Jul,62
2006,Aug,19
2006,Sep,19
2006,Oct,17
2006,Nov,0
2006,Dec,17
2007,Jan,30
2007,Feb,32
2007,Mar,29
2007,Apr,29
2007,May,0
2007,Jun,14
2007,Jul,27
2007,Aug,13
2007,Sep,26
2007,Oct,23
2007,Nov,35
2007,Dec,0
2008,Jan,53
2008,Feb,0
2008,Mar,21
2008,Apr,0
2008,May,0
2008,Jun,45
2008,Jul,21
2008,Aug,11
2008,Sep,19
2008,Oct,36
2008,Nov,10
2008,Dec,20
2009,Jan,18
2009,Feb,19
2009,Mar,26
2009,Apr,53
2009,May,0
2009,Jun,27
2009,Jul,0
2009,Aug,26
2009,Sep,17
2009,Oct,17
2009,Nov,9
2009,Dec,26
2010,Jan,16
2010,Feb,34
2010,Mar,15
2010,Apr,32
2010,May,25
2010,Jun,50
2010,Jul,36
2010,Aug,35
2010,Sep,20
2010,Oct,59
2010,Nov,39
2010,Dec,26
2011,Jan,20
2011,Feb,22
2011,Mar,15
2011,Apr,20
2011,May,20
2011,Jun,26
2011,Jul,25
2011,Aug,47
2011,Sep,23
2011,Oct,35
2011,Nov,36
2011,Dec,34
2012,Jan,44
2012,Feb,45
2012,Mar,12
2012,Apr,16
2012,May,19
2012,Jun,16
2012,Jul,23
2012,Aug,4
2012,Sep,31
2012,Oct,32
2012,Nov,22
2012,Dec,11
2013,Jan,30
2013,Feb,53
2013,Mar,35
2013,Apr,16
2013,May,16
2013,Jun,31
2013,Jul,20
2013,Aug,33
2013,Sep,6
2013,Oct,22
2013,Nov,23
2013,Dec,35
2014,Jan,36
2014,Feb,40
2014,Mar,12
2014,Apr,12
2014,May,30
2014,Jun,29
2014,Jul,29
2014,Aug,35
2014,Sep,34
2014,Oct,45
2014,Nov,24
2014,Dec,31
2015,Jan,33
2015,Feb,31
2015,Mar,13
2015,Apr,41
2015,May,14
2015,Jun,11
2015,Jul,34
2015,Aug,29
2015,Sep,35
2015,Oct,15
2015,Nov,38
2015,Dec,21
2016,Jan,35
2016,Feb,31
2016,Mar,29
2016,Apr,30
2016,May,20
2016,Jun,24
2016,Jul,16
2016,Aug,35
2016,Sep,44
2016,Oct,10
2016,Nov,25
2016,Dec,24
2017,Jan,27
2017,Feb,14
2017,Mar,30
2017,Apr,32
2017,May,54
2017,Jun,35
2017,Jul,35
2017,Aug,21
2017,Sep,30
2017,Oct,29
2017,Nov,27
2017,Dec,32
2018,Jan,59
2018,Feb,100
2018,Mar,46
2018,Apr,52
2018,May,58
2018,Jun,30
2018,Jul,21
2018,Aug,50
2018,Sep,25
2018,Oct,31
2018,Nov,18
2018,Dec,18
2019,Jan,30
2019,Feb,28
2019,Mar,28
2019,Apr,18
2019,May,29
2019,Jun,25
2019,Jul,32
2019,Aug,22
2019,Sep,34
2019,Oct,24
2019,Nov,33
2019,Dec,43
2020,Jan,39
2020,Feb,33
2020,Mar,27
2020,Apr,56
2020,May,42
2020,Jun,17
2020,Jul,17
2020,Aug,54
2020,Sep,76
2020,Oct,32
2020,Nov,31
2020,Dec,30
2021,Jan,26
