Owner:,LEE ROSE
Cname:,CORNERSTONE BUILDING BRANDS IN
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,62
2004,Feb,70
2004,Mar,58
2004,Apr,42
2004,May,47
2004,Jun,37
2004,Jul,56
2004,Aug,30
2004,Sep,52
2004,Oct,26
2004,Nov,39
2004,Dec,42
2005,Jan,41
2005,Feb,37
2005,Mar,48
2005,Apr,43
2005,May,50
2005,Jun,51
2005,Jul,62
2005,Aug,50
2005,Sep,57
2005,Oct,39
2005,Nov,36
2005,Dec,27
2006,Jan,48
2006,Feb,36
2006,Mar,47
2006,Apr,40
2006,May,45
2006,Jun,42
2006,Jul,42
2006,Aug,47
2006,Sep,69
2006,Oct,49
2006,Nov,43
2006,Dec,49
2007,Jan,49
2007,Feb,43
2007,Mar,47
2007,Apr,62
2007,May,53
2007,Jun,56
2007,Jul,63
2007,Aug,95
2007,Sep,61
2007,Oct,59
2007,Nov,43
2007,Dec,54
2008,Jan,60
2008,Feb,55
2008,Mar,54
2008,Apr,62
2008,May,52
2008,Jun,66
2008,Jul,69
2008,Aug,39
2008,Sep,44
2008,Oct,49
2008,Nov,37
2008,Dec,50
2009,Jan,44
2009,Feb,44
2009,Mar,40
2009,Apr,45
2009,May,44
2009,Jun,52
2009,Jul,47
2009,Aug,42
2009,Sep,40
2009,Oct,48
2009,Nov,35
2009,Dec,42
2010,Jan,44
2010,Feb,59
2010,Mar,81
2010,Apr,53
2010,May,72
2010,Jun,56
2010,Jul,51
2010,Aug,39
2010,Sep,36
2010,Oct,45
2010,Nov,43
2010,Dec,48
2011,Jan,100
2011,Feb,76
2011,Mar,57
2011,Apr,52
2011,May,54
2011,Jun,46
2011,Jul,48
2011,Aug,51
2011,Sep,47
2011,Oct,44
2011,Nov,54
2011,Dec,57
2012,Jan,49
2012,Feb,46
2012,Mar,61
2012,Apr,54
2012,May,48
2012,Jun,45
2012,Jul,57
2012,Aug,42
2012,Sep,40
2012,Oct,45
2012,Nov,57
2012,Dec,46
2013,Jan,49
2013,Feb,54
2013,Mar,60
2013,Apr,69
2013,May,57
2013,Jun,51
2013,Jul,48
2013,Aug,60
2013,Sep,43
2013,Oct,42
2013,Nov,47
2013,Dec,43
2014,Jan,62
2014,Feb,57
2014,Mar,48
2014,Apr,54
2014,May,61
2014,Jun,51
2014,Jul,49
2014,Aug,44
2014,Sep,39
2014,Oct,41
2014,Nov,50
2014,Dec,42
2015,Jan,44
2015,Feb,42
2015,Mar,53
2015,Apr,46
2015,May,59
2015,Jun,56
2015,Jul,44
2015,Aug,41
2015,Sep,40
2015,Oct,37
2015,Nov,48
2015,Dec,42
2016,Jan,43
2016,Feb,40
2016,Mar,48
2016,Apr,44
2016,May,37
2016,Jun,58
2016,Jul,49
2016,Aug,50
2016,Sep,38
2016,Oct,33
2016,Nov,54
2016,Dec,37
2017,Jan,40
2017,Feb,51
2017,Mar,37
2017,Apr,44
2017,May,51
2017,Jun,50
2017,Jul,44
2017,Aug,40
2017,Sep,34
2017,Oct,33
2017,Nov,37
2017,Dec,37
2018,Jan,42
2018,Feb,35
2018,Mar,36
2018,Apr,41
2018,May,41
2018,Jun,48
2018,Jul,39
2018,Aug,40
2018,Sep,33
2018,Oct,45
2018,Nov,42
2018,Dec,42
2019,Jan,46
2019,Feb,36
2019,Mar,49
2019,Apr,53
2019,May,42
2019,Jun,49
2019,Jul,43
2019,Aug,36
2019,Sep,37
2019,Oct,35
2019,Nov,32
2019,Dec,44
2020,Jan,38
2020,Feb,37
2020,Mar,47
2020,Apr,35
2020,May,39
2020,Jun,34
2020,Jul,42
2020,Aug,46
2020,Sep,32
2020,Oct,38
2020,Nov,34
2020,Dec,37
2021,Jan,35
