Owner:,LERNER DAVID
Cname:,QUICK MED TECHNOLOGIES INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,32
2004,Feb,27
2004,Mar,23
2004,Apr,22
2004,May,12
2004,Jun,12
2004,Jul,25
2004,Aug,26
2004,Sep,25
2004,Oct,59
2004,Nov,19
2004,Dec,20
2005,Jan,24
2005,Feb,41
2005,Mar,27
2005,Apr,49
2005,May,22
2005,Jun,20
2005,Jul,41
2005,Aug,18
2005,Sep,22
2005,Oct,20
2005,Nov,25
2005,Dec,11
2006,Jan,23
2006,Feb,24
2006,Mar,23
2006,Apr,21
2006,May,18
2006,Jun,24
2006,Jul,35
2006,Aug,22
2006,Sep,22
2006,Oct,18
2006,Nov,35
2006,Dec,14
2007,Jan,12
2007,Feb,7
2007,Mar,18
2007,Apr,21
2007,May,26
2007,Jun,24
2007,Jul,26
2007,Aug,26
2007,Sep,17
2007,Oct,15
2007,Nov,15
2007,Dec,26
2008,Jan,25
2008,Feb,24
2008,Mar,30
2008,Apr,24
2008,May,28
2008,Jun,25
2008,Jul,24
2008,Aug,26
2008,Sep,28
2008,Oct,33
2008,Nov,30
2008,Dec,27
2009,Jan,38
2009,Feb,27
2009,Mar,31
2009,Apr,31
2009,May,29
2009,Jun,34
2009,Jul,35
2009,Aug,33
2009,Sep,28
2009,Oct,28
2009,Nov,25
2009,Dec,37
2010,Jan,34
2010,Feb,37
2010,Mar,42
2010,Apr,34
2010,May,33
2010,Jun,38
2010,Jul,38
2010,Aug,33
2010,Sep,23
2010,Oct,29
2010,Nov,33
2010,Dec,31
2011,Jan,45
2011,Feb,35
2011,Mar,34
2011,Apr,34
2011,May,40
2011,Jun,100
2011,Jul,60
2011,Aug,37
2011,Sep,36
2011,Oct,40
2011,Nov,33
2011,Dec,28
2012,Jan,38
2012,Feb,35
2012,Mar,28
2012,Apr,31
2012,May,30
2012,Jun,23
2012,Jul,26
2012,Aug,23
2012,Sep,22
2012,Oct,44
2012,Nov,22
2012,Dec,25
2013,Jan,26
2013,Feb,26
2013,Mar,23
2013,Apr,30
2013,May,23
2013,Jun,22
2013,Jul,18
2013,Aug,22
2013,Sep,23
2013,Oct,26
2013,Nov,27
2013,Dec,20
2014,Jan,21
2014,Feb,21
2014,Mar,26
2014,Apr,22
2014,May,19
2014,Jun,22
2014,Jul,23
2014,Aug,19
2014,Sep,22
2014,Oct,18
2014,Nov,19
2014,Dec,21
2015,Jan,17
2015,Feb,20
2015,Mar,17
2015,Apr,18
2015,May,27
2015,Jun,27
2015,Jul,22
2015,Aug,19
2015,Sep,20
2015,Oct,18
2015,Nov,17
2015,Dec,15
2016,Jan,14
2016,Feb,19
2016,Mar,13
2016,Apr,20
2016,May,15
2016,Jun,15
2016,Jul,15
2016,Aug,14
2016,Sep,16
2016,Oct,15
2016,Nov,19
2016,Dec,17
2017,Jan,16
2017,Feb,16
2017,Mar,20
2017,Apr,15
2017,May,13
2017,Jun,14
2017,Jul,15
2017,Aug,15
2017,Sep,18
2017,Oct,20
2017,Nov,20
2017,Dec,16
2018,Jan,13
2018,Feb,18
2018,Mar,15
2018,Apr,15
2018,May,13
2018,Jun,13
2018,Jul,14
2018,Aug,12
2018,Sep,14
2018,Oct,14
2018,Nov,16
2018,Dec,13
2019,Jan,16
2019,Feb,17
2019,Mar,16
2019,Apr,11
2019,May,11
2019,Jun,9
2019,Jul,13
2019,Aug,15
2019,Sep,14
2019,Oct,14
2019,Nov,15
2019,Dec,14
2020,Jan,15
2020,Feb,14
2020,Mar,12
2020,Apr,12
2020,May,8
2020,Jun,8
2020,Jul,14
2020,Aug,10
2020,Sep,10
2020,Oct,14
2020,Nov,11
2020,Dec,10
2021,Jan,9
