Owner:,MARTIN DAVID L
Cname:,CARDIOVASCULAR SYSTEMS INC DE
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,35
2004,Sep,100
2004,Oct,34
2004,Nov,0
2004,Dec,0
2005,Jan,27
2005,Feb,29
2005,Mar,49
2005,Apr,56
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,72
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,36
2006,Feb,19
2006,Mar,17
2006,Apr,35
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,31
2006,Sep,16
2006,Oct,28
2006,Nov,28
2006,Dec,28
2007,Jan,12
2007,Feb,0
2007,Mar,12
2007,Apr,12
2007,May,0
2007,Jun,0
2007,Jul,11
2007,Aug,21
2007,Sep,11
2007,Oct,9
2007,Nov,19
2007,Dec,0
2008,Jan,43
2008,Feb,27
2008,Mar,17
2008,Apr,9
2008,May,26
2008,Jun,9
2008,Jul,9
2008,Aug,0
2008,Sep,24
2008,Oct,15
2008,Nov,24
2008,Dec,40
2009,Jan,15
2009,Feb,8
2009,Mar,14
2009,Apr,14
2009,May,15
2009,Jun,15
2009,Jul,22
2009,Aug,29
2009,Sep,7
2009,Oct,20
2009,Nov,13
2009,Dec,13
2010,Jan,6
2010,Feb,26
2010,Mar,6
2010,Apr,12
2010,May,19
2010,Jun,13
2010,Jul,17
2010,Aug,21
2010,Sep,0
2010,Oct,10
2010,Nov,5
2010,Dec,5
2011,Jan,19
2011,Feb,13
2011,Mar,11
2011,Apr,4
2011,May,4
2011,Jun,12
2011,Jul,4
2011,Aug,7
2011,Sep,11
2011,Oct,7
2011,Nov,7
2011,Dec,10
2012,Jan,9
2012,Feb,6
2012,Mar,9
2012,Apr,13
2012,May,27
2012,Jun,12
2012,Jul,6
2012,Aug,9
2012,Sep,9
2012,Oct,46
2012,Nov,28
2012,Dec,14
2013,Jan,13
2013,Feb,5
2013,Mar,12
2013,Apr,3
2013,May,3
2013,Jun,8
2013,Jul,20
2013,Aug,15
2013,Sep,15
2013,Oct,12
2013,Nov,10
2013,Dec,15
2014,Jan,5
2014,Feb,8
2014,Mar,16
2014,Apr,19
2014,May,13
2014,Jun,6
2014,Jul,6
2014,Aug,3
2014,Sep,21
2014,Oct,17
2014,Nov,13
2014,Dec,3
2015,Jan,8
2015,Feb,16
2015,Mar,3
2015,Apr,10
2015,May,8
2015,Jun,6
2015,Jul,8
2015,Aug,11
2015,Sep,8
2015,Oct,15
2015,Nov,3
2015,Dec,10
2016,Jan,12
2016,Feb,11
2016,Mar,14
2016,Apr,2
2016,May,8
2016,Jun,6
2016,Jul,4
2016,Aug,17
2016,Sep,12
2016,Oct,10
2016,Nov,6
2016,Dec,6
2017,Jan,9
2017,Feb,6
2017,Mar,21
2017,Apr,20
2017,May,10
2017,Jun,4
2017,Jul,10
2017,Aug,6
2017,Sep,9
2017,Oct,9
2017,Nov,0
2017,Dec,6
2018,Jan,9
2018,Feb,10
2018,Mar,12
2018,Apr,5
2018,May,4
2018,Jun,13
2018,Jul,7
2018,Aug,7
2018,Sep,4
2018,Oct,34
2018,Nov,33
2018,Dec,5
2019,Jan,17
2019,Feb,9
2019,Mar,12
2019,Apr,9
2019,May,11
2019,Jun,2
2019,Jul,4
2019,Aug,2
2019,Sep,3
2019,Oct,13
2019,Nov,8
2019,Dec,7
2020,Jan,13
2020,Feb,5
2020,Mar,6
2020,Apr,10
2020,May,6
2020,Jun,15
2020,Jul,8
2020,Aug,8
2020,Sep,5
2020,Oct,14
2020,Nov,8
2020,Dec,3
2021,Jan,11
