Owner:,MCCARTHY KEVIN
Cname:,PFF BANCORP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,5
2004,Feb,4
2004,Mar,5
2004,Apr,4
2004,May,3
2004,Jun,2
2004,Jul,6
2004,Aug,10
2004,Sep,4
2004,Oct,3
2004,Nov,4
2004,Dec,5
2005,Jan,4
2005,Feb,3
2005,Mar,4
2005,Apr,3
2005,May,6
2005,Jun,6
2005,Jul,4
2005,Aug,4
2005,Sep,3
2005,Oct,3
2005,Nov,4
2005,Dec,3
2006,Jan,6
2006,Feb,5
2006,Mar,4
2006,Apr,4
2006,May,4
2006,Jun,3
2006,Jul,5
2006,Aug,2
2006,Sep,3
2006,Oct,3
2006,Nov,4
2006,Dec,3
2007,Jan,5
2007,Feb,6
2007,Mar,3
2007,Apr,4
2007,May,3
2007,Jun,6
2007,Jul,4
2007,Aug,6
2007,Sep,5
2007,Oct,4
2007,Nov,4
2007,Dec,3
2008,Jan,4
2008,Feb,4
2008,Mar,4
2008,Apr,4
2008,May,4
2008,Jun,3
2008,Jul,4
2008,Aug,3
2008,Sep,5
2008,Oct,5
2008,Nov,3
2008,Dec,3
2009,Jan,3
2009,Feb,6
2009,Mar,4
2009,Apr,5
2009,May,4
2009,Jun,3
2009,Jul,4
2009,Aug,5
2009,Sep,3
2009,Oct,4
2009,Nov,3
2009,Dec,5
2010,Jan,3
2010,Feb,3
2010,Mar,4
2010,Apr,5
2010,May,5
2010,Jun,4
2010,Jul,4
2010,Aug,3
2010,Sep,38
2010,Oct,6
2010,Nov,6
2010,Dec,4
2011,Jan,7
2011,Feb,10
2011,Mar,6
2011,Apr,5
2011,May,5
2011,Jun,4
2011,Jul,8
2011,Aug,6
2011,Sep,4
2011,Oct,5
2011,Nov,5
2011,Dec,4
2012,Jan,5
2012,Feb,5
2012,Mar,4
2012,Apr,4
2012,May,4
2012,Jun,4
2012,Jul,4
2012,Aug,5
2012,Sep,5
2012,Oct,4
2012,Nov,6
2012,Dec,6
2013,Jan,6
2013,Feb,6
2013,Mar,5
2013,Apr,5
2013,May,5
2013,Jun,6
2013,Jul,4
2013,Aug,4
2013,Sep,5
2013,Oct,6
2013,Nov,5
2013,Dec,5
2014,Jan,4
2014,Feb,6
2014,Mar,5
2014,Apr,5
2014,May,5
2014,Jun,31
2014,Jul,7
2014,Aug,6
2014,Sep,6
2014,Oct,8
2014,Nov,6
2014,Dec,6
2015,Jan,9
2015,Feb,7
2015,Mar,8
2015,Apr,5
2015,May,5
2015,Jun,6
2015,Jul,5
2015,Aug,4
2015,Sep,57
2015,Oct,94
2015,Nov,9
2015,Dec,7
2016,Jan,6
2016,Feb,6
2016,Mar,7
2016,Apr,7
2016,May,7
2016,Jun,6
2016,Jul,7
2016,Aug,6
2016,Sep,6
2016,Oct,8
2016,Nov,12
2016,Dec,8
2017,Jan,10
2017,Feb,9
2017,Mar,10
2017,Apr,7
2017,May,15
2017,Jun,7
2017,Jul,5
2017,Aug,5
2017,Sep,5
2017,Oct,6
2017,Nov,7
2017,Dec,8
2018,Jan,16
2018,Feb,8
2018,Mar,6
2018,Apr,20
2018,May,9
2018,Jun,11
2018,Jul,7
2018,Aug,6
2018,Sep,7
2018,Oct,14
2018,Nov,17
2018,Dec,8
2019,Jan,23
2019,Feb,12
2019,Mar,10
2019,Apr,7
2019,May,8
2019,Jun,7
2019,Jul,12
2019,Aug,10
2019,Sep,16
2019,Oct,22
2019,Nov,13
2019,Dec,20
2020,Jan,14
2020,Feb,17
2020,Mar,14
2020,Apr,12
2020,May,10
2020,Jun,11
2020,Jul,13
2020,Aug,12
2020,Sep,12
2020,Oct,13
2020,Nov,27
2020,Dec,19
2021,Jan,100
