Owner:,MITCHELL ERIC
Cname:,WRIT MEDIA GROUP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,55
2004,Feb,53
2004,Mar,51
2004,Apr,52
2004,May,95
2004,Jun,24
2004,Jul,50
2004,Aug,79
2004,Sep,11
2004,Oct,88
2004,Nov,68
2004,Dec,81
2005,Jan,53
2005,Feb,93
2005,Mar,63
2005,Apr,91
2005,May,49
2005,Jun,75
2005,Jul,74
2005,Aug,46
2005,Sep,36
2005,Oct,40
2005,Nov,55
2005,Dec,59
2006,Jan,40
2006,Feb,30
2006,Mar,59
2006,Apr,45
2006,May,58
2006,Jun,33
2006,Jul,54
2006,Aug,35
2006,Sep,100
2006,Oct,73
2006,Nov,36
2006,Dec,18
2007,Jan,40
2007,Feb,51
2007,Mar,27
2007,Apr,58
2007,May,42
2007,Jun,49
2007,Jul,43
2007,Aug,37
2007,Sep,34
2007,Oct,40
2007,Nov,55
2007,Dec,63
2008,Jan,39
2008,Feb,40
2008,Mar,39
2008,Apr,50
2008,May,42
2008,Jun,62
2008,Jul,48
2008,Aug,50
2008,Sep,38
2008,Oct,50
2008,Nov,53
2008,Dec,54
2009,Jan,49
2009,Feb,38
2009,Mar,23
2009,Apr,49
2009,May,43
2009,Jun,50
2009,Jul,40
2009,Aug,58
2009,Sep,47
2009,Oct,55
2009,Nov,48
2009,Dec,49
2010,Jan,48
2010,Feb,61
2010,Mar,26
2010,Apr,39
2010,May,43
2010,Jun,26
2010,Jul,36
2010,Aug,41
2010,Sep,36
2010,Oct,39
2010,Nov,53
2010,Dec,33
2011,Jan,43
2011,Feb,59
2011,Mar,46
2011,Apr,38
2011,May,26
2011,Jun,37
2011,Jul,32
2011,Aug,37
2011,Sep,29
2011,Oct,25
2011,Nov,43
2011,Dec,40
2012,Jan,39
2012,Feb,38
2012,Mar,52
2012,Apr,40
2012,May,40
2012,Jun,56
2012,Jul,46
2012,Aug,39
2012,Sep,41
2012,Oct,33
2012,Nov,30
2012,Dec,45
2013,Jan,40
2013,Feb,45
2013,Mar,38
2013,Apr,36
2013,May,29
2013,Jun,50
2013,Jul,42
2013,Aug,47
2013,Sep,37
2013,Oct,35
2013,Nov,42
2013,Dec,35
2014,Jan,33
2014,Feb,35
2014,Mar,44
2014,Apr,38
2014,May,55
2014,Jun,42
2014,Jul,45
2014,Aug,54
2014,Sep,40
2014,Oct,48
2014,Nov,40
2014,Dec,47
2015,Jan,56
2015,Feb,44
2015,Mar,29
2015,Apr,38
2015,May,35
2015,Jun,34
2015,Jul,36
2015,Aug,56
2015,Sep,40
2015,Oct,41
2015,Nov,50
2015,Dec,47
2016,Jan,42
2016,Feb,49
2016,Mar,47
2016,Apr,48
2016,May,51
2016,Jun,41
2016,Jul,37
2016,Aug,38
2016,Sep,33
2016,Oct,32
2016,Nov,44
2016,Dec,42
2017,Jan,30
2017,Feb,34
2017,Mar,43
2017,Apr,37
2017,May,36
2017,Jun,27
2017,Jul,26
2017,Aug,38
2017,Sep,36
2017,Oct,35
2017,Nov,35
2017,Dec,41
2018,Jan,40
2018,Feb,46
2018,Mar,45
2018,Apr,52
2018,May,43
2018,Jun,36
2018,Jul,41
2018,Aug,50
2018,Sep,35
2018,Oct,41
2018,Nov,42
2018,Dec,58
2019,Jan,51
2019,Feb,28
2019,Mar,38
2019,Apr,38
2019,May,33
2019,Jun,36
2019,Jul,27
2019,Aug,35
2019,Sep,39
2019,Oct,34
2019,Nov,58
2019,Dec,40
2020,Jan,37
2020,Feb,31
2020,Mar,37
2020,Apr,36
2020,May,34
2020,Jun,38
2020,Jul,32
2020,Aug,34
2020,Sep,28
2020,Oct,33
2020,Nov,27
2020,Dec,28
2021,Jan,55
