Owner:,MOORE JOHN A
Cname:,DATA SYSTEMS & SOFTWARE INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,25
2004,Feb,25
2004,Mar,32
2004,Apr,48
2004,May,22
2004,Jun,0
2004,Jul,0
2004,Aug,63
2004,Sep,80
2004,Oct,41
2004,Nov,84
2004,Dec,0
2005,Jan,33
2005,Feb,52
2005,Mar,44
2005,Apr,34
2005,May,75
2005,Jun,31
2005,Jul,46
2005,Aug,100
2005,Sep,0
2005,Oct,25
2005,Nov,51
2005,Dec,48
2006,Jan,32
2006,Feb,44
2006,Mar,49
2006,Apr,21
2006,May,39
2006,Jun,52
2006,Jul,10
2006,Aug,46
2006,Sep,56
2006,Oct,34
2006,Nov,8
2006,Dec,42
2007,Jan,44
2007,Feb,47
2007,Mar,35
2007,Apr,36
2007,May,26
2007,Jun,35
2007,Jul,20
2007,Aug,50
2007,Sep,50
2007,Oct,23
2007,Nov,28
2007,Dec,29
2008,Jan,15
2008,Feb,21
2008,Mar,36
2008,Apr,51
2008,May,57
2008,Jun,33
2008,Jul,42
2008,Aug,21
2008,Sep,14
2008,Oct,53
2008,Nov,49
2008,Dec,24
2009,Jan,45
2009,Feb,33
2009,Mar,17
2009,Apr,22
2009,May,18
2009,Jun,22
2009,Jul,53
2009,Aug,39
2009,Sep,33
2009,Oct,28
2009,Nov,61
2009,Dec,36
2010,Jan,26
2010,Feb,51
2010,Mar,32
2010,Apr,29
2010,May,35
2010,Jun,16
2010,Jul,10
2010,Aug,45
2010,Sep,47
2010,Oct,18
2010,Nov,21
2010,Dec,30
2011,Jan,40
2011,Feb,33
2011,Mar,23
2011,Apr,47
2011,May,44
2011,Jun,38
2011,Jul,49
2011,Aug,46
2011,Sep,32
2011,Oct,47
2011,Nov,31
2011,Dec,36
2012,Jan,54
2012,Feb,58
2012,Mar,36
2012,Apr,40
2012,May,45
2012,Jun,28
2012,Jul,36
2012,Aug,39
2012,Sep,68
2012,Oct,46
2012,Nov,26
2012,Dec,36
2013,Jan,35
2013,Feb,44
2013,Mar,21
2013,Apr,38
2013,May,30
2013,Jun,25
2013,Jul,36
2013,Aug,32
2013,Sep,41
2013,Oct,32
2013,Nov,34
2013,Dec,31
2014,Jan,27
2014,Feb,31
2014,Mar,42
2014,Apr,39
2014,May,45
2014,Jun,39
2014,Jul,32
2014,Aug,28
2014,Sep,32
2014,Oct,44
2014,Nov,37
2014,Dec,33
2015,Jan,23
2015,Feb,31
2015,Mar,48
2015,Apr,41
2015,May,29
2015,Jun,29
2015,Jul,27
2015,Aug,30
2015,Sep,37
2015,Oct,25
2015,Nov,26
2015,Dec,31
2016,Jan,33
2016,Feb,35
2016,Mar,22
2016,Apr,26
2016,May,29
2016,Jun,39
2016,Jul,20
2016,Aug,16
2016,Sep,16
2016,Oct,36
2016,Nov,40
2016,Dec,32
2017,Jan,39
2017,Feb,25
2017,Mar,28
2017,Apr,32
2017,May,36
2017,Jun,26
2017,Jul,20
2017,Aug,24
2017,Sep,21
2017,Oct,22
2017,Nov,50
2017,Dec,41
2018,Jan,21
2018,Feb,27
2018,Mar,37
2018,Apr,23
2018,May,20
2018,Jun,46
2018,Jul,31
2018,Aug,27
2018,Sep,27
2018,Oct,38
2018,Nov,33
2018,Dec,24
2019,Jan,21
2019,Feb,38
2019,Mar,32
2019,Apr,30
2019,May,33
2019,Jun,31
2019,Jul,32
2019,Aug,23
2019,Sep,29
2019,Oct,45
2019,Nov,43
2019,Dec,21
2020,Jan,28
2020,Feb,44
2020,Mar,25
2020,Apr,36
2020,May,34
2020,Jun,45
2020,Jul,34
2020,Aug,28
2020,Sep,35
2020,Oct,41
2020,Nov,30
2020,Dec,20
2021,Jan,26
