Owner:,MURRAY RICHARD
Cname:,JOUNCE THERAPEUTICS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,50
2004,Feb,68
2004,Mar,50
2004,Apr,47
2004,May,43
2004,Jun,44
2004,Jul,100
2004,Aug,41
2004,Sep,55
2004,Oct,48
2004,Nov,74
2004,Dec,51
2005,Jan,58
2005,Feb,27
2005,Mar,35
2005,Apr,66
2005,May,47
2005,Jun,30
2005,Jul,48
2005,Aug,56
2005,Sep,57
2005,Oct,58
2005,Nov,40
2005,Dec,43
2006,Jan,80
2006,Feb,35
2006,Mar,54
2006,Apr,53
2006,May,35
2006,Jun,53
2006,Jul,48
2006,Aug,47
2006,Sep,36
2006,Oct,43
2006,Nov,43
2006,Dec,20
2007,Jan,49
2007,Feb,28
2007,Mar,53
2007,Apr,20
2007,May,21
2007,Jun,30
2007,Jul,21
2007,Aug,52
2007,Sep,40
2007,Oct,44
2007,Nov,31
2007,Dec,41
2008,Jan,28
2008,Feb,38
2008,Mar,25
2008,Apr,46
2008,May,32
2008,Jun,37
2008,Jul,33
2008,Aug,37
2008,Sep,35
2008,Oct,33
2008,Nov,33
2008,Dec,28
2009,Jan,39
2009,Feb,28
2009,Mar,34
2009,Apr,32
2009,May,41
2009,Jun,35
2009,Jul,26
2009,Aug,44
2009,Sep,41
2009,Oct,38
2009,Nov,41
2009,Dec,26
2010,Jan,43
2010,Feb,38
2010,Mar,39
2010,Apr,35
2010,May,35
2010,Jun,43
2010,Jul,38
2010,Aug,47
2010,Sep,39
2010,Oct,35
2010,Nov,41
2010,Dec,29
2011,Jan,43
2011,Feb,41
2011,Mar,28
2011,Apr,28
2011,May,35
2011,Jun,34
2011,Jul,34
2011,Aug,25
2011,Sep,32
2011,Oct,33
2011,Nov,38
2011,Dec,28
2012,Jan,29
2012,Feb,29
2012,Mar,29
2012,Apr,39
2012,May,31
2012,Jun,52
2012,Jul,41
2012,Aug,42
2012,Sep,30
2012,Oct,23
2012,Nov,31
2012,Dec,29
2013,Jan,29
2013,Feb,36
2013,Mar,29
2013,Apr,38
2013,May,28
2013,Jun,32
2013,Jul,33
2013,Aug,30
2013,Sep,37
2013,Oct,27
2013,Nov,29
2013,Dec,25
2014,Jan,37
2014,Feb,27
2014,Mar,34
2014,Apr,44
2014,May,34
2014,Jun,39
2014,Jul,35
2014,Aug,30
2014,Sep,36
2014,Oct,51
2014,Nov,34
2014,Dec,36
2015,Jan,47
2015,Feb,40
2015,Mar,33
2015,Apr,30
2015,May,31
2015,Jun,38
2015,Jul,40
2015,Aug,35
2015,Sep,44
2015,Oct,41
2015,Nov,38
2015,Dec,30
2016,Jan,36
2016,Feb,35
2016,Mar,33
2016,Apr,32
2016,May,33
2016,Jun,32
2016,Jul,39
2016,Aug,33
2016,Sep,34
2016,Oct,44
2016,Nov,33
2016,Dec,34
2017,Jan,32
2017,Feb,24
2017,Mar,35
2017,Apr,32
2017,May,22
2017,Jun,28
2017,Jul,32
2017,Aug,34
2017,Sep,32
2017,Oct,35
2017,Nov,31
2017,Dec,30
2018,Jan,30
2018,Feb,34
2018,Mar,37
2018,Apr,31
2018,May,28
2018,Jun,23
2018,Jul,26
2018,Aug,24
2018,Sep,26
2018,Oct,34
2018,Nov,27
2018,Dec,23
2019,Jan,30
2019,Feb,32
2019,Mar,24
2019,Apr,34
2019,May,28
2019,Jun,33
2019,Jul,29
2019,Aug,27
2019,Sep,25
2019,Oct,30
2019,Nov,29
2019,Dec,36
2020,Jan,30
2020,Feb,34
2020,Mar,17
2020,Apr,22
2020,May,33
2020,Jun,48
2020,Jul,24
2020,Aug,19
2020,Sep,26
2020,Oct,34
2020,Nov,23
2020,Dec,23
2021,Jan,18
