Owner:,NORMAN CHARLES
Cname:,HOMELAND SECURITY NETWORK INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,72
2004,Feb,71
2004,Mar,60
2004,Apr,23
2004,May,10
2004,Jun,43
2004,Jul,55
2004,Aug,79
2004,Sep,66
2004,Oct,97
2004,Nov,90
2004,Dec,80
2005,Jan,39
2005,Feb,49
2005,Mar,90
2005,Apr,56
2005,May,100
2005,Jun,51
2005,Jul,43
2005,Aug,61
2005,Sep,31
2005,Oct,82
2005,Nov,67
2005,Dec,57
2006,Jan,82
2006,Feb,53
2006,Mar,33
2006,Apr,69
2006,May,56
2006,Jun,49
2006,Jul,53
2006,Aug,57
2006,Sep,88
2006,Oct,73
2006,Nov,36
2006,Dec,48
2007,Jan,35
2007,Feb,37
2007,Mar,54
2007,Apr,37
2007,May,50
2007,Jun,50
2007,Jul,31
2007,Aug,69
2007,Sep,42
2007,Oct,46
2007,Nov,51
2007,Dec,47
2008,Jan,37
2008,Feb,41
2008,Mar,45
2008,Apr,46
2008,May,44
2008,Jun,62
2008,Jul,32
2008,Aug,39
2008,Sep,36
2008,Oct,46
2008,Nov,42
2008,Dec,45
2009,Jan,49
2009,Feb,45
2009,Mar,35
2009,Apr,37
2009,May,38
2009,Jun,44
2009,Jul,50
2009,Aug,51
2009,Sep,26
2009,Oct,22
2009,Nov,42
2009,Dec,24
2010,Jan,39
2010,Feb,52
2010,Mar,38
2010,Apr,28
2010,May,34
2010,Jun,34
2010,Jul,26
2010,Aug,30
2010,Sep,26
2010,Oct,41
2010,Nov,37
2010,Dec,25
2011,Jan,35
2011,Feb,29
2011,Mar,37
2011,Apr,29
2011,May,40
2011,Jun,33
2011,Jul,39
2011,Aug,38
2011,Sep,33
2011,Oct,34
2011,Nov,29
2011,Dec,23
2012,Jan,37
2012,Feb,26
2012,Mar,33
2012,Apr,36
2012,May,30
2012,Jun,35
2012,Jul,31
2012,Aug,27
2012,Sep,31
2012,Oct,25
2012,Nov,27
2012,Dec,41
2013,Jan,28
2013,Feb,35
2013,Mar,30
2013,Apr,30
2013,May,30
2013,Jun,19
2013,Jul,32
2013,Aug,23
2013,Sep,32
2013,Oct,38
2013,Nov,26
2013,Dec,26
2014,Jan,30
2014,Feb,31
2014,Mar,38
2014,Apr,27
2014,May,36
2014,Jun,33
2014,Jul,29
2014,Aug,40
2014,Sep,28
2014,Oct,19
2014,Nov,26
2014,Dec,17
2015,Jan,28
2015,Feb,23
2015,Mar,32
2015,Apr,28
2015,May,19
2015,Jun,39
2015,Jul,27
2015,Aug,31
2015,Sep,30
2015,Oct,27
2015,Nov,38
2015,Dec,47
2016,Jan,33
2016,Feb,39
2016,Mar,30
2016,Apr,48
2016,May,23
2016,Jun,29
2016,Jul,26
2016,Aug,24
2016,Sep,28
2016,Oct,29
2016,Nov,31
2016,Dec,33
2017,Jan,31
2017,Feb,25
2017,Mar,20
2017,Apr,23
2017,May,26
2017,Jun,26
2017,Jul,22
2017,Aug,24
2017,Sep,22
2017,Oct,22
2017,Nov,30
2017,Dec,25
2018,Jan,28
2018,Feb,27
2018,Mar,24
2018,Apr,27
2018,May,28
2018,Jun,25
2018,Jul,24
2018,Aug,19
2018,Sep,31
2018,Oct,24
2018,Nov,24
2018,Dec,25
2019,Jan,28
2019,Feb,18
2019,Mar,23
2019,Apr,24
2019,May,30
2019,Jun,36
2019,Jul,27
2019,Aug,21
2019,Sep,28
2019,Oct,25
2019,Nov,25
2019,Dec,21
2020,Jan,28
2020,Feb,26
2020,Mar,22
2020,Apr,21
2020,May,23
2020,Jun,27
2020,Jul,31
2020,Aug,46
2020,Sep,28
2020,Oct,30
2020,Nov,25
2020,Dec,30
2021,Jan,23
