Owner:,RIORDAN KEVIN
Cname:,CREXUS INVESTMENT CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,38
2004,Feb,0
2004,Mar,0
2004,Apr,37
2004,May,100
2004,Jun,34
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,50
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,70
2005,Jul,23
2005,Aug,22
2005,Sep,0
2005,Oct,0
2005,Nov,19
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,16
2006,Jul,15
2006,Aug,14
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,26
2007,Jan,0
2007,Feb,12
2007,Mar,0
2007,Apr,11
2007,May,10
2007,Jun,11
2007,Jul,0
2007,Aug,19
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,9
2008,Jan,23
2008,Feb,0
2008,Mar,24
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,8
2008,Aug,8
2008,Sep,22
2008,Oct,87
2008,Nov,37
2008,Dec,14
2009,Jan,20
2009,Feb,7
2009,Mar,6
2009,Apr,13
2009,May,7
2009,Jun,7
2009,Jul,7
2009,Aug,20
2009,Sep,6
2009,Oct,12
2009,Nov,0
2009,Dec,6
2010,Jan,12
2010,Feb,12
2010,Mar,11
2010,Apr,17
2010,May,18
2010,Jun,6
2010,Jul,10
2010,Aug,15
2010,Sep,5
2010,Oct,5
2010,Nov,0
2010,Dec,9
2011,Jan,0
2011,Feb,23
2011,Mar,10
2011,Apr,11
2011,May,7
2011,Jun,14
2011,Jul,7
2011,Aug,20
2011,Sep,13
2011,Oct,3
2011,Nov,6
2011,Dec,12
2012,Jan,20
2012,Feb,3
2012,Mar,11
2012,Apr,6
2012,May,8
2012,Jun,14
2012,Jul,8
2012,Aug,24
2012,Sep,0
2012,Oct,3
2012,Nov,8
2012,Dec,3
2013,Jan,7
2013,Feb,5
2013,Mar,11
2013,Apr,12
2013,May,19
2013,Jun,5
2013,Jul,5
2013,Aug,16
2013,Sep,5
2013,Oct,13
2013,Nov,0
2013,Dec,7
2014,Jan,13
2014,Feb,7
2014,Mar,15
2014,Apr,7
2014,May,9
2014,Jun,3
2014,Jul,10
2014,Aug,3
2014,Sep,15
2014,Oct,7
2014,Nov,10
2014,Dec,10
2015,Jan,9
2015,Feb,10
2015,Mar,5
2015,Apr,10
2015,May,12
2015,Jun,3
2015,Jul,12
2015,Aug,5
2015,Sep,7
2015,Oct,11
2015,Nov,2
2015,Dec,7
2016,Jan,6
2016,Feb,6
2016,Mar,11
2016,Apr,11
2016,May,17
2016,Jun,4
2016,Jul,24
2016,Aug,6
2016,Sep,11
2016,Oct,7
2016,Nov,7
2016,Dec,5
2017,Jan,5
2017,Feb,11
2017,Mar,10
2017,Apr,12
2017,May,7
2017,Jun,4
2017,Jul,11
2017,Aug,21
2017,Sep,7
2017,Oct,5
2017,Nov,9
2017,Dec,9
2018,Jan,26
2018,Feb,16
2018,Mar,5
2018,Apr,19
2018,May,3
2018,Jun,7
2018,Jul,3
2018,Aug,10
2018,Sep,17
2018,Oct,5
2018,Nov,13
2018,Dec,3
2019,Jan,15
2019,Feb,3
2019,Mar,7
2019,Apr,7
2019,May,5
2019,Jun,5
2019,Jul,5
2019,Aug,8
2019,Sep,5
2019,Oct,12
2019,Nov,6
2019,Dec,12
2020,Jan,6
2020,Feb,6
2020,Mar,12
2020,Apr,4
2020,May,5
2020,Jun,6
2020,Jul,7
2020,Aug,7
2020,Sep,6
2020,Oct,9
2020,Nov,5
2020,Dec,6
2021,Jan,3
